"ID","NAMES","EMIG9404_AsTheCrowFlies_ACC_0.01"
"TS3120","Medenine Nord  ",16224.2287800624
"TS3121","Medenine Sud ",24363.1937324669
"TS3122","Beni Khedech ",27173.6348436689
"TS3123","Ben Guerdane ",50408.4617172015
"TS3124","Zarzis ",34446.177770753
"TS3125","Djerba Houmet Souk ",29497.1503655558
"TS3126","Djerba Midoun ",26396.6515898407
"TS3127","Djerba Ajim ",25377.3221349051
"TS3128","Sidi Makhloulf ",23726.4875509716
"TS3130","Tataouine Nord  ",40391.3355107307
"TS3131","Tataouine Sud ",44172.0607866851
"TS3132","Smâr ",38766.1671532571
"TS3133","Bir Lahmar ",26601.9260586698
"TS3134","Ghomrassen ",30240.3941633336
"TS3135","Dhehiba ",96302.6704717316
"TS3136","Remada ",122623.813960486
"TS3210","Gafsa Nord  ",0
"TS3211","Sidi Aïch ",21919.9952223118
"TS3212","El Ksar ",23048.7734027031
"TS3213","Gafsa Sud ",24683.1231250903
"TS3214","Oum El Araies ",32442.4764703066
"TS3215","Redeyef ",35925.4781398828
"TS3216","Metlaoui ",30047.2134673584
"TS3217","Mdhila ",31866.4550869688
"TS3218","EL Guetar ",29752.5961560841
"TS3219","Belkhir ",35031.0706815086
"TS321A","Sned ",22016.4325547582
"TS3220","Tozeur  ",45504.841117426
"TS3221","Degach ",36379.4342999645
"TS3222","Tameghza ",49090.9462168662
"TS3223","Nefta ",58410.8418902024
"TS3224","Hazoua ",75100.7678913589
"TS3230","Kebili Sud  ",41925.5084116764
"TS3231","Kebeli Nord ",39298.099342687
"TS3232","Souk El Ahed ",41607.0083370479
"TS3233","Douz Nord ",48934.0301088053
"TS3234","Douz Sud ",63316.4612958032
"TS3235","Faouar ",80130.3712965453
