"ID","NAMES","IMMIG9404_AsTheCrowFlies_POT_0"
"TS211E","Kalaâ Seghira ",3524
"TS2120","Monastir  ",12093
"TS2121","Ouerdanine ",1216
"TS2122","Sahline ",1899
"TS2123","Zermadine ",649
"TS2124","Beni Hassen ",542
"TS2125","Jammel ",3435
"TS2126","Bembla ",2757
"TS2127","Moknine ",2198
"TS2128","Bekalta ",539
"TS2129","Teboulba ",1643
"TS212A","Ksar Helal ",3379
"TS212B","Ksibet El Mediouni ",1801
"TS212C","Sayada-Lamta Bou-Hjar ",1827
"TS2130","Mahdia  ",5649
"TS2131","Bou Merdès ",802
"TS2132","Ouled Chamekh ",403
"TS2133","Chorbane ",430
"TS2134","Hebira ",345
"TS2135","Essouassi ",564
"TS2136","El Djem ",913
"TS2137","Chebba ",1191
"TS2138","Melloulech ",364
"TS2139","Sidi Alouane ",807
"TS213A","Ksour Essef ",1194
"TS2140","Sfax Ville  ",13415
"TS2141","Sfax Ouest ",17961
"TS2142","Sakiet Ezzit ",8514
"TS2143","Sakiet Eddaïer ",12881
"TS2144","Sfax Sud ",8331
"TS2145","Tina ",7410
"TS2146","Agareb ",1256
"TS2147","Djebeniana ",898
"TS2148","El Amra ",973
"TS2149","El Hencha ",836
"TS214A","Menzel Chaker ",762
"TS214B","Ghraiba ",319
"TS214C","Bir ali Ben Kelifa ",1024
"TS214D","Skhira ",739
"TS214E","Mahres ",1290
"TS214F","Kerkenah ",1311
"TS2210","Kairouan Nord  ",4467
"TS2211","Kairouan Sud ",6288
"TS2212","Echebika ",321
"TS2213","Sbikha ",769
"TS2214","EL Ouslatia ",510
"TS2215","Haffouz ",693
"TS2216","El Alâa ",457
"TS2217","Hajeb el Ayoun ",567
"TS2218","Nasrallah ",345
"TS2219","Echrarda ",284
"TS221A","Bouhajla ",518
"TS2220","Kasserine Nord  ",3578
"TS2221","Kasserine Sud ",581
"TS2222","Ezzouhour ",1052
"TS2223","Hassi Ferid ",239
"TS2224","Sbeitla ",1223
"TS2225","Sbiba ",823
"TS2226","Djedeliane ",376
"TS2227","El Ayoun ",305
"TS2228","Thala ",714
"TS2229","Hidra ",519
"TS222A","Foussana ",679
"TS222B","Feriana ",1150
"TS222C","Majel Bel Abbès ",364
"TS2230","Sidi Bouzid Ouest  ",3486
"TS2231","Sidi Bouzid Est ",1079
"TS2232","Jilma ",680
"TS2233","Cebalet Ouled Asker ",318
"TS2234","Bir El Hafey ",781
"TS2235","Sidi Ali Ben Aoûn ",372
"TS2236","Menzel Bouzaïenne ",289
"TS2237","Meknassy ",765
"TS2238","Souk Jedid ",213
"TS2239","Mezzouna ",444
"TS223A","Regueb ",1296
"TS223B","Ouled Haffouz ",504
"TS3110","Gabes Medina  ",4586
"TS3111","Gabes Ouest ",10096
"TS3112","Gabes Sud ",2296
"TS3113","Ghanouch ",546
"TS3114","El Metouia ",1138
"TS3115","Menzel El Habib ",385
"TS3116","El Hamma ",1715
"TS3117","Matmata ",298
"TS3118","Nouvelle Matmata ",1085
"TS3119","Mareth ",1880
"TS3120","Medenine Nord  ",4691
"TS3121","Medenine Sud ",2193
"TS3122","Beni Khedech ",836
"TS3123","Ben Guerdane ",2988
"TS3124","Zarzis ",3736
"TS3125","Djerba Houmet Souk ",5407
"TS3126","Djerba Midoun ",5700
"TS3127","Djerba Ajim ",862
"TS3128","Sidi Makhloulf ",599
"TS3130","Tataouine Nord  ",3444
"TS3131","Tataouine Sud ",1861
"TS3132","Smâr ",546
"TS3133","Bir Lahmar ",814
"TS3134","Ghomrassen ",917
"TS3135","Dhehiba ",296
"TS3136","Remada ",595
"TS3210","Gafsa Nord  ",622
"TS3211","Sidi Aïch ",440
"TS3212","El Ksar ",1822
"TS3213","Gafsa Sud ",6553
"TS3214","Oum El Araies ",617
"TS3215","Redeyef ",703
"TS3216","Metlaoui ",1335
"TS3217","Mdhila ",321
"TS3218","EL Guetar ",819
"TS3219","Belkhir ",333
"TS321A","Sned ",710
"TS3220","Tozeur  ",2040
"TS3221","Degach ",1055
"TS3222","Tameghza ",318
"TS3223","Nefta ",1036
"TS3224","Hazoua ",326
"TS3230","Kebili Sud  ",1355
"TS3231","Kebeli Nord ",1951
"TS3232","Souk El Ahed ",493
"TS3233","Douz Nord ",1142
"TS3234","Douz Sud ",709
"TS3235","Faouar ",643
