"ID","NAMES","POPTO2004_AsTheCrowFlies_POT_20000"
"TS1227","Oued Meliz ",155048.39404581
"TS1228","Balta - Bou Aouane ",171664.37247112
"TS1230","Kef Ouest  ",88592.69281043
"TS1231","Kef Est ",104548.90378005
"TS1232","Nebeur ",134906.63445132
"TS1233","Sakiet Sidi Youssef ",50014.16555849
"TS1234","Tajerouine ",71818.61994326
"TS1235","Kalâat Snan ",35069.39131025
"TS1236","Kalâat Khasbah ",52164.90477159
"TS1237","Djerissa ",64684.62585951
"TS1238","El Ksour ",71321.29342157
"TS1239","Dahmani ",85804.74343761
"TS123A","Es-Sers ",92507.48257631
"TS1240","Siliana Nord  ",81190.75100876
"TS1241","Siliana Sud ",81489.03128258
"TS1242","Bou Arada ",62022.66033288
"TS1243","Gaâfour ",62534.66093201
"TS1244","El Krib ",84427.26857908
"TS1245","Bourouis ",79541.60645042
"TS1246","Makthar ",79034.73583189
"TS1247","Er-Rouhia ",82397.64459565
"TS1248","Kesra ",75290.5469146
"TS1249","Bargou ",52067.8433003
"TS124A","El Aroussa ",62206.57953322
"TS2110","Sousse Medina  ",488051.30094618
"TS2111","Sousse Riadh ",536393.87501429
"TS2112","Sousse Jawhara ",526567.1081126
"TS2113","Sousse Sidi Abdelhamid ",489824.21251367
"TS2114","Hammam Sousse ",434478.61192868
"TS2115","Akouda ",337095.98958343
"TS2116","Kalaâ Kebira ",310056.97011343
"TS2117","Sidi Bou Ali ",213862.84051805
"TS2118","Hergla ",164891.90029108
"TS2119","Enfidha ",107534.20672546
"TS211A","Bouficha ",137966.5044801
"TS211B","Kondar ",163328.04806076
"TS211C","Sidi El Héni ",223367.38374479
"TS211D","M saken ",406318.9788396
"TS211E","Kalaâ Seghira ",410857.58847021
"TS2120","Monastir  ",510208.95633758
"TS2121","Ouerdanine ",578192.1129921
"TS2122","Sahline ",570337.76241451
"TS2123","Zermadine ",359328.26995293
"TS2124","Beni Hassen ",427952.77490429
"TS2125","Jammel ",531630.91801904
"TS2126","Bembla ",554774.16067596
"TS2127","Moknine ",426474.36251701
"TS2128","Bekalta ",303454.53086914
"TS2129","Teboulba ",348740.5465355
"TS212A","Ksar Helal ",451503.59128107
"TS212B","Ksibet El Mediouni ",498360.64606741
"TS212C","Sayada-Lamta Bou-Hjar ",429553.29954417
"TS2130","Mahdia  ",319293.43682324
"TS2131","Bou Merdès ",259772.08922656
"TS2132","Ouled Chamekh ",119705.61347856
"TS2133","Chorbane ",85846.66466998
"TS2134","Hebira ",96389.82858963
"TS2135","Essouassi ",138876.28663479
"TS2136","El Djem ",180276.90812292
"TS2137","Chebba ",119034.50664662
"TS2138","Melloulech ",138807.26205035
"TS2139","Sidi Alouane ",205375.99439916
"TS213A","Ksour Essef ",220644.84598382
"TS2140","Sfax Ville  ",511199.85102388
"TS2141","Sfax Ouest ",503376.07313002
"TS2142","Sakiet Ezzit ",489388.88060491
"TS2143","Sakiet Eddaïer ",501698.55008679
"TS2144","Sfax Sud ",513894.90039899
"TS2145","Tina ",440843.16950515
"TS2146","Agareb ",173353.46815439
"TS2147","Djebeniana ",162474.9241231
"TS2148","El Amra ",328827.37837005
"TS2149","El Hencha ",144120.23942951
"TS214A","Menzel Chaker ",55406.60503955
"TS214B","Ghraiba ",40568.29379343
"TS214C","Bir ali Ben Kelifa ",61474.03885192
"TS214D","Skhira ",39106.16880676
"TS214E","Mahres ",69755.7092044
"TS214F","Kerkenah ",15568.23573907
"TS2210","Kairouan Nord  ",185503.8320101
"TS2211","Kairouan Sud ",181615.1046214
"TS2212","Echebika ",141410.83737886
"TS2213","Sbikha ",123406.45924891
"TS2214","EL Ouslatia ",62295.19273169
"TS2215","Haffouz ",111767.50888048
"TS2216","El Alâa ",87013.29492844
"TS2217","Hajeb el Ayoun ",106159.69350461
"TS2218","Nasrallah ",94239.10242588
"TS2219","Echrarda ",72830.89814728
"TS221A","Bouhajla ",127448.52049143
"TS2220","Kasserine Nord  ",119861.90059566
"TS2221","Kasserine Sud ",111019.90482586
"TS2222","Ezzouhour ",121753.81322548
"TS2223","Hassi Ferid ",46837.90322257
"TS2224","Sbeitla ",105322.85710356
"TS2225","Sbiba ",90873.01910156
"TS2226","Djedeliane ",64835.87616482
"TS2227","El Ayoun ",66228.10051803
"TS2228","Thala ",62553.35073241
"TS2229","Hidra ",42239.91072597
"TS222A","Foussana ",64664.17535479
"TS222B","Feriana ",56386.26005827
"TS222C","Majel Bel Abbès ",38470.62861416
"TS2230","Sidi Bouzid Ouest  ",130252.79357198
"TS2231","Sidi Bouzid Est ",106928.87255963
"TS2232","Jilma ",88158.7112426
"TS2233","Cebalet Ouled Asker ",103899.30459337
"TS2234","Bir El Hafey ",96069.49974066
"TS2235","Sidi Ali Ben Aoûn ",53957.64998518
"TS2236","Menzel Bouzaïenne ",50069.41922438
"TS2237","Meknassy ",50668.41719948
"TS2238","Souk Jedid ",80092.25665244
"TS2239","Mezzouna ",40390.3985459
"TS223A","Regueb ",76573.36389445
"TS223B","Ouled Haffouz ",69556.84707497
"TS3110","Gabes Medina  ",165172.81545005
"TS3111","Gabes Ouest ",161971.08184102
"TS3112","Gabes Sud ",167284.44361738
"TS3113","Ghanouch ",158176.79824286
"TS3114","El Metouia ",85743.92304695
"TS3115","Menzel El Habib ",18336.41548936
"TS3116","El Hamma ",63466.00337046
"TS3117","Matmata ",11763.6507594
"TS3118","Nouvelle Matmata ",58414.2198502
"TS3119","Mareth ",93618.59858286
"TS3120","Medenine Nord  ",98241.5245131
"TS3121","Medenine Sud ",81618.48711437
"TS3122","Beni Khedech ",40620.43838156
"TS3123","Ben Guerdane ",74420.30159456
"TS3124","Zarzis ",77309.71023766
"TS3125","Djerba Houmet Souk ",129561.17057875
"TS3126","Djerba Midoun ",126671.60729091
"TS3127","Djerba Ajim ",124079.29409115
"TS3128","Sidi Makhloulf ",77076.98895636
"TS3130","Tataouine Nord  ",56979.14404608
"TS3131","Tataouine Sud ",35022.47694331
"TS3132","Smâr ",42127.6443469
"TS3133","Bir Lahmar ",45798.64948821
"TS3134","Ghomrassen ",35631.9104542
"TS3135","Dhehiba ",3971
"TS3136","Remada ",9977
"TS3210","Gafsa Nord  ",56082.86037582
"TS3211","Sidi Aïch ",41064.19691814
"TS3212","El Ksar ",100363.23262528
"TS3213","Gafsa Sud ",122694.47956472
"TS3214","Oum El Araies ",55953.45504323
"TS3215","Redeyef ",46627.34716683
"TS3216","Metlaoui ",68099.12352879
"TS3217","Mdhila ",51281.97889781
"TS3218","EL Guetar ",38986.18159026
"TS3219","Belkhir ",21572.20819336
"TS321A","Sned ",51687.3733491
"TS3220","Tozeur  ",59024.35662546
"TS3221","Degach ",47134.41941198
"TS3222","Tameghza ",10121.46732873
"TS3223","Nefta ",39006.99562172
"TS3224","Hazoua ",12015.1262283
"TS3230","Kebili Sud  ",50781.5035796
"TS3231","Kebeli Nord ",52339.4581822
"TS3232","Souk El Ahed ",29844.89586936
"TS3233","Douz Nord ",26594.71187142
"TS3234","Douz Sud ",17188.08238626
"TS3235","Faouar ",16296
