"ID","NAMES","NBLOG2004_AsTheCrowFlies_ACC_0.05"
"TS2222","Ezzouhour ",56673.0319641399
"TS2223","Hassi Ferid ",55048.5627523325
"TS2224","Sbeitla ",51729.6132864582
"TS2225","Sbiba ",51432.6675598372
"TS2226","Djedeliane ",53768.7124699407
"TS2227","El Ayoun ",54280.4769533729
"TS2228","Thala ",59061.5877544036
"TS2229","Hidra ",67638.8835400141
"TS222A","Foussana ",66412.3717289775
"TS222B","Feriana ",68908.8319650646
"TS222C","Majel Bel Abbès ",66427.8360801972
"TS2230","Sidi Bouzid Ouest  ",51821.5043391541
"TS2231","Sidi Bouzid Est ",50351.6473012361
"TS2232","Jilma ",49390.1026182256
"TS2233","Cebalet Ouled Asker ",50229.3089902771
"TS2234","Bir El Hafey ",53870.2839398345
"TS2235","Sidi Ali Ben Aoûn ",56137.2375288567
"TS2236","Menzel Bouzaïenne ",60751.8279645136
"TS2237","Meknassy ",60390.786140587
"TS2238","Souk Jedid ",54875.3331356984
"TS2239","Mezzouna ",61565.7362185609
"TS223A","Regueb ",52853.4214089975
"TS223B","Ouled Haffouz ",49558.5846106833
"TS3110","Gabes Medina  ",61963.4476975964
"TS3111","Gabes Ouest ",63833.1502768928
"TS3112","Gabes Sud ",61547.9881949804
"TS3113","Ghanouch ",62821.2216361344
"TS3114","El Metouia ",64088.6609956016
"TS3115","Menzel El Habib ",67283.2658973626
"TS3116","El Hamma ",71878.9148445488
"TS3117","Matmata ",73489.7358023377
"TS3118","Nouvelle Matmata ",65521.3729863928
"TS3119","Mareth ",58148.9857719134
"TS3120","Medenine Nord  ",59352.9380117499
"TS3121","Medenine Sud ",59534.0440851758
"TS3122","Beni Khedech ",71311.7031745903
"TS3123","Ben Guerdane ",107367.415450684
"TS3124","Zarzis ",71634.6396247302
"TS3125","Djerba Houmet Souk ",66032.4499775209
"TS3126","Djerba Midoun ",70484.8455576115
"TS3127","Djerba Ajim ",63871.0558512411
"TS3128","Sidi Makhloulf ",55172.9813952584
"TS3130","Tataouine Nord  ",102121.040336629
"TS3131","Tataouine Sud ",96469.6388960645
"TS3132","Smâr ",105475.74068016
"TS3133","Bir Lahmar ",66444.4051053262
"TS3134","Ghomrassen ",75493.5026138347
"TS3135","Dhehiba ",170343.033303562
"TS3136","Remada ",190308.52092681
"TS3210","Gafsa Nord  ",62202.0705986475
"TS3211","Sidi Aïch ",60838.6068058507
"TS3212","El Ksar ",68407.5242402296
"TS3213","Gafsa Sud ",68813.3465092147
"TS3214","Oum El Araies ",76749.2569838283
"TS3215","Redeyef ",89699.0992542404
"TS3216","Metlaoui ",80638.9351460372
"TS3217","Mdhila ",74865.4361490668
"TS3218","EL Guetar ",69341.4979905824
"TS3219","Belkhir ",66221.3585241231
"TS321A","Sned ",62381.4064315525
"TS3220","Tozeur  ",109868.555729219
"TS3221","Degach ",94737.8043554799
"TS3222","Tameghza ",109245.44723667
"TS3223","Nefta ",124630.517083387
"TS3224","Hazoua ",140990.580332362
"TS3230","Kebili Sud  ",90656.7630536586
"TS3231","Kebeli Nord ",84287.5974592307
"TS3232","Souk El Ahed ",80932.6331647441
"TS3233","Douz Nord ",98173.9324100784
"TS3234","Douz Sud ",111343.973862636
"TS3235","Faouar ",133343.897407026
