"ID","NAMES","NBLOG2004_AsTheCrowFlies_POT_50000"
"TS1213","Nefza ",129705.6787299
"TS1214","Teboursouk ",170141.33757184
"TS1215","Tibar ",169901.2848388
"TS1216","Testour ",242916.25519371
"TS1217","Goubellat ",381741.84085974
"TS1218","Medjez El Bab ",419897.95506801
"TS1220","Jendouba  ",159686.92680611
"TS1221","Jendouba Nord ",147085.59706727
"TS1222","Bou Salem ",168136.18259296
"TS1223","Tabarka ",117310.70450979
"TS1224","Ain Draham ",125005.45977144
"TS1225","Fernana ",130398.15799001
"TS1226","Ghardimaou ",95942.38650818
"TS1227","Oued Meliz ",130234.32927211
"TS1228","Balta - Bou Aouane ",157695.30188097
"TS1230","Kef Ouest  ",119253.19210769
"TS1231","Kef Est ",140175.89417208
"TS1232","Nebeur ",149264.16301249
"TS1233","Sakiet Sidi Youssef ",96375.41741443
"TS1234","Tajerouine ",90682.52451891
"TS1235","Kalâat Snan ",59321.58249364
"TS1236","Kalâat Khasbah ",75261.23490359
"TS1237","Djerissa ",90715.00819414
"TS1238","El Ksour ",110575.63674628
"TS1239","Dahmani ",112149.4810767
"TS123A","Es-Sers ",126651.11631007
"TS1240","Siliana Nord  ",117010.41235306
"TS1241","Siliana Sud ",113831.84742641
"TS1242","Bou Arada ",184439.71309728
"TS1243","Gaâfour ",134201.92585574
"TS1244","El Krib ",157048.2916172
"TS1245","Bourouis ",136055.3348358
"TS1246","Makthar ",111781.26102069
"TS1247","Er-Rouhia ",114330.452984
"TS1248","Kesra ",115761.10931254
"TS1249","Bargou ",129305.39846175
"TS124A","El Aroussa ",174732.78577593
"TS2110","Sousse Medina  ",324314.74969034
"TS2111","Sousse Riadh ",332890.13604737
"TS2112","Sousse Jawhara ",328512.68382313
"TS2113","Sousse Sidi Abdelhamid ",326820.27746684
"TS2114","Hammam Sousse ",321616.23101909
"TS2115","Akouda ",314724.67152738
"TS2116","Kalaâ Kebira ",315283.35247439
"TS2117","Sidi Bou Ali ",304469.17514983
"TS2118","Hergla ",304690.75616373
"TS2119","Enfidha ",309055.45409455
"TS211A","Bouficha ",388330.91205456
"TS211B","Kondar ",280854.42183056
"TS211C","Sidi El Héni ",315058.59851035
"TS211D","M saken ",346762.00126281
"TS211E","Kalaâ Seghira ",328998.4404965
"TS2120","Monastir  ",317885.85707991
"TS2121","Ouerdanine ",339620.97071051
"TS2122","Sahline ",331013.0243649
"TS2123","Zermadine ",349796.97373808
"TS2124","Beni Hassen ",335289.01061096
"TS2125","Jammel ",341843.69352845
"TS2126","Bembla ",329024.91958525
"TS2127","Moknine ",310388.33010108
"TS2128","Bekalta ",266293.70988727
"TS2129","Teboulba ",279927.8397554
"TS212A","Ksar Helal ",306280.5023008
"TS212B","Ksibet El Mediouni ",317654.57044388
"TS212C","Sayada-Lamta Bou-Hjar ",300604.46316064
"TS2130","Mahdia  ",277356.67266363
"TS2131","Bou Merdès ",335759.50723475
"TS2132","Ouled Chamekh ",297078.43044734
"TS2133","Chorbane ",260454.96501761
"TS2134","Hebira ",222751.27487697
"TS2135","Essouassi ",316356.99489589
"TS2136","El Djem ",316784.88491951
"TS2137","Chebba ",220890.86597282
"TS2138","Melloulech ",244102.88438957
"TS2139","Sidi Alouane ",287247.0932134
"TS213A","Ksour Essef ",260490.14664641
"TS2140","Sfax Ville  ",220868.43969858
"TS2141","Sfax Ouest ",219280.66026652
"TS2142","Sakiet Ezzit ",246063.18353256
"TS2143","Sakiet Eddaïer ",232356.72696673
"TS2144","Sfax Sud ",236313.58676845
"TS2145","Tina ",212287.91389943
"TS2146","Agareb ",209903.43815512
"TS2147","Djebeniana ",257571.78592973
"TS2148","El Amra ",244545.96530687
"TS2149","El Hencha ",287402.78461158
"TS214A","Menzel Chaker ",225970.78915401
"TS214B","Ghraiba ",116323.25593692
"TS214C","Bir ali Ben Kelifa ",127272.16148445
"TS214D","Skhira ",70583.77968593
"TS214E","Mahres ",164124.45986616
"TS214F","Kerkenah ",127205.16542046
"TS2210","Kairouan Nord  ",239724.74375108
"TS2211","Kairouan Sud ",242315.97778044
"TS2212","Echebika ",183559.85897841
"TS2213","Sbikha ",208538.21662856
"TS2214","EL Ouslatia ",135997.4650716
"TS2215","Haffouz ",144869.45448499
"TS2216","El Alâa ",134425.93024006
"TS2217","Hajeb el Ayoun ",135082.90956086
"TS2218","Nasrallah ",143975.11903071
"TS2219","Echrarda ",155184.66943046
"TS221A","Bouhajla ",183572.20124649
"TS2220","Kasserine Nord  ",96317.25981714
"TS2221","Kasserine Sud ",94927.29658234
"TS2222","Ezzouhour ",100631.84329444
"TS2223","Hassi Ferid ",104822.97123781
"TS2224","Sbeitla ",117206.85793512
"TS2225","Sbiba ",117159.61829809
"TS2226","Djedeliane ",107510.46531046
"TS2227","El Ayoun ",107004.47609778
"TS2228","Thala ",92075.89872173
"TS2229","Hidra ",67957.12233219
"TS222A","Foussana ",74655.5914576
"TS222B","Feriana ",66254.56771932
"TS222C","Majel Bel Abbès ",76248.33736062
"TS2230","Sidi Bouzid Ouest  ",116361.94928483
"TS2231","Sidi Bouzid Est ",122657.41592305
"TS2232","Jilma ",127159.99687484
"TS2233","Cebalet Ouled Asker ",123358.08875005
"TS2234","Bir El Hafey ",108087.88587965
"TS2235","Sidi Ali Ben Aoûn ",99357.59588752
"TS2236","Menzel Bouzaïenne ",81806.95459889
"TS2237","Meknassy ",81430.02714401
"TS2238","Souk Jedid ",103459.55165529
"TS2239","Mezzouna ",69798.15934712
"TS223A","Regueb ",107021.26021168
"TS223B","Ouled Haffouz ",126529.12913891
"TS3110","Gabes Medina  ",87990.28367045
"TS3111","Gabes Ouest ",87098.06345532
"TS3112","Gabes Sud ",92811.98096994
"TS3113","Ghanouch ",83955.98833846
"TS3114","El Metouia ",76832.80377946
"TS3115","Menzel El Habib ",62209.77651406
"TS3116","El Hamma ",62694.81962251
"TS3117","Matmata ",63575.96093621
"TS3118","Nouvelle Matmata ",86922.24118215
"TS3119","Mareth ",102895.58570178
"TS3120","Medenine Nord  ",96915.24283362
"TS3121","Medenine Sud ",97005.14764105
"TS3122","Beni Khedech ",68358.14296109
"TS3123","Ben Guerdane ",31227.38104829
"TS3124","Zarzis ",78695.22355176
"TS3125","Djerba Houmet Souk ",77136.88813342
"TS3126","Djerba Midoun ",76232.27244678
"TS3127","Djerba Ajim ",89247.40274249
"TS3128","Sidi Makhloulf ",110903.69970922
"TS3130","Tataouine Nord  ",32855.40843619
"TS3131","Tataouine Sud ",30533.60166123
"TS3132","Smâr ",34162.44230263
"TS3133","Bir Lahmar ",77591.80003682
"TS3134","Ghomrassen ",59927.07131448
"TS3135","Dhehiba ",1456.62115548
"TS3136","Remada ",2306.83457102
"TS3210","Gafsa Nord  ",83514.2802004
"TS3211","Sidi Aïch ",89324.37941612
"TS3212","El Ksar ",75055.53285896
"TS3213","Gafsa Sud ",78104.47203553
"TS3214","Oum El Araies ",64613.69132644
"TS3215","Redeyef ",53463.63936791
"TS3216","Metlaoui ",68791.21613257
"TS3217","Mdhila ",69421.01959271
"TS3218","EL Guetar ",65186.50935043
"TS3219","Belkhir ",59731.29972051
"TS321A","Sned ",77385.69309941
"TS3220","Tozeur  ",33061.2068661
"TS3221","Degach ",50237.21400257
"TS3222","Tameghza ",30130.64694332
"TS3223","Nefta ",22979.81570453
"TS3224","Hazoua ",13662.11052371
"TS3230","Kebili Sud  ",28942.97615198
"TS3231","Kebeli Nord ",35163.76516182
"TS3232","Souk El Ahed ",44756.36238689
"TS3233","Douz Nord ",21042.44688403
"TS3234","Douz Sud ",9603.05567014
"TS3235","Faouar ",5244.82782362
