"ID","NAMES","EMIG9404_AsTheCrowFlies_POT_20000"
"TS1161","Ez-Zeriba ",5422.19870958
"TS1162","Bir Mchergua ",10947.58102803
"TS1163","El Fahs ",3595.33939886
"TS1164","En-Nadhour ",3604.12493714
"TS1165","Saouaf ",4142.96336551
"TS1170","Bizerte Nord  ",14602.12068417
"TS1171","Zarzouna ",16077.89068377
"TS1172","Bizerte Sud ",11501.43593387
"TS1173","Sedjnane ",3665.55387834
"TS1174","Djoumine ",9352.49285142
"TS1175","Mateur ",9394.418394
"TS1176","Ghezala ",5574.09425191
"TS1177","Menzel Bourguiba ",14776.12554288
"TS1178","Tinja ",14021.48512718
"TS1179","Utique ",28941.38183035
"TS117A","Ghar El Meleh ",8623.13276388
"TS117B","Menzel Djemil ",14825.29776672
"TS117C","El Alia ",13404.51168678
"TS117D","Ras Djebel ",7661.40179453
"TS1210","Béja Nord  ",12375.53733341
"TS1211","Béja Sud ",11165.36844457
"TS1212","Amdoun ",11210.41467353
"TS1213","Nefza ",7753.22362326
"TS1214","Teboursouk ",5602.29069869
"TS1215","Tibar ",9573.34990132
"TS1216","Testour ",5231.22174048
"TS1217","Goubellat ",3514.42059424
"TS1218","Medjez El Bab ",6112.40904752
"TS1220","Jendouba  ",15195.84271379
"TS1221","Jendouba Nord ",13859.09188768
"TS1222","Bou Salem ",12595.2942609
"TS1223","Tabarka ",6465.06789516
"TS1224","Ain Draham ",7492.11538758
"TS1225","Fernana ",9471.80851665
"TS1226","Ghardimaou ",3322.16010885
"TS1227","Oued Meliz ",8628.30487193
"TS1228","Balta - Bou Aouane ",10443.81315475
"TS1230","Kef Ouest  ",8477.08864642
"TS1231","Kef Est ",13693.23808641
"TS1232","Nebeur ",14004.75556154
"TS1233","Sakiet Sidi Youssef ",3213.19913677
"TS1234","Tajerouine ",4970.97497189
"TS1235","Kalâat Snan ",2668.81096807
"TS1236","Kalâat Khasbah ",4172.75687898
"TS1237","Djerissa ",4603.66109276
"TS1238","El Ksour ",4947.3360749
"TS1239","Dahmani ",7025.69707023
"TS123A","Es-Sers ",11288.89634919
"TS1240","Siliana Nord  ",10511.50178158
"TS1241","Siliana Sud ",9335.47151251
"TS1242","Bou Arada ",3469.2281178
"TS1243","Gaâfour ",6161.82670674
"TS1244","El Krib ",6986.43991409
"TS1245","Bourouis ",9535.59794988
"TS1246","Makthar ",7320.30293786
"TS1247","Er-Rouhia ",4706.56452372
"TS1248","Kesra ",5238.08441269
"TS1249","Bargou ",3794.35012143
"TS124A","El Aroussa ",3550.77425376
"TS2110","Sousse Medina  ",37409.67287274
"TS2111","Sousse Riadh ",38434.43647567
"TS2112","Sousse Jawhara ",38726.31561729
"TS2113","Sousse Sidi Abdelhamid ",37006.16983218
"TS2114","Hammam Sousse ",34502.70512998
"TS2115","Akouda ",27427.01392953
"TS2116","Kalaâ Kebira ",20845.08468712
"TS2117","Sidi Bou Ali ",12092.17174822
"TS2118","Hergla ",8325.38155396
"TS2119","Enfidha ",3486.61315936
"TS211A","Bouficha ",5072.28386057
"TS211B","Kondar ",9142.94988726
"TS211C","Sidi El Héni ",14231.30310177
"TS211D","M saken ",22937.8104805
"TS211E","Kalaâ Seghira ",28242.88183545
"TS2120","Monastir  ",32280.94796388
"TS2121","Ouerdanine ",35962.96037575
"TS2122","Sahline ",37685.8388046
"TS2123","Zermadine ",13593.37386795
"TS2124","Beni Hassen ",15817.6016217
"TS2125","Jammel ",26003.79117848
"TS2126","Bembla ",30789.75306511
"TS2127","Moknine ",16318.69315791
"TS2128","Bekalta ",12211.88053734
"TS2129","Teboulba ",14373.07571559
"TS212A","Ksar Helal ",19518.93858884
"TS212B","Ksibet El Mediouni ",23121.57434951
"TS212C","Sayada-Lamta Bou-Hjar ",19027.5045378
"TS2130","Mahdia  ",12100.22455556
"TS2131","Bou Merdès ",8475.26686908
"TS2132","Ouled Chamekh ",4794.05027046
"TS2133","Chorbane ",4168.59625775
"TS2134","Hebira ",4606.37156162
"TS2135","Essouassi ",5170.89727662
"TS2136","El Djem ",5907.16222145
"TS2137","Chebba ",3957.54869407
"TS2138","Melloulech ",4834.91675306
"TS2139","Sidi Alouane ",6903.20091618
"TS213A","Ksour Essef ",8290.14729076
"TS2140","Sfax Ville  ",48085.45334249
"TS2141","Sfax Ouest ",47751.49619244
"TS2142","Sakiet Ezzit ",42246.02586327
"TS2143","Sakiet Eddaïer ",45615.0825406
"TS2144","Sfax Sud ",46400.54300093
"TS2145","Tina ",43257.77247513
"TS2146","Agareb ",12903.93053099
"TS2147","Djebeniana ",6524.82762654
"TS2148","El Amra ",23794.54716188
"TS2149","El Hencha ",5991.67867305
"TS214A","Menzel Chaker ",3497.73459515
"TS214B","Ghraiba ",2227.16191863
"TS214C","Bir ali Ben Kelifa ",4136.93880664
"TS214D","Skhira ",1903.99139402
"TS214E","Mahres ",3795.72025763
"TS214F","Kerkenah ",1466.74990154
"TS2210","Kairouan Nord  ",19619.53559159
"TS2211","Kairouan Sud ",14963.10660035
"TS2212","Echebika ",12551.82077492
"TS2213","Sbikha ",8763.28287837
"TS2214","EL Ouslatia ",4317.99515782
"TS2215","Haffouz ",5824.10793876
"TS2216","El Alâa ",5026.66665167
"TS2217","Hajeb el Ayoun ",5220.90912394
"TS2218","Nasrallah ",5112.83170983
"TS2219","Echrarda ",4027.77875099
"TS221A","Bouhajla ",5966.61137222
"TS2220","Kasserine Nord  ",13675.80172632
"TS2221","Kasserine Sud ",12662.98364292
"TS2222","Ezzouhour ",13650.22322387
"TS2223","Hassi Ferid ",3400.88915402
"TS2224","Sbeitla ",5866.04111004
"TS2225","Sbiba ",4249.20901574
"TS2226","Djedeliane ",3664.35325468
"TS2227","El Ayoun ",3801.72122596
"TS2228","Thala ",4496.30982192
"TS2229","Hidra ",3054.96966834
"TS222A","Foussana ",5015.11367225
"TS222B","Feriana ",2496.05697031
"TS222C","Majel Bel Abbès ",1517.52180293
"TS2230","Sidi Bouzid Ouest  ",11357.78617446
"TS2231","Sidi Bouzid Est ",8802.2197576
"TS2232","Jilma ",3822.93083831
"TS2233","Cebalet Ouled Asker ",5818.65844993
"TS2234","Bir El Hafey ",7522.02801249
"TS2235","Sidi Ali Ben Aoûn ",2789.34681103
"TS2236","Menzel Bouzaïenne ",2559.93662453
"TS2237","Meknassy ",2854.89675754
"TS2238","Souk Jedid ",5672.3574767
"TS2239","Mezzouna ",2058.77380276
"TS223A","Regueb ",3983.44804099
"TS223B","Ouled Haffouz ",4488.41607516
"TS3110","Gabes Medina  ",15555.82067883
"TS3111","Gabes Ouest ",14474.24498228
"TS3112","Gabes Sud ",15052.94285813
"TS3113","Ghanouch ",15081.78170755
"TS3114","El Metouia ",7556.21830032
"TS3115","Menzel El Habib ",1601.91894209
"TS3116","El Hamma ",3048.55635615
"TS3117","Matmata ",2769.17267683
"TS3118","Nouvelle Matmata ",3768.77653835
"TS3119","Mareth ",5081.30530168
"TS3120","Medenine Nord  ",8027.76835
"TS3121","Medenine Sud ",5229.47476458
"TS3122","Beni Khedech ",3722.33840919
"TS3123","Ben Guerdane ",3182.7915571
"TS3124","Zarzis ",2985.58910817
"TS3125","Djerba Houmet Souk ",6347.17478938
"TS3126","Djerba Midoun ",5985.81161881
"TS3127","Djerba Ajim ",6018.26546366
"TS3128","Sidi Makhloulf ",5085.25737125
"TS3130","Tataouine Nord  ",5060.04008487
"TS3131","Tataouine Sud ",2059.08285518
"TS3132","Smâr ",2317.55862514
"TS3133","Bir Lahmar ",3670.6003592
"TS3134","Ghomrassen ",2968.1136653
"TS3135","Dhehiba ",425
"TS3136","Remada ",911
"TS3210","Gafsa Nord  ",9866.30715756
"TS3211","Sidi Aïch ",6096.79119035
"TS3212","El Ksar ",5322.67074534
"TS3213","Gafsa Sud ",3833.93838845
"TS3214","Oum El Araies ",3058.89066078
"TS3215","Redeyef ",3049.8068344
"TS3216","Metlaoui ",3491.87523543
"TS3217","Mdhila ",2341.46399299
"TS3218","EL Guetar ",2105.25903267
"TS3219","Belkhir ",1190.49751624
"TS321A","Sned ",6080.82625227
"TS3220","Tozeur  ",3773.48345268
"TS3221","Degach ",2347.48646312
"TS3222","Tameghza ",481.65278874
"TS3223","Nefta ",2421.72128995
"TS3224","Hazoua ",600.71834767
"TS3230","Kebili Sud  ",4672.81581885
"TS3231","Kebeli Nord ",3961.77685536
"TS3232","Souk El Ahed ",976.65574949
"TS3233","Douz Nord ",1520.00585578
"TS3234","Douz Sud ",569.05832864
"TS3235","Faouar ",329
