"ID","NAMES","IMMIG9404_AsTheCrowFlies_POT_10000"
"TS222C","Majel Bel Abbès ",364.00681854
"TS2230","Sidi Bouzid Ouest  ",3535.59230556
"TS2231","Sidi Bouzid Est ",1168.08483023
"TS2232","Jilma ",691.84431401
"TS2233","Cebalet Ouled Asker ",344.75420043
"TS2234","Bir El Hafey ",880.62667927
"TS2235","Sidi Ali Ben Aoûn ",375.26000972
"TS2236","Menzel Bouzaïenne ",292.79776407
"TS2237","Meknassy ",766.61664579
"TS2238","Souk Jedid ",213.8439796
"TS2239","Mezzouna ",444.34796604
"TS223A","Regueb ",1296.00853337
"TS223B","Ouled Haffouz ",504.19418404
"TS3110","Gabes Medina  ",9934.31436156
"TS3111","Gabes Ouest ",13058.38511802
"TS3112","Gabes Sud ",9771.95126409
"TS3113","Ghanouch ",7254.05657122
"TS3114","El Metouia ",1222.58110806
"TS3115","Menzel El Habib ",385
"TS3116","El Hamma ",1715
"TS3117","Matmata ",298.1667211
"TS3118","Nouvelle Matmata ",1086.0765834
"TS3119","Mareth ",1880.24716695
"TS3120","Medenine Nord  ",4692.29896826
"TS3121","Medenine Sud ",2198.45147104
"TS3122","Beni Khedech ",836.26610423
"TS3123","Ben Guerdane ",2988.00947856
"TS3124","Zarzis ",3736
"TS3125","Djerba Houmet Souk ",7252.00632822
"TS3126","Djerba Midoun ",7141.99252041
"TS3127","Djerba Ajim ",4228.71737517
"TS3128","Sidi Makhloulf ",622.23171718
"TS3130","Tataouine Nord  ",3444.00089544
"TS3131","Tataouine Sud ",1861
"TS3132","Smâr ",546.05751984
"TS3133","Bir Lahmar ",814.89759616
"TS3134","Ghomrassen ",917.53524812
"TS3135","Dhehiba ",296
"TS3136","Remada ",595
"TS3210","Gafsa Nord  ",631.34610305
"TS3211","Sidi Aïch ",449.19465379
"TS3212","El Ksar ",1865.59019093
"TS3213","Gafsa Sud ",6564.57628121
"TS3214","Oum El Araies ",617.00462725
"TS3215","Redeyef ",703.04484407
"TS3216","Metlaoui ",1335.02402849
"TS3217","Mdhila ",324.12899517
"TS3218","EL Guetar ",822.00049103
"TS3219","Belkhir ",333.0000071
"TS321A","Sned ",712.34806569
"TS3220","Tozeur  ",2041.66471324
"TS3221","Degach ",1056.1820294
"TS3222","Tameghza ",318.0000703
"TS3223","Nefta ",1038.21882376
"TS3224","Hazoua ",326.45911376
"TS3230","Kebili Sud  ",1523.73155215
"TS3231","Kebeli Nord ",2068.18670075
"TS3232","Souk El Ahed ",493
"TS3233","Douz Nord ",1142
"TS3234","Douz Sud ",709
"TS3235","Faouar ",643
