"ID","NAMES","IMMIG9404_AsTheCrowFlies_POT_50000"
"TS3113","Ghanouch ",25058.63523284
"TS3114","El Metouia ",22708.8805862
"TS3115","Menzel El Habib ",14945.38763746
"TS3116","El Hamma ",18120.23202939
"TS3117","Matmata ",16966.00417005
"TS3118","Nouvelle Matmata ",25056.07213239
"TS3119","Mareth ",27965.96880554
"TS3120","Medenine Nord  ",22491.87329711
"TS3121","Medenine Sud ",21502.82383632
"TS3122","Beni Khedech ",15560.36336962
"TS3123","Ben Guerdane ",6387.8510055
"TS3124","Zarzis ",17841.81574951
"TS3125","Djerba Houmet Souk ",18908.8358683
"TS3126","Djerba Midoun ",18172.51442509
"TS3127","Djerba Ajim ",21561.64063888
"TS3128","Sidi Makhloulf ",26736.98089295
"TS3130","Tataouine Nord  ",7683.10558127
"TS3131","Tataouine Sud ",6659.27504835
"TS3132","Smâr ",7567.65334412
"TS3133","Bir Lahmar ",16510.14360144
"TS3134","Ghomrassen ",12858.79506862
"TS3135","Dhehiba ",423.85066295
"TS3136","Remada ",608.57958437
"TS3210","Gafsa Nord  ",14602.68631505
"TS3211","Sidi Aïch ",15686.56880771
"TS3212","El Ksar ",14248.19530265
"TS3213","Gafsa Sud ",14733.74320572
"TS3214","Oum El Araies ",12193.78789949
"TS3215","Redeyef ",10086.35261816
"TS3216","Metlaoui ",13533.1511808
"TS3217","Mdhila ",13797.78293709
"TS3218","EL Guetar ",12132.3743125
"TS3219","Belkhir ",8997.79669201
"TS321A","Sned ",12281.10289805
"TS3220","Tozeur  ",6242.91149075
"TS3221","Degach ",9540.18183931
"TS3222","Tameghza ",5307.08258022
"TS3223","Nefta ",4626.5854847
"TS3224","Hazoua ",2975.3849445
"TS3230","Kebili Sud  ",5904.2833107
"TS3231","Kebeli Nord ",7004.03087359
"TS3232","Souk El Ahed ",8760.46373491
"TS3233","Douz Nord ",4708.3012779
"TS3234","Douz Sud ",1989.01895627
"TS3235","Faouar ",1027.26448109
