"ID","NAMES","IMMIG9404_AsTheCrowFlies_ACC_0.05"
"TS1245","Bourouis ",58945.3918186565
"TS1246","Makthar ",67518.0100715465
"TS1247","Er-Rouhia ",70869.4271579952
"TS1248","Kesra ",65404.965169534
"TS1249","Bargou ",53426.8398319208
"TS124A","El Aroussa ",46812.6498188561
"TS2110","Sousse Medina  ",8050.51857366031
"TS2111","Sousse Riadh ",7263.52770810379
"TS2112","Sousse Jawhara ",7017.80582986887
"TS2113","Sousse Sidi Abdelhamid ",7802.90475405823
"TS2114","Hammam Sousse ",10487.5338545437
"TS2115","Akouda ",17675.9654399894
"TS2116","Kalaâ Kebira ",20787.7161744204
"TS2117","Sidi Bou Ali ",26606.0538780613
"TS2118","Hergla ",29546.3046105906
"TS2119","Enfidha ",36159.9478776041
"TS211A","Bouficha ",33287.2625503061
"TS211B","Kondar ",31814.7131619333
"TS211C","Sidi El Héni ",25853.6863174404
"TS211D","M saken ",17801.4791725465
"TS211E","Kalaâ Seghira ",16520.9269595606
"TS2120","Monastir  ",13812.0451503366
"TS2121","Ouerdanine ",12501.7808259937
"TS2122","Sahline ",10685.0071757883
"TS2123","Zermadine ",22805.0354455618
"TS2124","Beni Hassen ",22569.5487823364
"TS2125","Jammel ",16291.336019106
"TS2126","Bembla ",13864.4471514612
"TS2127","Moknine ",23320.0500297819
"TS2128","Bekalta ",28132.1791347928
"TS2129","Teboulba ",24319.6998538159
"TS212A","Ksar Helal ",19616.6751096416
"TS212B","Ksibet El Mediouni ",16932.1291607202
"TS212C","Sayada-Lamta Bou-Hjar ",19876.5097660229
"TS2130","Mahdia  ",30560.8382074508
"TS2131","Bou Merdès ",30048.282405851
"TS2132","Ouled Chamekh ",35372.0439199967
"TS2133","Chorbane ",42721.5440605778
"TS2134","Hebira ",46143.0168159307
"TS2135","Essouassi ",36616.6464862704
"TS2136","El Djem ",36246.9376916889
"TS2137","Chebba ",42838.7181813071
"TS2138","Melloulech ",39545.7770905909
"TS2139","Sidi Alouane ",37631.0220576032
"TS213A","Ksour Essef ",37954.3702203888
"TS2140","Sfax Ville  ",6593.42841784357
"TS2141","Sfax Ouest ",6418.15633484169
"TS2142","Sakiet Ezzit ",13201.6651940818
"TS2143","Sakiet Eddaïer ",10937.0180171145
"TS2144","Sfax Sud ",10919.1308138447
"TS2145","Tina ",11915.42690036
"TS2146","Agareb ",26691.3434706539
"TS2147","Djebeniana ",32681.1185752334
"TS2148","El Amra ",21018.4141559218
"TS2149","El Hencha ",33467.4681770268
"TS214A","Menzel Chaker ",38476.4016120154
"TS214B","Ghraiba ",50474.5279503879
"TS214C","Bir ali Ben Kelifa ",53145.8059748112
"TS214D","Skhira ",63489.4760518439
"TS214E","Mahres ",36062.2749810354
"TS214F","Kerkenah ",43740.8812560267
"TS2210","Kairouan Nord  ",39619.7375906433
"TS2211","Kairouan Sud ",40956.9946370013
"TS2212","Echebika ",50708.9315054821
"TS2213","Sbikha ",44083.672892107
"TS2214","EL Ouslatia ",56985.1761853193
"TS2215","Haffouz ",61392.7320995759
"TS2216","El Alâa ",62482.0707892264
"TS2217","Hajeb el Ayoun ",66563.805606435
"TS2218","Nasrallah ",61182.2660234161
"TS2219","Echrarda ",54257.00282748
"TS221A","Bouhajla ",51286.1967155536
"TS2220","Kasserine Nord  ",86555.305513241
"TS2221","Kasserine Sud ",87633.0351007159
"TS2222","Ezzouhour ",85571.028971274
"TS2223","Hassi Ferid ",84582.5809354589
"TS2224","Sbeitla ",79669.662481535
"TS2225","Sbiba ",73904.9758167628
"TS2226","Djedeliane ",75420.4726312259
"TS2227","El Ayoun ",79352.8013362549
"TS2228","Thala ",83137.0201239561
"TS2229","Hidra ",91708.7763139686
"TS222A","Foussana ",92611.3003827631
"TS222B","Feriana ",98098.9769667866
"TS222C","Majel Bel Abbès ",97636.7510736249
"TS2230","Sidi Bouzid Ouest  ",76035.9365941993
"TS2231","Sidi Bouzid Est ",71597.681044572
"TS2232","Jilma ",72110.7202823719
"TS2233","Cebalet Ouled Asker ",76328.8712343123
"TS2234","Bir El Hafey ",79617.8411482827
"TS2235","Sidi Ali Ben Aoûn ",82377.7360732055
"TS2236","Menzel Bouzaïenne ",78170.4816273671
"TS2237","Meknassy ",73371.5372567526
"TS2238","Souk Jedid ",73897.2009594351
"TS2239","Mezzouna ",69376.6221305811
"TS223A","Regueb ",64856.9500279184
"TS223B","Ouled Haffouz ",63110.8023458293
"TS3110","Gabes Medina  ",63756.3751839418
"TS3111","Gabes Ouest ",66909.5109560561
"TS3112","Gabes Sud ",63899.7360877137
"TS3113","Ghanouch ",64660.5633404571
"TS3114","El Metouia ",66443.550533303
"TS3115","Menzel El Habib ",74097.4245306506
"TS3116","El Hamma ",78212.0675400204
"TS3117","Matmata ",79229.6882119515
"TS3118","Nouvelle Matmata ",69771.4556964775
"TS3119","Mareth ",61904.7278647772
"TS3120","Medenine Nord  ",66459.2142671898
"TS3121","Medenine Sud ",69094.3291801171
"TS3122","Beni Khedech ",78072.9195366033
"TS3123","Ben Guerdane ",120490.470140998
"TS3124","Zarzis ",81571.4071496657
"TS3125","Djerba Houmet Souk ",67999.615348089
"TS3126","Djerba Midoun ",73362.9100901781
"TS3127","Djerba Ajim ",67802.5358460056
"TS3128","Sidi Makhloulf ",62057.3097646598
"TS3130","Tataouine Nord  ",116415.123575347
"TS3131","Tataouine Sud ",107082.96283218
"TS3132","Smâr ",119971.579527899
"TS3133","Bir Lahmar ",76571.8669044249
"TS3134","Ghomrassen ",84725.5402400179
"TS3135","Dhehiba ",182370.812382287
"TS3136","Remada ",99999999999999
"TS3210","Gafsa Nord  ",87065.3678911408
"TS3211","Sidi Aïch ",90146.9721829238
"TS3212","El Ksar ",92213.2813525652
"TS3213","Gafsa Sud ",96976.8643272636
"TS3214","Oum El Araies ",108013.225140878
"TS3215","Redeyef ",120373.066970701
"TS3216","Metlaoui ",109469.069267263
"TS3217","Mdhila ",98961.9096988131
"TS3218","EL Guetar ",87642.6889874557
"TS3219","Belkhir ",79227.0129735744
"TS321A","Sned ",82701.6478906287
"TS3220","Tozeur  ",135105.618539265
"TS3221","Degach ",121341.87389811
"TS3222","Tameghza ",138635.064870358
"TS3223","Nefta ",150041.973068657
"TS3224","Hazoua ",165385.000054044
"TS3230","Kebili Sud  ",101219.088534805
"TS3231","Kebeli Nord ",94764.0043815072
"TS3232","Souk El Ahed ",96943.7392336909
"TS3233","Douz Nord ",106973.416760332
"TS3234","Douz Sud ",120097.755991351
"TS3235","Faouar ",148559.006287891
