"ID","NAMES","NBLOG2004_AsTheCrowFlies_POT_10000"
"TS2235","Sidi Ali Ben Aoûn ",5662.27916918
"TS2236","Menzel Bouzaïenne ",6147.72490216
"TS2237","Meknassy ",5610.15518775
"TS2238","Souk Jedid ",4037.72640937
"TS2239","Mezzouna ",4427.53994175
"TS223A","Regueb ",13042.11464426
"TS223B","Ouled Haffouz ",5867.4500879
"TS3110","Gabes Medina  ",25633.8568282
"TS3111","Gabes Ouest ",19724.81406473
"TS3112","Gabes Sud ",25274.89961782
"TS3113","Ghanouch ",17540.50190602
"TS3114","El Metouia ",6737.54864474
"TS3115","Menzel El Habib ",2666
"TS3116","El Hamma ",13111
"TS3117","Matmata ",2083.7790562
"TS3118","Nouvelle Matmata ",5072.06661423
"TS3119","Mareth ",15042.66321002
"TS3120","Medenine Nord  ",12309.63127924
"TS3121","Medenine Sud ",11431.18788132
"TS3122","Beni Khedech ",8837.74897513
"TS3123","Ben Guerdane ",16008.05117728
"TS3124","Zarzis ",21992
"TS3125","Djerba Houmet Souk ",27129.00252967
"TS3126","Djerba Midoun ",21737.04008144
"TS3127","Djerba Ajim ",18702.00409058
"TS3128","Sidi Makhloulf ",6899.92475464
"TS3130","Tataouine Nord  ",11859.00483472
"TS3131","Tataouine Sud ",7797
"TS3132","Smâr ",2948.29734764
"TS3133","Bir Lahmar ",2690.88154508
"TS3134","Ghomrassen ",6030.53014908
"TS3135","Dhehiba ",998
"TS3136","Remada ",2261
"TS3210","Gafsa Nord  ",2316.6591999
"TS3211","Sidi Aïch ",2139.37038421
"TS3212","El Ksar ",7277.82375481
"TS3213","Gafsa Sud ",21584.29150835
"TS3214","Oum El Araies ",7298.03458539
"TS3215","Redeyef ",5913.31301213
"TS3216","Metlaoui ",8805.19996248
"TS3217","Mdhila ",3090.25674071
"TS3218","EL Guetar ",4560.73849246
"TS3219","Belkhir ",3068.00007139
"TS321A","Sned ",7147.6106311
"TS3220","Tozeur  ",9532.63053076
"TS3221","Degach ",6145.5185578
"TS3222","Tameghza ",1474.0005913
"TS3223","Nefta ",4998.994153
"TS3224","Hazoua ",701.21092524
"TS3230","Kebili Sud  ",6453.25213985
"TS3231","Kebeli Nord ",7435.2811411
"TS3232","Souk El Ahed ",5933
"TS3233","Douz Nord ",5007
"TS3234","Douz Sud ",3053
"TS3235","Faouar ",3528
