"ID","NAMES","POPTO2004_AsTheCrowFlies_POT_50000"
"TS1153","Korba ",1255406.91522267
"TS1154","Menzel Temime ",968548.83660838
"TS1155","El Mida ",1252101.19285771
"TS1156","Kelibia ",613903.36361906
"TS1157","Hammam El Guezaz ",490754.61007309
"TS1158","El Haouaria ",759853.52652073
"TS1159","Takelsa ",1856588.23932766
"TS115A","Soliman ",2387452.5038737
"TS115B","Menzel Bouzelfa ",1890694.59895041
"TS115C","Beni Khalled ",1841354.43091772
"TS115D","Grombalia ",2411409.88306067
"TS115E","Bou Argoub ",1876453.83821973
"TS115F","Hammamet ",1843728.19758014
"TS1160","Zaghouan  ",2052772.0969011
"TS1161","Ez-Zeriba ",1669538.84841325
"TS1162","Bir Mchergua ",2240912.70227123
"TS1163","El Fahs ",1090070.54083519
"TS1164","En-Nadhour ",922888.35918248
"TS1165","Saouaf ",1285274.41582037
"TS1170","Bizerte Nord  ",1089262.75506925
"TS1171","Zarzouna ",1408212.17923351
"TS1172","Bizerte Sud ",1064520.39616537
"TS1173","Sedjnane ",628889.33751666
"TS1174","Djoumine ",1087503.83361214
"TS1175","Mateur ",1764455.24788527
"TS1176","Ghezala ",1075004.05709712
"TS1177","Menzel Bourguiba ",1886335.21703718
"TS1178","Tinja ",1631121.43465992
"TS1179","Utique ",2349069.88416251
"TS117A","Ghar El Meleh ",1951223.69303256
"TS117B","Menzel Djemil ",1639722.96831442
"TS117C","El Alia ",1933772.61765376
"TS117D","Ras Djebel ",1667711.55027711
"TS1210","Béja Nord  ",842063.18726756
"TS1211","Béja Sud ",801515.66816343
"TS1212","Amdoun ",705261.25942743
"TS1213","Nefza ",588724.56620623
"TS1214","Teboursouk ",740975.97371832
"TS1215","Tibar ",741073.89709413
"TS1216","Testour ",1030122.15241722
"TS1217","Goubellat ",1544733.82074463
"TS1218","Medjez El Bab ",1691680.39549323
"TS1220","Jendouba  ",686238.37714992
"TS1221","Jendouba Nord ",636525.84494508
"TS1222","Bou Salem ",736042.06591336
"TS1223","Tabarka ",534540.86397249
"TS1224","Ain Draham ",561033.37232599
"TS1225","Fernana ",573740.1421822
"TS1226","Ghardimaou ",402427.09568
"TS1227","Oued Meliz ",552463.75835012
"TS1228","Balta - Bou Aouane ",700730.71667373
"TS1230","Kef Ouest  ",495137.62817009
"TS1231","Kef Est ",592188.02631692
"TS1232","Nebeur ",629137.95552485
"TS1233","Sakiet Sidi Youssef ",392736.83693924
"TS1234","Tajerouine ",375249.04842243
"TS1235","Kalâat Snan ",241254.04553538
"TS1236","Kalâat Khasbah ",319501.82521985
"TS1237","Djerissa ",386610.7302353
"TS1238","El Ksour ",492792.9644147
"TS1239","Dahmani ",481071.90208214
"TS123A","Es-Sers ",547350.55032184
"TS1240","Siliana Nord  ",526972.42090534
"TS1241","Siliana Sud ",525920.61153254
"TS1242","Bou Arada ",791701.43007568
"TS1243","Gaâfour ",590834.54990301
"TS1244","El Krib ",676010.25085948
"TS1245","Bourouis ",589204.49401876
"TS1246","Makthar ",513364.15567106
"TS1247","Er-Rouhia ",541114.48887186
"TS1248","Kesra ",546958.96853411
"TS1249","Bargou ",583327.63615607
"TS124A","El Aroussa ",754491.61817936
"TS2110","Sousse Medina  ",1223684.00580306
"TS2111","Sousse Riadh ",1263308.17709349
"TS2112","Sousse Jawhara ",1241307.3385872
"TS2113","Sousse Sidi Abdelhamid ",1237657.92166884
"TS2114","Hammam Sousse ",1216197.76724898
"TS2115","Akouda ",1190017.34678547
"TS2116","Kalaâ Kebira ",1213913.54491477
"TS2117","Sidi Bou Ali ",1166104.12015272
"TS2118","Hergla ",1158945.58632268
"TS2119","Enfidha ",1193816.06580537
"TS211A","Bouficha ",1476147.98474211
"TS211B","Kondar ",1105711.35917318
"TS211C","Sidi El Héni ",1242299.91480495
"TS211D","M saken ",1336974.66219482
"TS211E","Kalaâ Seghira ",1266537.87091775
"TS2120","Monastir  ",1188402.08991965
"TS2121","Ouerdanine ",1286546.32840475
"TS2122","Sahline ",1247023.86458549
"TS2123","Zermadine ",1339893.86179638
"TS2124","Beni Hassen ",1270402.18297416
"TS2125","Jammel ",1294618.30876135
"TS2126","Bembla ",1236479.56303055
"TS2127","Moknine ",1166978.86410951
"TS2128","Bekalta ",991733.38822129
"TS2129","Teboulba ",1040627.59971913
"TS212A","Ksar Helal ",1143584.09630856
"TS212B","Ksibet El Mediouni ",1189071.89729337
"TS212C","Sayada-Lamta Bou-Hjar ",1119665.46492182
"TS2130","Mahdia  ",1042901.33635317
"TS2131","Bou Merdès ",1285196.63719744
"TS2132","Ouled Chamekh ",1187491.96853968
"TS2133","Chorbane ",1035891.65079547
"TS2134","Hebira ",916926.91101377
"TS2135","Essouassi ",1237231.14407839
"TS2136","El Djem ",1214905.37826683
"TS2137","Chebba ",830747.77674545
"TS2138","Melloulech ",914310.46997138
"TS2139","Sidi Alouane ",1092053.80449511
"TS213A","Ksour Essef ",987002.63160778
"TS2140","Sfax Ville  ",800067.22461875
"TS2141","Sfax Ouest ",794844.92204708
"TS2142","Sakiet Ezzit ",906133.24222
"TS2143","Sakiet Eddaïer ",844222.47048122
"TS2144","Sfax Sud ",869069.06560832
"TS2145","Tina ",770153.63615833
"TS2146","Agareb ",782948.48044184
"TS2147","Djebeniana ",956330.57527925
"TS2148","El Amra ",893786.66983732
"TS2149","El Hencha ",1089775.64595021
"TS214A","Menzel Chaker ",881219.15489925
"TS214B","Ghraiba ",454447.12550312
"TS214C","Bir ali Ben Kelifa ",512564.13043245
"TS214D","Skhira ",307085.56463697
"TS214E","Mahres ",606463.02826346
"TS214F","Kerkenah ",441865.61762135
"TS2210","Kairouan Nord  ",990867.47242345
"TS2211","Kairouan Sud ",1005162.23463555
"TS2212","Echebika ",803926.85338627
"TS2213","Sbikha ",870128.68502594
"TS2214","EL Ouslatia ",623664.9398067
"TS2215","Haffouz ",669436.03077259
"TS2216","El Alâa ",630104.84547031
"TS2217","Hajeb el Ayoun ",632415.66250173
"TS2218","Nasrallah ",654134.54683684
"TS2219","Echrarda ",670665.53091047
"TS221A","Bouhajla ",791440.22974877
"TS2220","Kasserine Nord  ",438202.45628905
"TS2221","Kasserine Sud ",429294.22751148
"TS2222","Ezzouhour ",457819.75091351
"TS2223","Hassi Ferid ",470595.41973597
"TS2224","Sbeitla ",544448.83329604
"TS2225","Sbiba ",553658.22675098
"TS2226","Djedeliane ",490935.02202963
"TS2227","El Ayoun ",492355.88056377
"TS2228","Thala ",410448.83012075
"TS2229","Hidra ",294039.7006604
"TS222A","Foussana ",333423.53836611
"TS222B","Feriana ",296010.11282467
"TS222C","Majel Bel Abbès ",338507.59143423
"TS2230","Sidi Bouzid Ouest  ",527456.92432909
"TS2231","Sidi Bouzid Est ",558941.85350716
"TS2232","Jilma ",599467.24904893
"TS2233","Cebalet Ouled Asker ",574324.26627137
"TS2234","Bir El Hafey ",484645.422286
"TS2235","Sidi Ali Ben Aoûn ",440771.81761424
"TS2236","Menzel Bouzaïenne ",363443.68225775
"TS2237","Meknassy ",362245.32395665
"TS2238","Souk Jedid ",460191.72618134
"TS2239","Mezzouna ",310663.94565208
"TS223A","Regueb ",467129.49134926
"TS223B","Ouled Haffouz ",566778.61330621
"TS3110","Gabes Medina  ",361983.09719717
"TS3111","Gabes Ouest ",360860.56520774
"TS3112","Gabes Sud ",376801.65004428
"TS3113","Ghanouch ",350428.1966018
"TS3114","El Metouia ",330398.93687832
"TS3115","Menzel El Habib ",279471.29598937
"TS3116","El Hamma ",272482.87313232
"TS3117","Matmata ",252733.07963049
"TS3118","Nouvelle Matmata ",350481.20591807
"TS3119","Mareth ",397633.90949591
"TS3120","Medenine Nord  ",362780.96792186
"TS3121","Medenine Sud ",354213.38381788
"TS3122","Beni Khedech ",258498.4944185
"TS3123","Ben Guerdane ",133389.49852725
"TS3124","Zarzis ",277985.23667739
"TS3125","Djerba Houmet Souk ",267231.79928001
"TS3126","Djerba Midoun ",261176.22106228
"TS3127","Djerba Ajim ",314075.30171826
"TS3128","Sidi Makhloulf ",407998.72970278
"TS3130","Tataouine Nord  ",141284.26319314
"TS3131","Tataouine Sud ",119369.53438975
"TS3132","Smâr ",149125.19520963
"TS3133","Bir Lahmar ",292971.50800367
"TS3134","Ghomrassen ",228397.12489889
"TS3135","Dhehiba ",6050.61408316
"TS3136","Remada ",10159.49022525
"TS3210","Gafsa Nord  ",367720.78596388
"TS3211","Sidi Aïch ",394736.34691386
"TS3212","El Ksar ",330976.85896607
"TS3213","Gafsa Sud ",344934.74287945
"TS3214","Oum El Araies ",285720.48426372
"TS3215","Redeyef ",234574.51151733
"TS3216","Metlaoui ",301751.4581457
"TS3217","Mdhila ",305508.33319966
"TS3218","EL Guetar ",288872.77589649
"TS3219","Belkhir ",268719.23931162
"TS321A","Sned ",341102.85640141
"TS3220","Tozeur  ",143486.76285973
"TS3221","Degach ",219350.75097644
"TS3222","Tameghza ",131972.17312217
"TS3223","Nefta ",98988.01930185
"TS3224","Hazoua ",58568.13667856
"TS3230","Kebili Sud  ",133143.14609545
"TS3231","Kebeli Nord ",160739.22902906
"TS3232","Souk El Ahed ",200364.43579702
"TS3233","Douz Nord ",97640.88833539
"TS3234","Douz Sud ",44957.7799849
"TS3235","Faouar ",24304.06913341
