"ID","NAMES","POPTO2004_AsTheCrowFlies_POT_10000"
"TS3134","Ghomrassen ",18346.62812174
"TS3135","Dhehiba ",3971
"TS3136","Remada ",9977
"TS3210","Gafsa Nord  ",9662.62994367
"TS3211","Sidi Aïch ",8436.03061493
"TS3212","El Ksar ",32821.67553281
"TS3213","Gafsa Sud ",90946.50465724
"TS3214","Oum El Araies ",31733.16199304
"TS3215","Redeyef ",27941.3813075
"TS3216","Metlaoui ",38938.94485205
"TS3217","Mdhila ",14896.34054718
"TS3218","EL Guetar ",19995.00437507
"TS3219","Belkhir ",15159.00034524
"TS321A","Sned ",34559.84155116
"TS3220","Tozeur  ",39898.29968336
"TS3221","Degach ",26619.09760032
"TS3222","Tameghza ",6362.002794
"TS3223","Nefta ",20586.377708
"TS3224","Hazoua ",4171.10427904
"TS3230","Kebili Sud  ",30585.15676485
"TS3231","Kebeli Nord ",31854.029586
"TS3232","Souk El Ahed ",26732
"TS3233","Douz Nord ",25534
"TS3234","Douz Sud ",17187
"TS3235","Faouar ",16296
