"ID","NAMES","POPTO2004_AsTheCrowFlies_ACC_0.01"
"TS222A","Foussana ",24275.722044755
"TS222B","Feriana ",27173.9618338694
"TS222C","Majel Bel Abbès ",28255.3087888099
"TS2230","Sidi Bouzid Ouest  ",15000.5771671202
"TS2231","Sidi Bouzid Est ",18625.0729825784
"TS2232","Jilma ",20794.82753038
"TS2233","Cebalet Ouled Asker ",19428.2431823117
"TS2234","Bir El Hafey ",20337.1741481098
"TS2235","Sidi Ali Ben Aoûn ",25825.2311079909
"TS2236","Menzel Bouzaïenne ",26546.3563635684
"TS2237","Meknassy ",26986.0518431147
"TS2238","Souk Jedid ",21598.1171720892
"TS2239","Mezzouna ",30613.7165490677
"TS223A","Regueb ",22763.2379339243
"TS223B","Ouled Haffouz ",22460.6341363214
"TS3110","Gabes Medina  ",8461.90288280321
"TS3111","Gabes Ouest ",12125.0639873123
"TS3112","Gabes Sud ",9221.05123695897
"TS3113","Ghanouch ",12680.2167210243
"TS3114","El Metouia ",21589.6826284507
"TS3115","Menzel El Habib ",32422.1984260744
"TS3116","El Hamma ",30824.0185634621
"TS3117","Matmata ",35871.8232290294
"TS3118","Nouvelle Matmata ",23914.8168570992
"TS3119","Mareth ",20531.6223051582
"TS3120","Medenine Nord  ",20112.9443718679
"TS3121","Medenine Sud ",22579.8510172312
"TS3122","Beni Khedech ",30563.4333521077
"TS3123","Ben Guerdane ",39414.4922984605
"TS3124","Zarzis ",24322.3585097915
"TS3125","Djerba Houmet Souk ",12395.5418004012
"TS3126","Djerba Midoun ",15188.7801306701
"TS3127","Djerba Ajim ",15945.4528126097
"TS3128","Sidi Makhloulf ",22434.9902454094
"TS3130","Tataouine Nord  ",40767.6832176281
"TS3131","Tataouine Sud ",45438.7559615881
"TS3132","Smâr ",31860.5098895234
"TS3133","Bir Lahmar ",27992.3039252334
"TS3134","Ghomrassen ",32223.1562482701
"TS3135","Dhehiba ",96324.9840997013
"TS3136","Remada ",123060.183456552
"TS3210","Gafsa Nord  ",24665.3246661148
"TS3211","Sidi Aïch ",25955.6011975709
"TS3212","El Ksar ",19814.2606301536
"TS3213","Gafsa Sud ",12570.9404667688
"TS3214","Oum El Araies ",25396.0101800704
"TS3215","Redeyef ",30397.3214765157
"TS3216","Metlaoui ",23439.3488152032
"TS3217","Mdhila ",25307.7952467925
"TS3218","EL Guetar ",29646.8638224122
"TS3219","Belkhir ",34048.6775975518
"TS321A","Sned ",27665.7302173437
"TS3220","Tozeur  ",37792.0147998645
"TS3221","Degach ",31250.8733613428
"TS3222","Tameghza ",43996.6105058096
"TS3223","Nefta ",50037.2061857965
"TS3224","Hazoua ",66534.3876060254
"TS3230","Kebili Sud  ",40558.9507115994
"TS3231","Kebeli Nord ",36408.513349859
"TS3232","Souk El Ahed ",37209.4257824171
"TS3233","Douz Nord ",50287.3026817461
"TS3234","Douz Sud ",63638.0522927288
"TS3235","Faouar ",74766.5235915476
