"ID","NAMES","EMIG9404_AsTheCrowFlies_POT_50000"
"TS1217","Goubellat ",134198.22273406
"TS1218","Medjez El Bab ",145219.93441007
"TS1220","Jendouba  ",51166.22288943
"TS1221","Jendouba Nord ",45383.13206292
"TS1222","Bou Salem ",53658.22936358
"TS1223","Tabarka ",34564.25399609
"TS1224","Ain Draham ",36924.16363939
"TS1225","Fernana ",38787.93395626
"TS1226","Ghardimaou ",26895.29843221
"TS1227","Oued Meliz ",39536.57393825
"TS1228","Balta - Bou Aouane ",48365.51506448
"TS1230","Kef Ouest  ",40195.84441849
"TS1231","Kef Est ",49661.69108725
"TS1232","Nebeur ",48999.18821276
"TS1233","Sakiet Sidi Youssef ",30026.70397983
"TS1234","Tajerouine ",30891.4980716
"TS1235","Kalâat Snan ",18460.43043743
"TS1236","Kalâat Khasbah ",24746.82812328
"TS1237","Djerissa ",31555.8074637
"TS1238","El Ksour ",41147.80214482
"TS1239","Dahmani ",41482.95757298
"TS123A","Es-Sers ",47747.22969131
"TS1240","Siliana Nord  ",43612.9242238
"TS1241","Siliana Sud ",41269.75066998
"TS1242","Bou Arada ",60796.7472936
"TS1243","Gaâfour ",47350.38619248
"TS1244","El Krib ",54666.47063024
"TS1245","Bourouis ",50323.38819767
"TS1246","Makthar ",41445.81433051
"TS1247","Er-Rouhia ",38342.70144284
"TS1248","Kesra ",40187.3642449
"TS1249","Bargou ",42711.91750024
"TS124A","El Aroussa ",58153.8979293
"TS2110","Sousse Medina  ",70701.83126478
"TS2111","Sousse Riadh ",72783.95126104
"TS2112","Sousse Jawhara ",71200.51447753
"TS2113","Sousse Sidi Abdelhamid ",72000.67539296
"TS2114","Hammam Sousse ",71533.86603571
"TS2115","Akouda ",71495.43569608
"TS2116","Kalaâ Kebira ",74339.85764155
"TS2117","Sidi Bou Ali ",72864.64807073
"TS2118","Hergla ",73110.5304438
"TS2119","Enfidha ",81232.26767506
"TS211A","Bouficha ",110908.13453578
"TS211B","Kondar ",70155.35562255
"TS211C","Sidi El Héni ",75104.14452636
"TS211D","M saken ",76824.48611093
"TS211E","Kalaâ Seghira ",75782.34580741
"TS2120","Monastir  ",65633.015579
"TS2121","Ouerdanine ",71931.04201784
"TS2122","Sahline ",69694.76732942
"TS2123","Zermadine ",72673.84361185
"TS2124","Beni Hassen ",66387.18201556
"TS2125","Jammel ",70485.03437524
"TS2126","Bembla ",67568.28379691
"TS2127","Moknine ",59681.2250085
"TS2128","Bekalta ",50126.27205982
"TS2129","Teboulba ",53999.05352467
"TS212A","Ksar Helal ",60341.12526505
"TS212B","Ksibet El Mediouni ",63523.54531462
"TS212C","Sayada-Lamta Bou-Hjar ",59388.64317187
"TS2130","Mahdia  ",51122.36295321
"TS2131","Bou Merdès ",66241.57745559
"TS2132","Ouled Chamekh ",67229.92395696
"TS2133","Chorbane ",57112.09604046
"TS2134","Hebira ",50833.90760603
"TS2135","Essouassi ",65458.31639724
"TS2136","El Djem ",62711.01632759
"TS2137","Chebba ",42278.69090353
"TS2138","Melloulech ",50703.723701
"TS2139","Sidi Alouane ",55355.77797469
"TS213A","Ksour Essef ",47251.10627196
"TS2140","Sfax Ville  ",61761.41270082
"TS2141","Sfax Ouest ",61667.76026616
"TS2142","Sakiet Ezzit ",65409.65664016
"TS2143","Sakiet Eddaïer ",62959.39599965
"TS2144","Sfax Sud ",64652.42468419
"TS2145","Tina ",60833.71220992
"TS2146","Agareb ",60041.51111036
"TS2147","Djebeniana ",59542.85696684
"TS2148","El Amra ",62772.10654019
"TS2149","El Hencha ",64898.35310646
"TS214A","Menzel Chaker ",57809.88704918
"TS214B","Ghraiba ",34169.39623871
"TS214C","Bir ali Ben Kelifa ",34971.57735117
"TS214D","Skhira ",20873.62569174
"TS214E","Mahres ",49320.78584157
"TS214F","Kerkenah ",35960.24201839
"TS2210","Kairouan Nord  ",62017.2021107
"TS2211","Kairouan Sud ",61115.29629215
"TS2212","Echebika ",51396.32230663
"TS2213","Sbikha ",56901.09630645
"TS2214","EL Ouslatia ",44420.15773965
"TS2215","Haffouz ",43378.82686506
"TS2216","El Alâa ",42882.03814587
"TS2217","Hajeb el Ayoun ",39931.60371868
"TS2218","Nasrallah ",40211.3789933
"TS2219","Echrarda ",39094.13894769
"TS221A","Bouhajla ",46901.62582469
"TS2220","Kasserine Nord  ",31713.74166103
"TS2221","Kasserine Sud ",31690.10844103
"TS2222","Ezzouhour ",33436.05359346
"TS2223","Hassi Ferid ",35898.25595923
"TS2224","Sbeitla ",38190.79273334
"TS2225","Sbiba ",37969.42787185
"TS2226","Djedeliane ",37182.14086414
"TS2227","El Ayoun ",35583.49771169
"TS2228","Thala ",30805.5078427
"TS2229","Hidra ",22228.27271614
"TS222A","Foussana ",24976.69834353
"TS222B","Feriana ",21661.14370949
"TS222C","Majel Bel Abbès ",23047.44594902
"TS2230","Sidi Bouzid Ouest  ",34625.8502514
"TS2231","Sidi Bouzid Est ",34470.35359941
"TS2232","Jilma ",38294.96310019
"TS2233","Cebalet Ouled Asker ",38285.90345343
"TS2234","Bir El Hafey ",34942.15220638
"TS2235","Sidi Ali Ben Aoûn ",33396.89163972
"TS2236","Menzel Bouzaïenne ",25996.56457218
"TS2237","Meknassy ",23669.73832231
"TS2238","Souk Jedid ",30132.43164579
"TS2239","Mezzouna ",19224.76737545
"TS223A","Regueb ",29237.24287043
"TS223B","Ouled Haffouz ",34167.0847512
"TS3110","Gabes Medina  ",27073.47930059
"TS3111","Gabes Ouest ",27428.23403237
"TS3112","Gabes Sud ",28720.52273993
"TS3113","Ghanouch ",26098.4199247
"TS3114","El Metouia ",24324.75309033
"TS3115","Menzel El Habib ",18514.41316989
"TS3116","El Hamma ",19442.11550546
"TS3117","Matmata ",19675.37208559
"TS3118","Nouvelle Matmata ",27552.36675061
"TS3119","Mareth ",30381.55867452
"TS3120","Medenine Nord  ",25331.00563895
"TS3121","Medenine Sud ",21608.73663986
"TS3122","Beni Khedech ",20016.22659667
"TS3123","Ben Guerdane ",6992.34043839
"TS3124","Zarzis ",13898.59098771
"TS3125","Djerba Houmet Souk ",14227.45934576
"TS3126","Djerba Midoun ",13017.96926032
"TS3127","Djerba Ajim ",17288.69418916
"TS3128","Sidi Makhloulf ",26236.37686216
"TS3130","Tataouine Nord  ",9615.65912149
"TS3131","Tataouine Sud ",9279.94480395
"TS3132","Smâr ",9004.25325763
"TS3133","Bir Lahmar ",20057.59464115
"TS3134","Ghomrassen ",17289.1059664
"TS3135","Dhehiba ",608.20415499
"TS3136","Remada ",930.47350289
"TS3210","Gafsa Nord  ",24671.12753094
"TS3211","Sidi Aïch ",27214.81048504
"TS3212","El Ksar ",20778.64527401
"TS3213","Gafsa Sud ",21557.48223203
"TS3214","Oum El Araies ",15907.15533188
"TS3215","Redeyef ",11914.43304474
"TS3216","Metlaoui ",16228.06726712
"TS3217","Mdhila ",17522.92744936
"TS3218","EL Guetar ",18487.92333783
"TS3219","Belkhir ",18057.2613276
"TS321A","Sned ",24199.91715441
"TS3220","Tozeur  ",7977.14252616
"TS3221","Degach ",11438.94648551
"TS3222","Tameghza ",7361.602852
"TS3223","Nefta ",5739.95570586
"TS3224","Hazoua ",3477.80113394
"TS3230","Kebili Sud  ",8680.80695796
"TS3231","Kebeli Nord ",10122.08722632
"TS3232","Souk El Ahed ",11558.07420923
"TS3233","Douz Nord ",7355.39802039
"TS3234","Douz Sud ",2863.4046049
"TS3235","Faouar ",982.20664604
