"ID","NAMES","IMMIG9404_AsTheCrowFlies_POT_20000"
"TS2211","Kairouan Sud ",9623.46482737
"TS2212","Echebika ",6048.24891694
"TS2213","Sbikha ",2897.47618743
"TS2214","EL Ouslatia ",1152.20951235
"TS2215","Haffouz ",1639.49617239
"TS2216","El Alâa ",1329.87336599
"TS2217","Hajeb el Ayoun ",1677.46575933
"TS2218","Nasrallah ",1106.64108932
"TS2219","Echrarda ",908.19578021
"TS221A","Bouhajla ",2800.65934163
"TS2220","Kasserine Nord  ",5502.90883838
"TS2221","Kasserine Sud ",5128.46782637
"TS2222","Ezzouhour ",5457.5830212
"TS2223","Hassi Ferid ",1292.19369253
"TS2224","Sbeitla ",2390.21051197
"TS2225","Sbiba ",1817.80147127
"TS2226","Djedeliane ",1443.49981497
"TS2227","El Ayoun ",1413.15461982
"TS2228","Thala ",1562.40785704
"TS2229","Hidra ",1319.0245671
"TS222A","Foussana ",1898.94797676
"TS222B","Feriana ",1439.1631949
"TS222C","Majel Bel Abbès ",872.52916612
"TS2230","Sidi Bouzid Ouest  ",4836.06076012
"TS2231","Sidi Bouzid Est ",3596.07939246
"TS2232","Jilma ",1595.60931543
"TS2233","Cebalet Ouled Asker ",2398.39796231
"TS2234","Bir El Hafey ",3306.57844485
"TS2235","Sidi Ali Ben Aoûn ",1049.2964476
"TS2236","Menzel Bouzaïenne ",963.75091703
"TS2237","Meknassy ",1194.54443688
"TS2238","Souk Jedid ",2312.7175902
"TS2239","Mezzouna ",955.38044815
"TS223A","Regueb ",1658.16727152
"TS223B","Ouled Haffouz ",1353.05008323
"TS3110","Gabes Medina  ",16759.26721658
"TS3111","Gabes Ouest ",17520.92593231
"TS3112","Gabes Sud ",17004.43851576
"TS3113","Ghanouch ",16114.0596137
"TS3114","El Metouia ",7812.81399205
"TS3115","Menzel El Habib ",584.48100262
"TS3116","El Hamma ",1816.31354155
"TS3117","Matmata ",681.21306153
"TS3118","Nouvelle Matmata ",5561.99046118
"TS3119","Mareth ",4235.79365997
"TS3120","Medenine Nord  ",6586.13596784
"TS3121","Medenine Sud ",4412.79340886
"TS3122","Beni Khedech ",1623.0783628
"TS3123","Ben Guerdane ",3126.75499764
"TS3124","Zarzis ",4054.27552696
"TS3125","Djerba Houmet Souk ",10990.14375442
"TS3126","Djerba Midoun ",11063.80369074
"TS3127","Djerba Ajim ",10246.88464559
"TS3128","Sidi Makhloulf ",4042.21279948
"TS3130","Tataouine Nord  ",3547.3612157
"TS3131","Tataouine Sud ",1922.93266063
"TS3132","Smâr ",1956.82652232
"TS3133","Bir Lahmar ",3286.12517421
"TS3134","Ghomrassen ",1768.12976962
"TS3135","Dhehiba ",296
"TS3136","Remada ",595
"TS3210","Gafsa Nord  ",2695.7834137
"TS3211","Sidi Aïch ",2403.73894609
"TS3212","El Ksar ",6058.60245932
"TS3213","Gafsa Sud ",8006.62860157
"TS3214","Oum El Araies ",1825.47026107
"TS3215","Redeyef ",1256.82122174
"TS3216","Metlaoui ",2676.39304322
"TS3217","Mdhila ",2315.50085922
"TS3218","EL Guetar ",1771.64246889
"TS3219","Belkhir ",470.5986533
"TS321A","Sned ",1254.75181232
"TS3220","Tozeur  ",2893.66296692
"TS3221","Degach ",2022.36105751
"TS3222","Tameghza ",412.95539516
"TS3223","Nefta ",2023.54358115
"TS3224","Hazoua ",722.0409567
"TS3230","Kebili Sud  ",2836.64434215
"TS3231","Kebeli Nord ",2990.87416184
"TS3232","Souk El Ahed ",677.1434509
"TS3233","Douz Nord ",1193.38979246
"TS3234","Douz Sud ",709.04840938
"TS3235","Faouar ",643
