"ID","NAMES","EMIG9404_AsTheCrowFlies_ACC_0.05"
"TS1165","Saouaf ",38919.800423602
"TS1170","Bizerte Nord  ",37443.3260937426
"TS1171","Zarzouna ",32520.1497703398
"TS1172","Bizerte Sud ",38399.6362966273
"TS1173","Sedjnane ",47596.3599819323
"TS1174","Djoumine ",38528.1073238197
"TS1175","Mateur ",30656.2494457959
"TS1176","Ghezala ",38854.923847875
"TS1177","Menzel Bourguiba ",26275.5145398437
"TS1178","Tinja ",30748.3062122455
"TS1179","Utique ",20789.7661078574
"TS117A","Ghar El Meleh ",25312.0344587649
"TS117B","Menzel Djemil ",30222.1550011985
"TS117C","El Alia ",25169.6585277779
"TS117D","Ras Djebel ",30157.5921700005
"TS1210","Béja Nord  ",40939.8740799548
"TS1211","Béja Sud ",39740.1661353238
"TS1212","Amdoun ",41178.3681332658
"TS1213","Nefza ",48720.7200687411
"TS1214","Teboursouk ",40634.2047099428
"TS1215","Tibar ",38079.4246663081
"TS1216","Testour ",40194.6462841275
"TS1217","Goubellat ",33723.2264359066
"TS1218","Medjez El Bab ",32005.3009498848
"TS1220","Jendouba  ",37593.4567872291
"TS1221","Jendouba Nord ",41362.2783077881
"TS1222","Bou Salem ",37100.9234797894
"TS1223","Tabarka ",50804.1473778417
"TS1224","Ain Draham ",48650.3886668598
"TS1225","Fernana ",46949.2442685552
"TS1226","Ghardimaou ",58393.0140341638
"TS1227","Oued Meliz ",46182.3819566457
"TS1228","Balta - Bou Aouane ",38839.8047052127
"TS1230","Kef Ouest  ",45960.6520398087
"TS1231","Kef Est ",39114.7507988793
"TS1232","Nebeur ",38557.6634078524
"TS1233","Sakiet Sidi Youssef ",55002.467784866
"TS1234","Tajerouine ",53670.3039040151
"TS1235","Kalâat Snan ",64758.0688706924
"TS1236","Kalâat Khasbah ",58705.4237738234
"TS1237","Djerissa ",52900.735806436
"TS1238","El Ksour ",45913.404502831
"TS1239","Dahmani ",45272.4467081602
"TS123A","Es-Sers ",40675.7775305819
"TS1240","Siliana Nord  ",44577.2790536513
"TS1241","Siliana Sud ",46221.5006333521
"TS1242","Bou Arada ",43287.0657694064
"TS1243","Gaâfour ",43816.031674476
"TS1244","El Krib ",38122.7788748391
"TS1245","Bourouis ",39902.2134423769
"TS1246","Makthar ",45811.6003960559
"TS1247","Er-Rouhia ",48259.1503257354
"TS1248","Kesra ",46973.9932712258
"TS1249","Bargou ",46329.1682327836
"TS124A","El Aroussa ",43035.7044433132
"TS2110","Sousse Medina  ",17993.2947404422
"TS2111","Sousse Riadh ",17587.9540667034
"TS2112","Sousse Jawhara ",16996.4288173292
"TS2113","Sousse Sidi Abdelhamid ",18364.2056656199
"TS2114","Hammam Sousse ",21106.2898967904
"TS2115","Akouda ",26753.4622948729
"TS2116","Kalaâ Kebira ",27304.9030265952
"TS2117","Sidi Bou Ali ",31918.7464975982
"TS2118","Hergla ",34562.8048684189
"TS2119","Enfidha ",38579.2212181408
"TS211A","Bouficha ",35652.3474927528
"TS211B","Kondar ",32867.3611450999
"TS211C","Sidi El Héni ",28543.2033264081
"TS211D","M saken ",25793.634972829
"TS211E","Kalaâ Seghira ",24189.8714396304
"TS2120","Monastir  ",22400.0955131754
"TS2121","Ouerdanine ",19826.6633500386
"TS2122","Sahline ",19027.5434336688
"TS2123","Zermadine ",29486.4470127999
"TS2124","Beni Hassen ",30382.6638558976
"TS2125","Jammel ",25070.4666680003
"TS2126","Bembla ",23084.8873347647
"TS2127","Moknine ",33128.7178532807
"TS2128","Bekalta ",38742.5111044738
"TS2129","Teboulba ",35188.3541279973
"TS212A","Ksar Helal ",29483.4022580755
"TS212B","Ksibet El Mediouni ",27024.5417890412
"TS212C","Sayada-Lamta Bou-Hjar ",29684.6360352345
"TS2130","Mahdia  ",39799.4949714156
"TS2131","Bou Merdès ",35672.1924691062
"TS2132","Ouled Chamekh ",36693.9338743101
"TS2133","Chorbane ",42656.6582775261
"TS2134","Hebira ",44116.4843524927
"TS2135","Essouassi ",39421.4112990419
"TS2136","El Djem ",39781.793622518
"TS2137","Chebba ",46592.6266496465
"TS2138","Melloulech ",42675.6393028089
"TS2139","Sidi Alouane ",41570.200972383
"TS213A","Ksour Essef ",43856.14364178
"TS2140","Sfax Ville  ",6979.3312314773
"TS2141","Sfax Ouest ",9064.04740573257
"TS2142","Sakiet Ezzit ",17448.373787502
"TS2143","Sakiet Eddaïer ",15301.5343536986
"TS2144","Sfax Sud ",14725.6153377439
"TS2145","Tina ",16214.6468277131
"TS2146","Agareb ",29706.3628085698
"TS2147","Djebeniana ",36179.129515712
"TS2148","El Amra ",26044.3624519985
"TS2149","El Hencha ",35742.0619694523
"TS214A","Menzel Chaker ",39054.5560019499
"TS214B","Ghraiba ",50748.3821846504
"TS214C","Bir ali Ben Kelifa ",50281.693464592
"TS214D","Skhira ",60230.8208187003
"TS214E","Mahres ",39641.1327432418
"TS214F","Kerkenah ",49670.9750918285
"TS2210","Kairouan Nord  ",35483.1820099136
"TS2211","Kairouan Sud ",36446.1712803914
"TS2212","Echebika ",40252.9571714477
"TS2213","Sbikha ",40384.0298574454
"TS2214","EL Ouslatia ",44504.7100744684
"TS2215","Haffouz ",45201.3078618434
"TS2216","El Alâa ",45573.7343091906
"TS2217","Hajeb el Ayoun ",47306.1379249104
"TS2218","Nasrallah ",46973.0355624113
"TS2219","Echrarda ",48109.1085725463
"TS221A","Bouhajla ",44055.6887490719
"TS2220","Kasserine Nord  ",53660.6707716937
"TS2221","Kasserine Sud ",53716.2785183908
"TS2222","Ezzouhour ",51946.1391812428
"TS2223","Hassi Ferid ",49665.4923055335
"TS2224","Sbeitla ",47645.2670434509
"TS2225","Sbiba ",48451.9891449474
"TS2226","Djedeliane ",48886.676884444
"TS2227","El Ayoun ",49949.0114195993
"TS2228","Thala ",53760.9095338115
"TS2229","Hidra ",62689.8064538445
"TS222A","Foussana ",62039.2628356373
"TS222B","Feriana ",65299.1251162621
"TS222C","Majel Bel Abbès ",63809.4262069538
"TS2230","Sidi Bouzid Ouest  ",50647.4084835252
"TS2231","Sidi Bouzid Est ",50696.0659160053
"TS2232","Jilma ",48134.9110511735
"TS2233","Cebalet Ouled Asker ",47776.8673814017
"TS2234","Bir El Hafey ",50467.1874085705
"TS2235","Sidi Ali Ben Aoûn ",51893.3821215671
"TS2236","Menzel Bouzaïenne ",58526.4471293243
"TS2237","Meknassy ",59538.9934672732
"TS2238","Souk Jedid ",54195.4006972273
"TS2239","Mezzouna ",61185.138960524
"TS223A","Regueb ",53717.0969693097
"TS223B","Ouled Haffouz ",50717.2664270698
"TS3110","Gabes Medina  ",61255.6131588284
"TS3111","Gabes Ouest ",62024.8650722279
"TS3112","Gabes Sud ",60325.335079336
"TS3113","Ghanouch ",61952.2425468117
"TS3114","El Metouia ",62929.5155844059
"TS3115","Menzel El Habib ",65746.8780339083
"TS3116","El Hamma ",69300.1536702525
"TS3117","Matmata ",70882.4665657325
"TS3118","Nouvelle Matmata ",62442.372588589
"TS3119","Mareth ",58259.7393451814
"TS3120","Medenine Nord  ",63772.4085311869
"TS3121","Medenine Sud ",69122.4997706529
"TS3122","Beni Khedech ",71830.041669049
"TS3123","Ben Guerdane ",120244.81276533
"TS3124","Zarzis ",84745.389918829
"TS3125","Djerba Houmet Souk ",72385.5172973447
"TS3126","Djerba Midoun ",77871.8360780526
"TS3127","Djerba Ajim ",71925.6924299431
"TS3128","Sidi Makhloulf ",63322.0058615404
"TS3130","Tataouine Nord  ",111173.553985217
"TS3131","Tataouine Sud ",98933.1754736395
"TS3132","Smâr ",117154.135522214
"TS3133","Bir Lahmar ",72451.6544333809
"TS3134","Ghomrassen ",78312.5262661695
"TS3135","Dhehiba ",175664.060992368
"TS3136","Remada ",192759.279035655
"TS3210","Gafsa Nord  ",61146.5205169088
"TS3211","Sidi Aïch ",58585.5576040391
"TS3212","El Ksar ",68993.1051987192
"TS3213","Gafsa Sud ",68959.247141157
"TS3214","Oum El Araies ",77013.4080154855
"TS3215","Redeyef ",91607.4357846308
"TS3216","Metlaoui ",82684.9738434131
"TS3217","Mdhila ",76510.9718810788
"TS3218","EL Guetar ",69698.5575946255
"TS3219","Belkhir ",65171.6561819529
"TS321A","Sned ",60939.526923666
"TS3220","Tozeur  ",112805.345909526
"TS3221","Degach ",97904.5770028011
"TS3222","Tameghza ",111440.202943346
"TS3223","Nefta ",127485.216977157
"TS3224","Hazoua ",143338.921829586
"TS3230","Kebili Sud  ",90392.0057911081
"TS3231","Kebeli Nord ",83699.7960379197
"TS3232","Souk El Ahed ",81732.2993745381
"TS3233","Douz Nord ",97343.8461321457
"TS3234","Douz Sud ",110649.406530547
"TS3235","Faouar ",134723.338328487
