"ID","NAMES","NBLOG2004_AsTheCrowFlies_POT_0"
"TS2215","Haffouz ",8157
"TS2216","El Alâa ",6775
"TS2217","Hajeb el Ayoun ",7128
"TS2218","Nasrallah ",8178
"TS2219","Echrarda ",6130
"TS221A","Bouhajla ",14582
"TS2220","Kasserine Nord  ",13467
"TS2221","Kasserine Sud ",4823
"TS2222","Ezzouhour ",4402
"TS2223","Hassi Ferid ",3681
"TS2224","Sbeitla ",15083
"TS2225","Sbiba ",7640
"TS2226","Djedeliane ",2579
"TS2227","El Ayoun ",3601
"TS2228","Thala ",8298
"TS2229","Hidra ",2685
"TS222A","Foussana ",9259
"TS222B","Feriana ",9637
"TS222C","Majel Bel Abbès ",4582
"TS2230","Sidi Bouzid Ouest  ",14955
"TS2231","Sidi Bouzid Est ",10361
"TS2232","Jilma ",6665
"TS2233","Cebalet Ouled Asker ",4424
"TS2234","Bir El Hafey ",8208
"TS2235","Sidi Ali Ben Aoûn ",5628
"TS2236","Menzel Bouzaïenne ",6120
"TS2237","Meknassy ",5578
"TS2238","Souk Jedid ",4034
"TS2239","Mezzouna ",4425
"TS223A","Regueb ",13042
"TS223B","Ouled Haffouz ",5864
"TS3110","Gabes Medina  ",12096
"TS3111","Gabes Ouest ",6720
"TS3112","Gabes Sud ",15309
"TS3113","Ghanouch ",3700
"TS3114","El Metouia ",6228
"TS3115","Menzel El Habib ",2666
"TS3116","El Hamma ",13111
"TS3117","Matmata ",2083
"TS3118","Nouvelle Matmata ",5070
"TS3119","Mareth ",15042
"TS3120","Medenine Nord  ",12298
"TS3121","Medenine Sud ",11376
"TS3122","Beni Khedech ",8836
"TS3123","Ben Guerdane ",16008
"TS3124","Zarzis ",21992
"TS3125","Djerba Houmet Souk ",19642
"TS3126","Djerba Midoun ",16046
"TS3127","Djerba Ajim ",7015
"TS3128","Sidi Makhloulf ",6795
"TS3130","Tataouine Nord  ",11859
"TS3131","Tataouine Sud ",7797
"TS3132","Smâr ",2948
"TS3133","Bir Lahmar ",2687
"TS3134","Ghomrassen ",6027
"TS3135","Dhehiba ",998
"TS3136","Remada ",2261
"TS3210","Gafsa Nord  ",2258
"TS3211","Sidi Aïch ",2106
"TS3212","El Ksar ",7128
"TS3213","Gafsa Sud ",21539
"TS3214","Oum El Araies ",7298
"TS3215","Redeyef ",5913
"TS3216","Metlaoui ",8805
"TS3217","Mdhila ",3078
"TS3218","EL Guetar ",4549
"TS3219","Belkhir ",3068
"TS321A","Sned ",7139
"TS3220","Tozeur  ",9524
"TS3221","Degach ",6140
"TS3222","Tameghza ",1474
"TS3223","Nefta ",4989
"TS3224","Hazoua ",699
"TS3230","Kebili Sud  ",5854
"TS3231","Kebeli Nord ",6929
"TS3232","Souk El Ahed ",5933
"TS3233","Douz Nord ",5007
"TS3234","Douz Sud ",3053
"TS3235","Faouar ",3528
