ID,NAMES,POPTO2004,NBLOG2004,IMMIG9404,EMIG9404
TS3135,Dhehiba ,3971,998,296,425
TS3136,Remada ,9977,2261,595,911
TS3210,Gafsa Nord  ,9407,2258,622,8061
TS3211,Sidi Aïch ,8297,2106,440,758
TS3212,El Ksar ,32186,7128,1822,958
TS3213,Gafsa Sud ,90742,21539,6553,1412
TS3214,Oum El Araies ,31733,7298,617,2179
TS3215,Redeyef ,27940,5913,703,1924
TS3216,Metlaoui ,38938,8805,1335,2236
TS3217,Mdhila ,14841,3078,321,1138
TS3218,EL Guetar ,19942,4549,819,1022
TS3219,Belkhir ,15159,3068,333,855
TS321A,Sned ,34524,7139,710,1515
TS3220,Tozeur  ,39862,9524,2040,2949
TS3221,Degach ,26596,6140,1055,905
TS3222,Tameghza ,6362,1474,318,223
TS3223,Nefta ,20544,4989,1036,1107
TS3224,Hazoua ,4162,699,326,177
TS3230,Kebili Sud  ,28040,5854,1355,3829
TS3231,Kebeli Nord ,29429,6929,1951,1071
TS3232,Souk El Ahed ,26732,5933,493,835
TS3233,Douz Nord ,25534,5007,1142,1376
TS3234,Douz Sud ,17187,3053,709,569
TS3235,Faouar ,16296,3528,643,329
