"ID","NAMES","total_AsTheCowRolls_POT_0"
"78238","Flins-sur-Seine",1349
"78239","Follainville-Dennemont",871
"78242","Fontenay-le-Fleury",6689
"78245","Fontenay-Mauvoisin",180
"78246","Fontenay-Saint-Pere",531
"78251","Fourqueux",1698
"78255","Freneuse",1836
"78261","Gaillon-sur-Montcient",347
"78262","Galluis",536
"78263","Gambais",1315
"78264","Gambaiseuil",44
"78265","Garancieres",1228
"78267","Gargenville",3268
"78269","Gazeran",556
"78276","Gommecourt",348
"78278","Goupillieres",248
"78281","Goussonville",344
"78283","Grandchamp",128
"78285","Gressey",276
"78289","Grosrouvre",440
"78290","Guernes",548
"78291","Guerville",1085
"78296","Guitrancourt",359
"78297","Guyancourt",15810
"78299","Hardricourt",1054
"78300","Hargeville",236
"78302","La Hauteville",79
"78305","Herbeville",148
"78307","Hermeray",452
"78310","Houdan",1687
"78311","Houilles",16776
"78314","Issou",2311
"78317","Jambville",397
"78320","Jeufosse",220
"78321","Jouars-Pontchartrain",2554
"78322","Jouy-en-Josas",3257
"78324","Jouy-Mauvoisin",260
"78325","Jumeauville",313
"78327","Juziers",1946
"78329","Lainville-en-Vexin",460
"78334","Levis-Saint-Nom",792
"78335","Limay",7866
"78337","Limetz-Villez",961
"78343","Les Loges-en-Josas",676
"78344","Lommoye",340
"78346","Longnes",830
"78349","Longvilliers",266
"78350","Louveciennes",3091
"78354","Magnanville",2698
"78356","Magny-les-Hameaux",4756
"78358","Maisons-Laffitte",10876
"78361","Mantes-la-Jolie",18237
"78362","Mantes-la-Ville",9586
"78364","Marcq",379
"78366","Mareil-le-Guyon",192
"78367","Mareil-Marly",1468
"78368","Mareil-sur-Mauldre",753
"78372","Marly-le-Roi",7917
"78380","Maule",2596
"78381","Maulette",418
"78382","Maurecourt",2172
"78383","Maurepas",9407
"78384","Medan",722
"78385","Menerville",108
"78389","Mere",773
"78391","Mericourt",233
"78396","Le Mesnil-le-Roi",2920
