"ID","NAMES","intermediaires_AsTheCowRolls_ACC_0.005"
"77181","Ferrieres-en-Brie",5.23926630568475
"77182","La Ferte-Gaucher",22.1256617826806
"77183","La Ferte-sous-Jouarre",14.3403133295001
"77184","Flagy",18.1933398211038
"77185","Fleury-en-Biere",10.6711757233438
"77186","Fontainebleau",9.25267425821054
"77187","Fontaine-Fourches",29.3438488106599
"77188","Fontaine-le-Port",11.1367995133938
"77190","Fontains",19.6050975700525
"77191","Fontenailles",15.7941576957226
"77192","Fontenay-Tresigny",12.2500517032733
"77193","Forfry",14.3151844185963
"77194","Forges",15.4091610544305
"77195","Fouju",11.5719039244744
"77196","Fresnes-sur-Marne",8.26719465342545
"77197","Fretoy",20.5272612336458
"77198","Fromont",20.1794314807592
"77199","Fublaines",10.1857753265451
"77200","Garentreville",21.9378826252867
"77201","Gastins",18.5642766328045
"77202","La Genevraye",13.5563870650427
"77203","Germigny-l'Eveque",11.4837635870951
"77204","Germigny-sous-Coulombs",21.50510751841
"77205","Gesvres-le-Chapitre",13.1102848527997
"77206","Giremoutiers",13.0469474501273
"77207","Gironville",24.7119015506202
"77208","Gouaix",28.3466307260502
"77209","Gouvernes",4.11098275216788
"77210","La Grande-Paroisse",15.4865387301609
"77211","Grandpuits-Bailly-Carrois",16.5707818347382
"77212","Gravon",21.4688358874854
"77214","Gressy",7.0593988225721
"77215","Gretz-Armainvilliers",7.26607448292287
"77216","Grez-sur-Loing",12.9476051906548
"77217","Grisy-Suisnes",8.35122844162522
"77218","Grisy-sur-Seine",26.2099466828349
"77219","Guerard",11.880220401554
"77220","Guercheville",19.5656332124355
"77221","Guermantes",4.06323430840359
"77222","Guignes",11.0864288163355
"77223","Gurcy-le-Chatel",20.7238082519936
"77224","Hautefeuille",15.3220324089259
"77225","La Haute-Maison",12.7660834318375
"77226","Hericy",10.9391194763027
"77227","Herme",26.7842866474123
"77228","Hondevilliers",21.4742317413857
"77229","La Houssaye-en-Brie",11.8409174141612
"77230","Ichy",24.1824019226225
"77231","Isles-les-Meldeuses",12.99243002058
"77232","Isles-les-Villenoy",7.92369461335612
"77233","Iverny",10.4002260044544
"77234","Jablines",9.67025100204271
"77235","Jaignes",15.4951009958379
"77236","Jaulnes",24.3065288020904
"77237","Jossigny",5.61544366380104
"77238","Jouarre",15.0420684217588
"77239","Jouy-le-Chatel",17.5135070094579
"77240","Jouy-sur-Morin",21.882408864959
"77241","Juilly",10.7422380306991
"77242","Jutigny",24.3116714993434
"77243","Lagny-sur-Marne",3.41942230720686
"77244","Larchant",16.2788778527264
"77245","Laval-en-Brie",16.5683850812755
"77246","Lechelle",30.279438766642
"77247","Lescherolles",25.605748842412
"77248","Lesches",7.96503742117148
"77249","Lesigny",5.80293374066701
"77250","Leudon-en-Brie",22.8825076638778
"77251","Lieusaint",5.51794780947689
"77252","Limoges-Fourches",8.17310390152486
"77253","Lissy",8.6599815702494
"77254","Liverdy-en-Brie",11.4273154201767
"77255","Livry-sur-Seine",6.87999421681115
"77256","Lizines",23.2763676649104
"77257","Lizy-sur-Ourcq",14.3615752184368
"77258","Lognes",3.53879807377707
"77259","Longperrier",10.6126676415143
"77260","Longueville",24.7308110792442
"77261","Lorrez-le-Bocage-Preaux",20.2681460363664
"77262","Louan-Villegruis-Fontaine",33.6135086245107
"77263","Luisetaines",24.1336098818767
"77264","Lumigny-Nesles-Ormeaux",13.601755358431
"77265","Luzancy",17.6752995665451
"77266","Machault",12.9642948184003
"77267","La Madeleine-sur-Loing",20.2064981981632
"77268","Magny-le-Hongre",6.57507873372128
"77269","Maincy",6.41425533998325
"77270","Maisoncelles-en-Brie",12.3043010458197
"77271","Maisoncelles-en-Gatinais",23.498100323647
"77272","Maison-Rouge",21.0040745922161
"77273","Marchemoret",11.1193095980286
"77274","Marcilly",11.6355348345557
"77275","Les Marets",25.4333330021717
"77276","Mareuil-les-Meaux",8.21655720979661
"77277","Marles-en-Brie",12.5206102411906
"77278","Marolles-en-Brie",18.1135809967696
"77279","Marolles-sur-Seine",17.0209363120012
"77280","Mary-sur-Marne",14.6612879546496
"77281","Mauperthuis",15.1018953519127
"77282","Mauregard",10.0662241575566
"77283","May-en-Multien",16.5694898279756
"77284","Meaux",5.24675900929542
"77285","Le Mee-sur-Seine",4.47417993298996
"77286","Meigneux",21.9710430358919
"77287","Meilleray",30.8680487544369
"77288","Melun",2.58761437801705
"77289","Melz-sur-Seine",29.9179442446247
"77290","Mery-sur-Marne",18.714094925314
"77291","Le Mesnil-Amelot",9.82926150327119
"77292","Messy",7.23088039721218
"77293","Misy-sur-Yonne",20.226081220961
"77294","Mitry-Mory",6.02325296541304
"77295","Moisenay",9.54225264460447
"77296","Moissy-Cramayel",6.36987354159468
"77297","Mondreville",27.2095313737678
"77298","Mons-en-Montois",23.2908100303457
"77299","Montarlot",13.2094092648473
"77300","Montceaux-les-Meaux",10.2949238236429
"77301","Montceaux-les-Provins",26.6431109229047
"77302","Montcourt-Fromonville",14.0882364292162
"77303","Montdauphin",30.8028795879109
"77304","Montenils",33.118276458057
"77305","Montereau-Fault-Yonne",13.8834385690012
"77306","Montereau-sur-le-Jard",7.86434059319573
"77307","Montevrain",5.52304443426503
"77308","Montge-en-Goele",11.6836027858587
"77309","Monthyon",10.1090943354973
"77310","Montigny-le-Guesdier",25.9961085006979
"77311","Montigny-Lencoup",17.9168190576573
"77312","Montigny-sur-Loing",13.0802580644571
"77313","Montmachoux",19.7121120401044
"77314","Montolivet",30.8612923929387
"77315","Montry",6.54029813801305
"77316","Moret-sur-Loing",11.4478051511653
"77317","Mormant",14.8587019741845
"77318","Mortcerf",12.0135942327347
"77319","Mortery",23.9253676934535
"77320","Mouroux",13.2623579615003
"77321","Mousseaux-les-Bray",23.4527869747932
"77322","Moussy-le-Neuf",10.8889746842203
"77323","Moussy-le-Vieux",11.4445214086319
"77325","Mouy-sur-Seine",23.1739669039854
"77326","Nandy",5.44893209142493
"77327","Nangis",17.0378424008074
"77328","Nanteau-sur-Essonne",20.17529371447
"77329","Nanteau-sur-Lunain",18.0983972985214
