"ID","NAMES","ouvrier_AsTheCrowFlies_ACC_0.01"
"77244","Larchant",16581.6201058641
"77245","Laval-en-Brie",13518.6362901004
"77246","Lechelle",23747.0505687982
"77247","Lescherolles",20759.0825299888
"77248","Lesches",7147.04774466162
"77249","Lesigny",5102.10822102817
"77250","Leudon-en-Brie",17985.2577315364
"77251","Lieusaint",4773.2543506268
"77252","Limoges-Fourches",7432.32763513173
"77253","Lissy",8093.23746721811
"77254","Liverdy-en-Brie",10152.9474569111
"77255","Livry-sur-Seine",6100.50574476201
"77256","Lizines",16807.8978915993
"77257","Lizy-sur-Ourcq",12378.965494228
"77258","Lognes",3206.11391705029
"77259","Longperrier",8616.30128819085
"77260","Longueville",18738.285733842
"77261","Lorrez-le-Bocage-Preaux",17601.0002788163
"77262","Louan-Villegruis-Fontaine",27739.5136418937
"77263","Luisetaines",17654.9164602654
"77264","Lumigny-Nesles-Ormeaux",13311.7640993112
"77265","Luzancy",15786.2857064027
"77266","Machault",11367.4452773469
"77267","La Madeleine-sur-Loing",19120.7822954172
"77268","Magny-le-Hongre",7577.23718752609
"77269","Maincy",6257.93943215106
"77270","Maisoncelles-en-Brie",10488.7139413046
"77271","Maisoncelles-en-Gatinais",21954.0716073789
"77272","Maison-Rouge",16700.1464295468
"77273","Marchemoret",10686.8310782489
"77274","Marcilly",10138.8502450345
"77275","Les Marets",19853.0812188026
"77276","Mareuil-les-Meaux",6218.14176181502
"77277","Marles-en-Brie",12146.6387399508
"77278","Marolles-en-Brie",14959.3304709653
"77279","Marolles-sur-Seine",15629.0419940865
"77280","Mary-sur-Marne",11711.8387152813
"77281","Mauperthuis",13411.0418071922
"77282","Mauregard",5958.23956888986
"77283","May-en-Multien",14887.9315111387
"77284","Meaux",5145.20687139537
"77285","Le Mee-sur-Seine",3502.38516798082
"77286","Meigneux",15726.0858572281
"77287","Meilleray",23770.5053471132
"77288","Melun",3648.25736875617
"77289","Melz-sur-Seine",25375.0217317407
"77290","Mery-sur-Marne",16592.6402987195
"77291","Le Mesnil-Amelot",5844.18030087439
"77292","Messy",7302.3966096824
"77293","Misy-sur-Yonne",17904.5197030654
"77294","Mitry-Mory",4634.56017903528
"77295","Moisenay",8151.64575846158
"77296","Moissy-Cramayel",5469.78439970777
"77297","Mondreville",24626.0603342759
"77298","Mons-en-Montois",16264.8229534316
"77299","Montarlot",12233.5238960715
"77300","Montceaux-les-Meaux",8797.94008093065
"77301","Montceaux-les-Provins",24978.8491947273
"77302","Montcourt-Fromonville",13830.3589730054
"77303","Montdauphin",24230.9157273783
"77304","Montenils",27008.6121806401
"77305","Montereau-Fault-Yonne",13683.7791378232
"77306","Montereau-sur-le-Jard",6558.1231318783
"77307","Montevrain",5719.80363412705
"77308","Montge-en-Goele",9750.45059945787
"77309","Monthyon",8809.07144361171
"77310","Montigny-le-Guesdier",22462.2892060808
"77311","Montigny-Lencoup",14957.5714114893
"77312","Montigny-sur-Loing",12398.077494369
"77313","Montmachoux",16551.3061852158
"77314","Montolivet",24646.6368179915
"77315","Montry",7361.92059714447
"77316","Moret-sur-Loing",11829.0926634613
"77317","Mormant",12941.3020053716
"77318","Mortcerf",11228.8516016232
"77319","Mortery",18600.196479878
"77320","Mouroux",12173.162664087
"77321","Mousseaux-les-Bray",21061.4396214452
"77322","Moussy-le-Neuf",8443.27271696502
"77323","Moussy-le-Vieux",7855.8879631638
"77325","Mouy-sur-Seine",20479.1799490738
"77326","Nandy",5029.10935460801
"77327","Nangis",15246.6240734417
"77328","Nanteau-sur-Essonne",18003.7858010513
"77329","Nanteau-sur-Lunain",15344.4939944165
"77330","Nanteuil-les-Meaux",5878.35892825209
"77331","Nanteuil-sur-Marne",17561.4562874424
"77332","Nantouillet",7999.11456410412
"77333","Nemours",15565.4302184213
"77335","Chauconin-Neufmontiers",7313.52464842324
"77336","Neufmoutiers-en-Brie",9652.90983029753
"77337","Noisiel",2883.42285687911
"77338","Noisy-Rudignon",14192.5741010457
"77339","Noisy-sur-Ecole",14350.1342645673
"77340","Nonville",13637.2319888653
"77341","Noyen-sur-Seine",24099.6383006327
"77342","Obsonville",20707.36942419
"77343","Ocquerre",13582.7785077293
"77344","Oissery",12224.4501125851
"77345","Orly-sur-Morin",15666.3318748055
"77347","Les Ormes-sur-Voulzie",18970.2019218459
"77348","Ormesson",17491.6737854648
"77349","Othis",10251.7759341396
"77350","Ozoir-la-Ferriere",5468.19097076508
"77352","Ozouer-le-Voulgis",10392.896453022
"77353","Paley",16657.0431075553
"77354","Pamfou",11795.5386477124
"77355","Paroy",17849.9679160398
"77356","Passy-sur-Seine",24986.3580125549
"77357","Pecy",15889.55396495
"77358","Penchard",7421.84180203137
"77359","Perthes",8480.27026504762
