"ID","NAMES","intermediaires_AsTheCowRolls_POT_10"
"77198","Fromont",616.0518247
"77199","Fublaines",7480.84471203
"77200","Garentreville",773.05013251
"77201","Gastins",1431.53573434
"77202","La Genevraye",3898.56978773
"77203","Germigny-l'Eveque",5948.22362602
"77204","Germigny-sous-Coulombs",334.24840495
"77205","Gesvres-le-Chapitre",3240.43368484
"77206","Giremoutiers",4293.40666609
"77207","Gironville",465.34486959
"77208","Gouaix",895.48486639
"77209","Gouvernes",38281.56823395
"77210","La Grande-Paroisse",3078.04271469
"77211","Grandpuits-Bailly-Carrois",2429.90888636
"77212","Gravon",853.95302236
"77214","Gressy",16155.52171822
"77215","Gretz-Armainvilliers",14402.13022865
"77216","Grez-sur-Loing",4659.29711226
"77217","Grisy-Suisnes",10735.24049601
"77218","Grisy-sur-Seine",649.29943377
"77219","Guerard",4291.25887992
"77220","Guercheville",828.68620041
"77221","Guermantes",33962.26396589
"77222","Guignes",4580.29641548
"77223","Gurcy-le-Chatel",938.00371949
"77224","Hautefeuille",2225.93214799
"77225","La Haute-Maison",2482.69499273
"77226","Hericy",6093.68801892
"77227","Herme",1331.14330361
"77228","Hondevilliers",744.46074318
"77229","La Houssaye-en-Brie",3292.80427805
"77230","Ichy",527.90535169
"77231","Isles-les-Meldeuses",4305.79041508
"77232","Isles-les-Villenoy",12215.36096286
"77233","Iverny",6436.3805495
"77234","Jablines",8310.78446579
"77235","Jaignes",2122.60961917
"77236","Jaulnes",889.24583714
"77237","Jossigny",27194.081233
"77238","Jouarre",2935.0099898
"77239","Jouy-le-Chatel",1106.49531851
"77240","Jouy-sur-Morin",1187.26755422
"77241","Juilly",5164.14987364
"77242","Jutigny",1875.8774654
"77243","Lagny-sur-Marne",36081.53695372
"77244","Larchant",2222.12645123
"77245","Laval-en-Brie",2403.2142157
"77246","Lechelle",977.34549895
"77247","Lescherolles",772.05330067
"77248","Lesches",11961.59892606
"77249","Lesigny",30970.83987631
"77250","Leudon-en-Brie",772.21105553
"77251","Lieusaint",29658.4178918
"77252","Limoges-Fourches",11876.08758141
"77253","Lissy",10459.93625732
"77254","Liverdy-en-Brie",3858.53601051
"77255","Livry-sur-Seine",13830.26694134
"77256","Lizines",1036.57060895
"77257","Lizy-sur-Ourcq",2888.63690001
"77258","Lognes",65784.35319516
"77259","Longperrier",5443.16382661
"77260","Longueville",2000.46281276
"77261","Lorrez-le-Bocage-Preaux",1255.7134447
"77262","Louan-Villegruis-Fontaine",141.59276923
"77263","Luisetaines",1068.06696546
"77264","Lumigny-Nesles-Ormeaux",2583.96677034
"77265","Luzancy",2031.13197442
"77266","Machault",3228.29834819
"77267","La Madeleine-sur-Loing",1952.87791317
"77268","Magny-le-Hongre",15460.45671731
"77269","Maincy",16052.63081155
"77270","Maisoncelles-en-Brie",3690.69275346
"77271","Maisoncelles-en-Gatinais",807.97220283
"77272","Maison-Rouge",1463.92435059
"77273","Marchemoret",5208.01856562
"77274","Marcilly",5062.81596186
"77275","Les Marets",322.73866238
"77276","Mareuil-les-Meaux",11165.94724582
"77277","Marles-en-Brie",3130.80421407
"77278","Marolles-en-Brie",2329.04615746
"77279","Marolles-sur-Seine",2761.80529319
"77280","Mary-sur-Marne",2768.0868197
"77281","Mauperthuis",3720.21819212
"77282","Mauregard",7285.55063657
"77283","May-en-Multien",1472.46793233
"77284","Meaux",13468.04711769
"77285","Le Mee-sur-Seine",20142.19955807
"77286","Meigneux",841.18529852
"77287","Meilleray",295.31493815
"77288","Melun",21437.38562051
"77289","Melz-sur-Seine",599.1452392
"77290","Mery-sur-Marne",1796.14346371
"77291","Le Mesnil-Amelot",8071.39308066
"77292","Messy",14645.74228355
"77293","Misy-sur-Yonne",1348.9151855
"77294","Mitry-Mory",24347.24029453
"77295","Moisenay",8536.45898966
"77296","Moissy-Cramayel",19139.02650459
"77297","Mondreville",368.93148593
"77298","Mons-en-Montois",882.89740457
"77299","Montarlot",4040.53755396
"77300","Montceaux-les-Meaux",7021.74594465
"77301","Montceaux-les-Provins",337.17623896
"77302","Montcourt-Fromonville",3890.37354355
"77303","Montdauphin",168.68811397
"77304","Montenils",85.95829814
"77305","Montereau-Fault-Yonne",4316.05859396
"77306","Montereau-sur-le-Jard",13324.15995468
"77307","Montevrain",26013.19079624
"77308","Montge-en-Goele",3887.24944541
"77309","Monthyon",7564.9098886
"77310","Montigny-le-Guesdier",589.98538694
"77311","Montigny-Lencoup",1614.78854348
"77312","Montigny-sur-Loing",4210.29967498
"77313","Montmachoux",1388.42846464
"77314","Montolivet",221.3282643
"77315","Montry",16136.24915209
"77316","Moret-sur-Loing",6213.34725485
"77317","Mormant",2839.85219341
