"ID","NAMES","employe_AsTheCowRolls_ACC_0.005"
"77266","Machault",13.2201455477191
"77267","La Madeleine-sur-Loing",18.7278467389826
"77268","Magny-le-Hongre",6.57332322370269
"77269","Maincy",5.91066756125127
"77270","Maisoncelles-en-Brie",12.2212387890431
"77271","Maisoncelles-en-Gatinais",22.1862072055439
"77272","Maison-Rouge",19.1429544709708
"77273","Marchemoret",10.8757340818815
"77274","Marcilly",10.8408405102781
"77275","Les Marets",23.6865581623804
"77276","Mareuil-les-Meaux",7.5916050120315
"77277","Marles-en-Brie",12.6156419957051
"77278","Marolles-en-Brie",16.728615620276
"77279","Marolles-sur-Seine",16.1705951401165
"77280","Mary-sur-Marne",13.3106666596698
"77281","Mauperthuis",14.7084563804109
"77282","Mauregard",10.017986022114
"77283","May-en-Multien",15.3697308081359
"77284","Meaux",0
"77285","Le Mee-sur-Seine",2.96656327653824
"77286","Meigneux",20.6468926599104
"77287","Meilleray",29.5457271641249
"77288","Melun",0.841663032516981
"77289","Melz-sur-Seine",26.7480428068217
"77290","Mery-sur-Marne",17.3934624056312
"77291","Le Mesnil-Amelot",9.46620862363636
"77292","Messy",7.2103775325488
"77293","Misy-sur-Yonne",19.1475732261266
"77294","Mitry-Mory",5.79579284393873
"77295","Moisenay",9.06143336526878
"77296","Moissy-Cramayel",6.09971866232988
"77297","Mondreville",26.1638251688701
"77298","Mons-en-Montois",21.3777296845417
"77299","Montarlot",12.9212172552576
"77300","Montceaux-les-Meaux",9.4437325934674
"77301","Montceaux-les-Provins",25.5152094671994
"77302","Montcourt-Fromonville",13.2952997944461
"77303","Montdauphin",29.2909841034852
"77304","Montenils",31.5438539205623
"77305","Montereau-Fault-Yonne",13.0123581169061
"77306","Montereau-sur-le-Jard",7.59239316948937
"77307","Montevrain",5.60437150494264
"77308","Montge-en-Goele",11.4433895549241
"77309","Monthyon",9.17068216645499
"77310","Montigny-le-Guesdier",24.2315151908128
"77311","Montigny-Lencoup",16.901539066538
"77312","Montigny-sur-Loing",13.0918388870101
"77313","Montmachoux",18.7454329380902
"77314","Montolivet",29.3747399638428
"77315","Montry",6.64737500803654
"77316","Moret-sur-Loing",11.3995281855857
"77317","Mormant",14.412958343078
"77318","Mortcerf",12.1445681407015
"77319","Mortery",21.8253070883171
"77320","Mouroux",12.7562149058565
"77321","Mousseaux-les-Bray",21.3352108442748
"77322","Moussy-le-Neuf",10.8493620149743
"77323","Moussy-le-Vieux",11.3896871256337
"77325","Mouy-sur-Seine",20.9651690861422
"77326","Nandy",5.36556240439684
"77327","Nangis",16.5512176553618
"77328","Nanteau-sur-Essonne",20.2141217562078
"77329","Nanteau-sur-Lunain",17.0617125526514
"77330","Nanteuil-les-Meaux",7.67454275325722
"77331","Nanteuil-sur-Marne",19.3949193504445
"77332","Nantouillet",10.5449987247746
"77333","Nemours",12.9529990649703
"77335","Chauconin-Neufmontiers",7.78719941368847
"77336","Neufmoutiers-en-Brie",11.5303171634004
"77337","Noisiel",1.80650417744589
"77338","Noisy-Rudignon",15.2994169953473
"77339","Noisy-sur-Ecole",15.8168092169541
"77340","Nonville",15.1686455746913
"77341","Noyen-sur-Seine",23.9925274283656
"77342","Obsonville",21.91376055233
"77343","Ocquerre",16.0439501499943
"77344","Oissery",13.7485758963691
"77345","Orly-sur-Morin",20.3769167906888
"77347","Les Ormes-sur-Voulzie",21.1650264211104
"77348","Ormesson",15.9770811201835
"77349","Othis",12.3627976057015
"77350","Ozoir-la-Ferriere",5.88297421665221
"77352","Ozouer-le-Voulgis",11.5142210516222
"77353","Paley",18.7240199552134
"77354","Pamfou",13.2564190165012
"77355","Paroy",20.5394894504221
"77356","Passy-sur-Seine",26.4703368301601
"77357","Pecy",17.7561586743184
"77358","Penchard",7.73819835930338
"77359","Perthes",8.87949636696701
"77360","Pezarches",14.2794468905063
"77361","Pierre-Levee",11.415511603143
"77363","Le Pin",5.47932134765026
"77364","Le Plessis-aux-Bois",10.9503273706
"77365","Le Plessis-Feu-Aussoux",16.1815082710576
"77366","Le Plessis-l'Eveque",10.4373375169111
"77367","Le Plessis-Placy",13.9451796207922
"77368","Poigny",22.1483195023952
"77369","Poincy",6.84186697800749
