"ID","NAMES","artisans_AsTheCowRolls_POT_10"
"77226","Hericy",1041.06940732
"77227","Herme",319.01072839
"77228","Hondevilliers",207.22414081
"77229","La Houssaye-en-Brie",695.30466346
"77230","Ichy",171.27306404
"77231","Isles-les-Meldeuses",656.58623817
"77232","Isles-les-Villenoy",1883.58878226
"77233","Iverny",955.53050139
"77234","Jablines",1295.60166618
"77235","Jaignes",367.77137555
"77236","Jaulnes",239.89174353
"77237","Jossigny",4065.52544708
"77238","Jouarre",529.7747947
"77239","Jouy-le-Chatel",290.07250769
"77240","Jouy-sur-Morin",368.058802
"77241","Juilly",797.60216837
"77242","Jutigny",368.54508575
"77243","Lagny-sur-Marne",5333.41218758
"77244","Larchant",505.05450908
"77245","Laval-en-Brie",373.51159059
"77246","Lechelle",204.07300162
"77247","Lescherolles",253.02029533
"77248","Lesches",1840.89406768
"77249","Lesigny",5416.4068901
"77250","Leudon-en-Brie",250.15885646
"77251","Lieusaint",3649.11803438
"77252","Limoges-Fourches",1752.29094108
"77253","Lissy",1612.55942173
"77254","Liverdy-en-Brie",754.38693875
"77255","Livry-sur-Seine",1901.10779768
"77256","Lizines",218.30611286
"77257","Lizy-sur-Ourcq",449.10839876
"77258","Lognes",10381.45786082
"77259","Longperrier",681.62364266
"77260","Longueville",386.70550466
"77261","Lorrez-le-Bocage-Preaux",348.19298907
"77262","Louan-Villegruis-Fontaine",52.0397733
"77263","Luisetaines",229.76673872
"77264","Lumigny-Nesles-Ormeaux",588.69599987
"77265","Luzancy",424.85464532
"77266","Machault",555.06788629
"77267","La Madeleine-sur-Loing",466.77445783
"77268","Magny-le-Hongre",2464.49881098
"77269","Maincy",2107.88250893
"77270","Maisoncelles-en-Brie",789.3296671
"77271","Maisoncelles-en-Gatinais",242.70757646
"77272","Maison-Rouge",310.77696157
"77273","Marchemoret",661.22381607
"77274","Marcilly",721.49603576
"77275","Les Marets",96.34357048
"77276","Mareuil-les-Meaux",1796.44396718
"77277","Marles-en-Brie",678.45949294
"77278","Marolles-en-Brie",516.57887603
"77279","Marolles-sur-Seine",457.5640989
"77280","Mary-sur-Marne",423.3423404
"77281","Mauperthuis",765.21914871
"77282","Mauregard",966.99450502
"77283","May-en-Multien",237.65324013
"77284","Meaux",2098.2168035
"77285","Le Mee-sur-Seine",2651.78865992
"77286","Meigneux",193.35057744
"77287","Meilleray",93.27829206
"77288","Melun",2924.24794783
"77289","Melz-sur-Seine",166.00148765
"77290","Mery-sur-Marne",383.50369955
"77291","Le Mesnil-Amelot",1132.55511485
"77292","Messy",2399.35955054
"77293","Misy-sur-Yonne",233.48175431
"77294","Mitry-Mory",4001.72606928
"77295","Moisenay",1173.18949386
"77296","Moissy-Cramayel",2428.54521104
"77297","Mondreville",120.43582723
"77298","Mons-en-Montois",202.66932874
"77299","Montarlot",632.0759405
"77300","Montceaux-les-Meaux",1126.43801621
"77301","Montceaux-les-Provins",127.28652237
"77302","Montcourt-Fromonville",824.11006318
"77303","Montdauphin",55.6701514
"77304","Montenils",26.36932932
"77305","Montereau-Fault-Yonne",694.36621596
"77306","Montereau-sur-le-Jard",1712.83039224
"77307","Montevrain",3839.35135788
"77308","Montge-en-Goele",553.97964417
"77309","Monthyon",1067.25151068
"77310","Montigny-le-Guesdier",144.56357034
"77311","Montigny-Lencoup",259.82438267
"77312","Montigny-sur-Loing",795.52700828
"77313","Montmachoux",256.84042491
"77314","Montolivet",68.07772022
"77315","Montry",2595.75742566
"77316","Moret-sur-Loing",983.67054699
"77317","Mormant",472.73659372
"77318","Mortcerf",731.19786408
"77319","Mortery",248.90019766
"77320","Mouroux",922.67709183
"77321","Mousseaux-les-Bray",236.41056141
"77322","Moussy-le-Neuf",554.16985348
"77323","Moussy-le-Vieux",548.83946708
"77325","Mouy-sur-Seine",265.04878932
"77326","Nandy",2924.77530746
"77327","Nangis",364.30946327
"77328","Nanteau-sur-Essonne",196.0201792
"77329","Nanteau-sur-Lunain",345.98392828
"77330","Nanteuil-les-Meaux",1684.74795158
"77331","Nanteuil-sur-Marne",285.97087512
"77332","Nantouillet",845.0320501
"77333","Nemours",911.02044853
"77335","Chauconin-Neufmontiers",1537.2103594
"77336","Neufmoutiers-en-Brie",530.66560882
"77337","Noisiel",11284.73177441
"77338","Noisy-Rudignon",410.37595594
"77339","Noisy-sur-Ecole",538.94305337
"77340","Nonville",526.02955296
"77341","Noyen-sur-Seine",233.02463326
"77342","Obsonville",212.19658353
