"ID","NAMES","ouvrier_AsTheCowRolls_POT_0"
"77348","Ormesson",16
"77349","Othis",656
"77350","Ozoir-la-Ferriere",1874
"77352","Ozouer-le-Voulgis",156
"77353","Paley",16
"77354","Pamfou",103
"77355","Paroy",24
"77356","Passy-sur-Seine",18
"77357","Pecy",104
"77358","Penchard",130
"77359","Perthes",144
"77360","Pezarches",35
"77361","Pierre-Levee",51
"77363","Le Pin",103
"77364","Le Plessis-aux-Bois",39
"77365","Le Plessis-Feu-Aussoux",96
"77366","Le Plessis-l'Eveque",25
"77367","Le Plessis-Placy",39
"77368","Poigny",87
"77369","Poincy",55
"77370","Poligny",92
"77371","Pommeuse",380
"77372","Pomponne",362
"77373","Pontault-Combault",3846
"77374","Pontcarre",173
"77376","Precy-sur-Marne",96
"77377","Presles-en-Brie",191
"77378","Pringy",188
"77379","Provins",1513
"77380","Puisieux",64
"77381","Quiers",66
"77382","Quincy-Voisins",365
"77383","Rampillon",116
"77384","Reau",94
"77385","Rebais",260
"77386","Recloses",52
"77387","Remauville",59
"77388","Reuil-en-Brie",95
"77389","La Rochette",228
"77390","Roissy-en-Brie",2346
"77391","Rouilly",68
"77392","Rouvres",56
"77393","Rozay-en-Brie",284
"77394","Rubelles",92
"77395","Rumont",16
"77396","Rupereux",24
"77397","Saacy-sur-Marne",214
"77398","Sablonnieres",80
"77399","Saint-Ange-le-Viel",20
"77400","Saint-Augustin",112
"77401","Sainte-Aulde",72
"77402","Saint-Barthelemy",61
"77403","Saint-Brice",64
"77404","Sainte-Colombe",277
"77405","Saint-Cyr-sur-Morin",224
"77406","Saint-Denis-les-Rebais",93
"77407","Saint-Fargeau-Ponthierry",1190
"77408","Saint-Fiacre",35
"77409","Saint-Germain-Laval",312
"77410","Saint-Germain-Laxis",44
"77411","Saint-Germain-sous-Doue",56
"77412","Saint-Germain-sur-Ecole",8
"77413","Saint-Germain-sur-Morin",241
"77414","Saint-Hilliers",75
"77415","Saint-Jean-les-Deux-Jumeaux",123
"77416","Saint-Just-en-Brie",24
"77417","Saint-Leger",37
"77418","Saint-Loup-de-Naud",112
"77419","Saint-Mammes",293
"77420","Saint-Mard",402
"77421","Saint-Mars-Vieux-Maisons",32
"77423","Saint-Martin-des-Champs",146
"77424","Saint-Martin-du-Boschet",41
"77425","Saint-Martin-en-Biere",28
"77426","Saint-Mery",12
"77427","Saint-Mesmes",31
"77428","Saint-Ouen-en-Brie",76
"77429","Saint-Ouen-sur-Morin",60
"77430","Saint-Pathus",592
"77431","Saint-Pierre-les-Nemours",540
"77432","Saint-Remy-la-Vanne",97
"77433","Saints",118
"77434","Saint-Sauveur-les-Bray",31
"77435","Saint-Sauveur-sur-Ecole",40
"77436","Saint-Simeon",133
"77437","Saint-Soupplets",367
"77438","Saint-Thibault-des-Vignes",527
"77439","Salins",84
"77440","Sammeron",108
"77441","Samois-sur-Seine",40
"77442","Samoreau",121
"77443","Sancy",24
"77444","Sancy-les-Provins",52
"77445","Savigny-le-Temple",2919
"77446","Savins",74
"77447","Seine-Port",92
"77448","Sept-Sorts",56
"77449","Serris",504
"77450","Servon",165
"77451","Signy-Signets",79
"77452","Sigy",8
"77453","Sivry-Courtry",97
"77454","Sognolles-en-Montois",29
"77455","Soignolles-en-Brie",176
"77456","Soisy-Bouy",117
"77457","Solers",174
"77458","Souppes-sur-Loing",696
"77459","Sourdun",152
"77460","Tancrou",70
"77461","Thenisy",28
"77462","Thieux",150
