"ID","NAMES","employe_AsTheCrowFlies_POT_7500"
"77221","Guermantes",38010.93889284
"77222","Guignes",4579.46011712
"77223","Gurcy-le-Chatel",1983.85600276
"77224","Hautefeuille",3458.65716998
"77225","La Haute-Maison",5234.50032604
"77226","Hericy",7290.17160895
"77227","Herme",1937.19672329
"77228","Hondevilliers",1282.36383462
"77229","La Houssaye-en-Brie",4099.86951474
"77230","Ichy",641.08315855
"77231","Isles-les-Meldeuses",6529.91338065
"77232","Isles-les-Villenoy",18289.17366738
"77233","Iverny",8660.33318284
"77234","Jablines",19598.81295236
"77235","Jaignes",4614.05738655
"77236","Jaulnes",1379.72119429
"77237","Jossigny",23702.18681967
"77238","Jouarre",4420.5681581
"77239","Jouy-le-Chatel",1189.98547124
"77240","Jouy-sur-Morin",2435.90787107
"77241","Juilly",8355.71543624
"77242","Jutigny",2926.66863619
"77243","Lagny-sur-Marne",37065.6472296
"77244","Larchant",2764.84003101
"77245","Laval-en-Brie",3188.57963367
"77246","Lechelle",1798.60044165
"77247","Lescherolles",1417.44205995
"77248","Lesches",18181.82685143
"77249","Lesigny",41768.46378635
"77250","Leudon-en-Brie",1517.56820099
"77251","Lieusaint",37495.75711691
"77252","Limoges-Fourches",15038.27975128
"77253","Lissy",10909.18370148
"77254","Liverdy-en-Brie",6301.50335479
"77255","Livry-sur-Seine",17004.68980696
"77256","Lizines",2353.25840707
"77257","Lizy-sur-Ourcq",3342.30452774
"77258","Lognes",75983.36989789
"77259","Longperrier",8292.83161845
"77260","Longueville",3415.11136342
"77261","Lorrez-le-Bocage-Preaux",1421.92113757
"77262","Louan-Villegruis-Fontaine",313.8717692
"77263","Luisetaines",2168.33500572
"77264","Lumigny-Nesles-Ormeaux",2736.10693724
"77265","Luzancy",3500.04413085
"77266","Machault",5635.27813257
"77267","La Madeleine-sur-Loing",3805.01771907
"77268","Magny-le-Hongre",18268.84344232
"77269","Maincy",17024.12061372
"77270","Maisoncelles-en-Brie",4999.01002069
"77271","Maisoncelles-en-Gatinais",1564.78279506
"77272","Maison-Rouge",2034.34847942
"77273","Marchemoret",5812.13324432
"77274","Marcilly",6715.80650778
"77275","Les Marets",771.55969022
"77276","Mareuil-les-Meaux",18016.60064826
"77277","Marles-en-Brie",3572.00223144
"77278","Marolles-en-Brie",3810.13857265
"77279","Marolles-sur-Seine",3991.59520516
"77280","Mary-sur-Marne",4218.45279394
"77281","Mauperthuis",4631.25827406
"77282","Mauregard",23895.58651454
"77283","May-en-Multien",1882.70992086
"77284","Meaux",16290.68458993
"77285","Le Mee-sur-Seine",24876.32985888
"77286","Meigneux",2106.18572813
"77287","Meilleray",780.14378757
"77288","Melun",22906.19027961
"77289","Melz-sur-Seine",1230.58799843
"77290","Mery-sur-Marne",3057.56347682
