"ID","NAMES","population_AsTheCrowFlies_POT_7500"
"77239","Jouy-le-Chatel",7566.25108287
"77240","Jouy-sur-Morin",16439.88758935
"77241","Juilly",51254.50431052
"77242","Jutigny",18950.86274714
"77243","Lagny-sur-Marne",231278.7900777
"77244","Larchant",19291.40611195
"77245","Laval-en-Brie",22200.96062056
"77246","Lechelle",11888.52657769
"77247","Lescherolles",9956.04763452
"77248","Lesches",112750.69420093
"77249","Lesigny",278643.04037398
"77250","Leudon-en-Brie",10485.90397527
"77251","Lieusaint",238970.51873911
"77252","Limoges-Fourches",91890.22431939
"77253","Lissy",66928.10502098
"77254","Liverdy-en-Brie",40765.13979958
"77255","Livry-sur-Seine",114172.68101629
"77256","Lizines",15474.86891996
"77257","Lizy-sur-Ourcq",21359.0771602
"77258","Lognes",484983.85582318
"77259","Longperrier",51485.60000307
"77260","Longueville",21966.16889788
"77261","Lorrez-le-Bocage-Preaux",9764.15875165
"77262","Louan-Villegruis-Fontaine",2244.34349142
"77263","Luisetaines",14579.85886452
"77264","Lumigny-Nesles-Ormeaux",18884.70433523
"77265","Luzancy",20633.74997952
"77266","Machault",41331.33531087
"77267","La Madeleine-sur-Loing",25652.08213444
"77268","Magny-le-Hongre",112494.74396556
"77269","Maincy",109058.51502551
"77270","Maisoncelles-en-Brie",33538.9585935
"77271","Maisoncelles-en-Gatinais",10631.62614997
"77272","Maison-Rouge",13199.6902358
"77273","Marchemoret",35040.32251856
"77274","Marcilly",39597.18804229
"77275","Les Marets",5540.86756708
"77276","Mareuil-les-Meaux",108785.38299794
"77277","Marles-en-Brie",24157.98995239
"77278","Marolles-en-Brie",24421.30283925
"77279","Marolles-sur-Seine",27939.3234949
"77280","Mary-sur-Marne",26589.16188106
"77281","Mauperthuis",30295.4919294
"77282","Mauregard",144318.11735994
"77283","May-en-Multien",12097.84610714
"77284","Meaux",97451.17248671
"77285","Le Mee-sur-Seine",159831.88903127
"77286","Meigneux",14044.17853232
"77287","Meilleray",5562.71224612
"77288","Melun",147021.70932749
"77289","Melz-sur-Seine",7872.2248868
"77290","Mery-sur-Marne",18005.7836397
"77291","Le Mesnil-Amelot",148536.99674914
"77292","Messy",92538.97166031
"77293","Misy-sur-Yonne",11344.94955036
"77294","Mitry-Mory",240167.23071132
"77295","Moisenay",70764.65591791
"77296","Moissy-Cramayel",170843.38607401
"77297","Mondreville",4937.15592149
"77298","Mons-en-Montois",13537.08717286
"77299","Montarlot",39744.44020227
"77300","Montceaux-les-Meaux",59808.70445406
"77301","Montceaux-les-Provins",2706.97972318
"77302","Montcourt-Fromonville",33312.81659352
"77303","Montdauphin",4134.42681651
"77304","Montenils",1536.79414974
"77305","Montereau-Fault-Yonne",37221.44979465
"77306","Montereau-sur-le-Jard",116040.81601082
"77307","Montevrain",170012.21519474
"77308","Montge-en-Goele",40201.89287294
"77309","Monthyon",56699.40708111
"77310","Montigny-le-Guesdier",6709.10841594
"77311","Montigny-Lencoup",16611.79788217
"77312","Montigny-sur-Loing",42876.36956903
"77313","Montmachoux",20053.62130432
"77314","Montolivet",4035.45996635
"77315","Montry",111886.06413867
