"ID","NAMES","artisans_AsTheCowRolls_ACC_0.01"
"77218","Grisy-sur-Seine",31.6883330341946
"77219","Guerard",15.1296978713776
"77220","Guercheville",21.9413751310132
"77221","Guermantes",6.86279852608634
"77222","Guignes",13.9625436400701
"77223","Gurcy-le-Chatel",25.9860612948517
"77224","Hautefeuille",17.5786432008643
"77225","La Haute-Maison",15.6386029490296
"77226","Hericy",15.4212755166667
"77227","Herme",31.6244660215308
"77228","Hondevilliers",25.4187958147855
"77229","La Houssaye-en-Brie",14.5303477525769
"77230","Ichy",27.3410682826211
"77231","Isles-les-Meldeuses",18.5111320413643
"77232","Isles-les-Villenoy",11.2846845074578
"77233","Iverny",13.1863997966918
"77234","Jablines",11.6449125069371
"77235","Jaignes",19.8282570452089
"77236","Jaulnes",30.1138794323987
"77237","Jossigny",7.93338618278803
"77238","Jouarre",18.7459234428407
"77239","Jouy-le-Chatel",20.4058452135681
"77240","Jouy-sur-Morin",25.6619350591763
"77241","Juilly",13.4107755222669
"77242","Jutigny",30.1069486665293
"77243","Lagny-sur-Marne",6.65293649613261
"77244","Larchant",19.4351496675209
"77245","Laval-en-Brie",21.5686374335808
"77246","Lechelle",34.4525163825265
"77247","Lescherolles",29.0897327834227
"77248","Lesches",10.9822962831062
"77249","Lesigny",7.11110652359969
"77250","Leudon-en-Brie",25.8413027474218
"77251","Lieusaint",8.46119615685812
"77252","Limoges-Fourches",10.8403333907377
"77253","Lissy",11.2661534021827
"77254","Liverdy-en-Brie",13.9338684043114
"77255","Livry-sur-Seine",11.8809083210361
"77256","Lizines",28.3901032806903
"77257","Lizy-sur-Ourcq",20.1829405701949
"77258","Lognes",5.72689724289619
"77259","Longperrier",13.2110800083745
"77260","Longueville",30.1257660769865
"77261","Lorrez-le-Bocage-Preaux",25.3362720952179
"77262","Louan-Villegruis-Fontaine",36.6582467035518
"77263","Luisetaines",30.2348247067991
"77264","Lumigny-Nesles-Ormeaux",15.9096226662644
"77265","Luzancy",21.3824447383766
"77266","Machault",17.299073371252
"77267","La Madeleine-sur-Loing",23.5013373313463
"77268","Magny-le-Hongre",10.235303455246
"77269","Maincy",11.070794345095
"77270","Maisoncelles-en-Brie",15.4520646836814
"77271","Maisoncelles-en-Gatinais",26.9331053707596
"77272","Maison-Rouge",25.7944050326825
"77273","Marchemoret",15.2207277092398
"77274","Marcilly",16.273194787201
"77275","Les Marets",28.1097118510011
"77276","Mareuil-les-Meaux",11.7478738504828
"77277","Marles-en-Brie",15.257030063665
"77278","Marolles-en-Brie",21.7075814097416
"77279","Marolles-sur-Seine",22.43397800052
