"ID","NAMES","cadres_AsTheCowRolls_POT_20"
"77221","Guermantes",222052.65801248
"77222","Guignes",34001.02344778
"77223","Gurcy-le-Chatel",2695.13431971
"77224","Hautefeuille",12223.42552181
"77225","La Haute-Maison",20233.86185565
"77226","Hericy",18121.94088797
"77227","Herme",1563.89311293
"77228","Hondevilliers",2484.18305576
"77229","La Houssaye-en-Brie",35004.52287795
"77230","Ichy",2346.94978086
"77231","Isles-les-Meldeuses",9635.11910212
"77232","Isles-les-Villenoy",49084.16997776
"77233","Iverny",39375.85793255
"77234","Jablines",66516.61515891
"77235","Jaignes",8393.83064757
"77236","Jaulnes",1694.04154361
"77237","Jossigny",210695.97854542
"77238","Jouarre",8461.74072997
"77239","Jouy-le-Chatel",5433.42203331
"77240","Jouy-sur-Morin",2424.33449233
"77241","Juilly",51841.52370112
"77242","Jutigny",2009.62140494
"77243","Lagny-sur-Marne",215637.63445904
"77244","Larchant",9026.21548292
"77245","Laval-en-Brie",6133.21723985
"77246","Lechelle",1261.56194611
"77247","Lescherolles",1443.24693928
"77248","Lesches",72280.15008254
"77249","Lesigny",246388.7374737
"77250","Leudon-en-Brie",1978.60829745
"77251","Lieusaint",126112.25260299
"77252","Limoges-Fourches",83635.28624898
"77253","Lissy",63227.51017738
"77254","Liverdy-en-Brie",42858.16390328
"77255","Livry-sur-Seine",34986.90978543
"77256","Lizines",2067.91348226
"77257","Lizy-sur-Ourcq",7564.81158353
"77258","Lognes",429128.81064973
"77259","Longperrier",65988.20623728
"77260","Longueville",1984.50631579
"77261","Lorrez-le-Bocage-Preaux",3841.7106955
"77262","Louan-Villegruis-Fontaine",540.27066475
"77263","Luisetaines",1881.51574651
"77264","Lumigny-Nesles-Ormeaux",20493.65279284
"77265","Luzancy",5232.14459297
"77266","Machault",14069.17497863
"77267","La Madeleine-sur-Loing",4454.19429745
"77268","Magny-le-Hongre",105049.85597701
"77269","Maincy",45640.92266031
"77270","Maisoncelles-en-Brie",19993.06247349
"77271","Maisoncelles-en-Gatinais",2553.99991183
"77272","Maison-Rouge",2702.17807906
"77273","Marchemoret",31117.28789745
"77274","Marcilly",15460.14967332
"77275","Les Marets",1444.94272949
"77276","Mareuil-les-Meaux",47664.05263887
"77277","Marles-en-Brie",28010.03216418
"77278","Marolles-en-Brie",4229.65167729
"77279","Marolles-sur-Seine",5311.95299824
"77280","Mary-sur-Marne",7370.4619455
"77281","Mauperthuis",8666.23518741
"77282","Mauregard",142266.26521646
"77283","May-en-Multien",5631.75127093
"77284","Meaux",47047.78510036
"77285","Le Mee-sur-Seine",53649.46652349
"77286","Meigneux",2171.48369896
"77287","Meilleray",621.60265423
"77288","Melun",58232.90337759
"77289","Melz-sur-Seine",1196.3739233
"77290","Mery-sur-Marne",4333.29928528
"77291","Le Mesnil-Amelot",173230.40980558
"77292","Messy",137483.1830209
"77293","Misy-sur-Yonne",3220.85057859
"77294","Mitry-Mory",233174.67672301
"77295","Moisenay",31631.33212025
"77296","Moissy-Cramayel",100908.52859866
"77297","Mondreville",1361.04008204
"77298","Mons-en-Montois",1915.89280246
"77299","Montarlot",10122.64853133
"77300","Montceaux-les-Meaux",35265.2070226
"77301","Montceaux-les-Provins",1060.11465103
"77302","Montcourt-Fromonville",10705.33635842
"77303","Montdauphin",602.80013333
"77304","Montenils",403.73867929
"77305","Montereau-Fault-Yonne",8445.03138008
"77306","Montereau-sur-le-Jard",68358.06356327
"77307","Montevrain",154134.63782637
"77308","Montge-en-Goele",30021.56746591
"77309","Monthyon",24558.45726744
"77310","Montigny-le-Guesdier",1245.96794871
"77311","Montigny-Lencoup",4429.47718969
"77312","Montigny-sur-Loing",12391.64701945
"77313","Montmachoux",3917.80136587
"77314","Montolivet",644.84479796
"77315","Montry",75452.2145715
"77316","Moret-sur-Loing",12246.26810256
"77317","Mormant",12047.16417017
"77318","Mortcerf",32232.20127905
"77319","Mortery",1910.96665713
"77320","Mouroux",12642.77298015
"77321","Mousseaux-les-Bray",1875.4360538
"77322","Moussy-le-Neuf",80713.19862478
"77323","Moussy-le-Vieux",51129.53945819
"77325","Mouy-sur-Seine",1970.63669194
"77326","Nandy",81632.73006263
"77327","Nangis",5680.06461668
"77328","Nanteau-sur-Essonne",4871.53088808
"77329","Nanteau-sur-Lunain",5436.15387717
"77330","Nanteuil-les-Meaux",43807.50195712
"77331","Nanteuil-sur-Marne",3121.34892525
"77332","Nantouillet",55992.40353767
"77333","Nemours",11399.20817189
"77335","Chauconin-Neufmontiers",43768.984097
"77336","Neufmoutiers-en-Brie",52427.01567955
"77337","Noisiel",407815.86569966
"77338","Noisy-Rudignon",6779.32272017
"77339","Noisy-sur-Ecole",13902.38912551
"77340","Nonville",7762.47782425
"77341","Noyen-sur-Seine",1420.31950481
"77342","Obsonville",2826.87587706
"77343","Ocquerre",5004.90965911
"77344","Oissery",11719.73995888
"77345","Orly-sur-Morin",2474.03833842
"77347","Les Ormes-sur-Voulzie",1961.0080995
"77348","Ormesson",7233.52309331
"77349","Othis",31166.49541386
"77350","Ozoir-la-Ferriere",176877.67534009
"77352","Ozouer-le-Voulgis",34552.6543365
"77353","Paley",4222.15181999
"77354","Pamfou",13056.2488421
"77355","Paroy",2111.88979681
"77356","Passy-sur-Seine",992.99643752
"77357","Pecy",4585.5889505
"77358","Penchard",34884.03490123
"77359","Perthes",68096.39927021
"77360","Pezarches",14881.75796048
"77361","Pierre-Levee",27769.12971343
"77363","Le Pin",228624.49566812
"77364","Le Plessis-aux-Bois",28114.56294881
"77365","Le Plessis-Feu-Aussoux",8297.68696521
"77366","Le Plessis-l'Eveque",34866.06860567
"77367","Le Plessis-Placy",6940.04443637
"77368","Poigny",1869.8421117
"77369","Poincy",22728.66836172
"77370","Poligny",4886.56805271
"77371","Pommeuse",15296.36735285
"77372","Pomponne",198035.10507942
"77373","Pontault-Combault",342951.36257289
"77374","Pontcarre",261035.4864326
"77376","Precy-sur-Marne",66910.17506798
"77377","Presles-en-Brie",73512.61294057
"77378","Pringy",56853.79254696
"77379","Provins",2049.24281508
"77380","Puisieux",8544.81902363
"77381","Quiers",5301.16533556
"77382","Quincy-Voisins",69169.0641854
"77383","Rampillon",3020.12322929
"77384","Reau",97769.88511596
"77385","Rebais",3806.15124154
"77386","Recloses",14468.77335708
"77387","Remauville",3980.57282645
"77388","Reuil-en-Brie",9234.203498
"77389","La Rochette",38226.85930924
"77390","Roissy-en-Brie",240808.23149309
"77391","Rouilly",1595.01311321
"77392","Rouvres",59716.35083664
"77393","Rozay-en-Brie",18074.32211894
"77394","Rubelles",51649.17193085
"77395","Rumont",4498.20172871
"77396","Rupereux",1234.34575266
"77397","Saacy-sur-Marne",3769.13866017
"77398","Sablonnieres",2333.64695454
"77399","Saint-Ange-le-Viel",4069.08068514
"77400","Saint-Augustin",8222.00811958
"77401","Sainte-Aulde",5815.83235304
"77402","Saint-Barthelemy",1269.75938189
"77403","Saint-Brice",1730.32548603
"77404","Sainte-Colombe",2010.44295225
"77405","Saint-Cyr-sur-Morin",4135.62469396
"77406","Saint-Denis-les-Rebais",4003.02810725
