"ID","NAMES","agriculteurs_AsTheCowRolls_ACC_0.005"
"77289","Melz-sur-Seine",6.16926077302327
"77290","Mery-sur-Marne",8.27238003180764
"77291","Le Mesnil-Amelot",9.46385017420037
"77292","Messy",7.39260015872627
"77293","Misy-sur-Yonne",10.1230223387807
"77294","Mitry-Mory",9.47090487900944
"77295","Moisenay",8.99066386726433
"77296","Moissy-Cramayel",7.9205978553336
"77297","Mondreville",7.0638240716226
"77298","Mons-en-Montois",6.5804820720335
"77299","Montarlot",7.52687171256438
"77300","Montceaux-les-Meaux",7.90595712682865
"77301","Montceaux-les-Provins",7.13886829006357
"77302","Montcourt-Fromonville",8.19190125002577
"77303","Montdauphin",9.41961737888406
"77304","Montenils",11.8136137574316
"77305","Montereau-Fault-Yonne",6.93360600672126
"77306","Montereau-sur-le-Jard",7.56666497945
"77307","Montevrain",7.67926491524121
"77308","Montge-en-Goele",8.15699768913244
"77309","Monthyon",7.92101211403646
"77310","Montigny-le-Guesdier",10.4756406889476
"77311","Montigny-Lencoup",7.42060356882057
"77312","Montigny-sur-Loing",10.3902452489499
"77313","Montmachoux",8.37463964543621
"77314","Montolivet",8.886387019148
"77315","Montry",7.39111642270054
"77316","Moret-sur-Loing",9.54690249774613
"77317","Mormant",8.60237345760847
"77318","Mortcerf",6.63681234909228
"77319","Mortery",8.1205973623981
"77320","Mouroux",6.37221295364884
"77321","Mousseaux-les-Bray",7.16305695000934
"77322","Moussy-le-Neuf",10.2322055437403
"77323","Moussy-le-Vieux",10.5616789768872
"77325","Mouy-sur-Seine",6.76357420144701
"77326","Nandy",8.3424622752385
"77327","Nangis",6.9040866389575
"77328","Nanteau-sur-Essonne",7.95372502660304
"77329","Nanteau-sur-Lunain",6.60001758292489
"77330","Nanteuil-les-Meaux",7.50411600033112
"77331","Nanteuil-sur-Marne",10.1128664702314
"77332","Nantouillet",8.04953238047621
"77333","Nemours",5.78673724756842
"77335","Chauconin-Neufmontiers",6.76449656069637
"77336","Neufmoutiers-en-Brie",9.37610676571785
"77337","Noisiel",6.36345966981365
"77338","Noisy-Rudignon",6.55451813738321
"77339","Noisy-sur-Ecole",8.49730643689462
"77340","Nonville",6.89933043356008
"77341","Noyen-sur-Seine",7.67576146753526
"77342","Obsonville",5.02763075698932
"77343","Ocquerre",6.4904627645827
"77344","Oissery",12.2494889342322
"77345","Orly-sur-Morin",9.33710070842746
"77347","Les Ormes-sur-Voulzie",6.24639717243895
"77348","Ormesson",6.13391847096567
"77349","Othis",11.9249338639928
"77350","Ozoir-la-Ferriere",7.94436784585041
"77352","Ozouer-le-Voulgis",6.75123841692316
"77353","Paley",6.0934053808104
"77354","Pamfou",10.5442337746787
"77355","Paroy",4.8155253324913
"77356","Passy-sur-Seine",10.2741616556227
"77357","Pecy",6.78234517455674
"77358","Penchard",7.43567455308378
"77359","Perthes",5.34366880924118
"77360","Pezarches",3.88461043729501
"77361","Pierre-Levee",6.82134034232839
"77363","Le Pin",7.95795534696168
"77364","Le Plessis-aux-Bois",6.74854635928578
"77365","Le Plessis-Feu-Aussoux",5.9716049572504
"77366","Le Plessis-l'Eveque",6.94399624272676
"77367","Le Plessis-Placy",8.92914926468244
"77368","Poigny",6.22333037891138
"77369","Poincy",8.38458583058789
"77370","Poligny",7.64580474965424
"77371","Pommeuse",6.18339425714091
"77372","Pomponne",7.20065673324335
"77373","Pontault-Combault",7.99864212047204
"77374","Pontcarre",7.58825275359103
"77376","Precy-sur-Marne",10.1859624101477
"77377","Presles-en-Brie",8.06415711093801
"77378","Pringy",8.25807097679645
"77379","Provins",2.14061101341617
"77380","Puisieux",11.5933853564745
"77381","Quiers",7.91454190920902
"77382","Quincy-Voisins",6.62282850612074
"77383","Rampillon",6.99975959349539
"77384","Reau",7.33358661290024
"77385","Rebais",7.14575046791746
"77386","Recloses",9.6636328502151
"77387","Remauville",5.58980922863386
