"ID","NAMES","employe_AsTheCrowFlies_ACC_0.01"
"77344","Oissery",13071.3199828896
"77345","Orly-sur-Morin",18281.2884467702
"77347","Les Ormes-sur-Voulzie",23829.2811648759
"77348","Ormesson",19852.8305196036
"77349","Othis",10790.8314174188
"77350","Ozoir-la-Ferriere",5800.28194835644
"77352","Ozouer-le-Voulgis",10893.3783461979
"77353","Paley",19841.0125896373
"77354","Pamfou",12983.6273232486
"77355","Paroy",22609.1203991394
"77356","Passy-sur-Seine",29836.6702747228
"77357","Pecy",18111.2543890336
"77358","Penchard",8696.09923718651
"77359","Perthes",9153.23376345088
"77360","Pezarches",14502.8216456488
"77361","Pierre-Levee",11430.2612373299
"77363","Le Pin",4125.75861913796
"77364","Le Plessis-aux-Bois",9556.55014421529
"77365","Le Plessis-Feu-Aussoux",16248.9332491043
"77366","Le Plessis-l'Eveque",9767.08864458523
"77367","Le Plessis-Placy",14434.9517331262
"77368","Poigny",24543.3864786144
"77369","Poincy",8305.99756734857
"77370","Poligny",19661.0866230432
"77371","Pommeuse",12740.9808803238
"77372","Pomponne",4564.41210950909
"77373","Pontault-Combault",3657.66599957048
"77374","Pontcarre",5587.5153475072
"77376","Precy-sur-Marne",7586.49343246377
"77377","Presles-en-Brie",9014.49612892904
"77378","Pringy",7150.63279801238
"77379","Provins",24654.0035739102
"77380","Puisieux",13855.9799018648
"77381","Quiers",16197.9211310222
"77382","Quincy-Voisins",7454.08652767504
"77383","Rampillon",18462.2100614011
"77384","Reau",6001.63497662806
"77385","Rebais",18589.5184461853
"77386","Recloses",14762.63515367
"77387","Remauville",20978.7081801031
"77388","Reuil-en-Brie",16386.6612256853
"77389","La Rochette",6462.87737297301
"77390","Roissy-en-Brie",4620.44003225882
"77391","Rouilly",24207.8817495552
"77392","Rouvres",11272.8731078572
"77393","Rozay-en-Brie",15430.1276278203
"77394","Rubelles",6298.36970844227
"77395","Rumont",20589.9894425896
"77396","Rupereux",24863.1675165537
"77397","Saacy-sur-Marne",18637.4912458935
"77398","Sablonnieres",21404.4885478703
"77399","Saint-Ange-le-Viel",18909.5133198605
"77400","Saint-Augustin",14042.7759208909
"77401","Sainte-Aulde",18457.7501406215
"77402","Saint-Barthelemy",24866.7609892291
"77403","Saint-Brice",26281.9052456368
"77404","Sainte-Colombe",23990.3672795283
"77405","Saint-Cyr-sur-Morin",16065.8754687586
"77406","Saint-Denis-les-Rebais",17380.5926073595
"77407","Saint-Fargeau-Ponthierry",6584.66233246191
"77408","Saint-Fiacre",8767.24146955672
"77409","Saint-Germain-Laval",17087.8229003489
"77410","Saint-Germain-Laxis",7928.31302599435
"77411","Saint-Germain-sous-Doue",15122.4255247169
"77412","Saint-Germain-sur-Ecole",10016.7351024939
"77413","Saint-Germain-sur-Morin",7468.00329474271
"77414","Saint-Hilliers",22604.7253632515
"77415","Saint-Jean-les-Deux-Jumeaux",10967.5351635924
"77416","Saint-Just-en-Brie",19290.7816241628
"77417","Saint-Leger",20456.0457693845
"77418","Saint-Loup-de-Naud",22536.0976668634
"77419","Saint-Mammes",12988.0689494303
"77420","Saint-Mard",9936.83885227691
"77421","Saint-Mars-Vieux-Maisons",23345.9571587845
"77423","Saint-Martin-des-Champs",23563.4309862961
"77424","Saint-Martin-du-Boschet",28135.2014278586
"77425","Saint-Martin-en-Biere",11315.1046055706
"77426","Saint-Mery",12604.4878349748
"77427","Saint-Mesmes",8301.80578984922
"77428","Saint-Ouen-en-Brie",15116.469581469
"77429","Saint-Ouen-sur-Morin",17216.8162157245
"77430","Saint-Pathus",12946.6260075984
"77431","Saint-Pierre-les-Nemours",18241.7100407314
"77432","Saint-Remy-la-Vanne",19541.3947234889
"77433","Saints",15449.9408934755
"77434","Saint-Sauveur-les-Bray",23440.4420579254
"77435","Saint-Sauveur-sur-Ecole",8316.58863137171
"77436","Saint-Simeon",17923.480368631
"77437","Saint-Soupplets",11046.0822735078
"77438","Saint-Thibault-des-Vignes",4009.25179012172
"77439","Salins",17468.6701958498
"77440","Sammeron",12666.7082336562
"77441","Samois-sur-Seine",10513.1757852769
"77442","Samoreau",11738.0424829372
"77443","Sancy",9976.26918806267
"77444","Sancy-les-Provins",26702.0403804571
"77445","Savigny-le-Temple",5290.29657703582
"77446","Savins",22362.6544807019
"77447","Seine-Port",5794.95006332807
"77448","Sept-Sorts",13723.0395657329
"77449","Serris",6420.19890054282
"77450","Servon",5502.59981159096
"77451","Signy-Signets",12076.9019513348
"77452","Sigy",21258.2596960448
"77453","Sivry-Courtry",9498.4814678962
"77454","Sognolles-en-Montois",20510.7210042397
"77455","Soignolles-en-Brie",9000.09706345827
"77456","Soisy-Bouy",26021.9009012288
"77457","Solers",9628.77411432851
"77458","Souppes-sur-Loing",23359.1665606762
"77459","Sourdun",28133.0947838503
"77460","Tancrou",14586.7779330848
"77461","Thenisy",21552.619789326
"77462","Thieux",7810.54931196094
"77463","Thomery",12275.1345257735
"77464","Thorigny-sur-Marne",5428.18721692331
"77465","Thoury-Ferottes",18674.7398285877
"77466","Tigeaux",10210.4103949671
"77467","La Tombe",20669.6270351948
"77468","Torcy",3407.26795091914
"77469","Touquin",15593.1554151709
"77470","Tournan-en-Brie",9411.93417063945
"77471","Tousson",17376.6753759357
