"ID","NAMES","employe_AsTheCowRolls_POT_15"
"77209","Gouvernes",127059.35268382
"77210","La Grande-Paroisse",8267.68959205
"77211","Grandpuits-Bailly-Carrois",6044.47102486
"77212","Gravon",3780.8911458
"77214","Gressy",90158.62121708
"77215","Gretz-Armainvilliers",59438.59335492
"77216","Grez-sur-Loing",11106.64619064
"77217","Grisy-Suisnes",52812.72087999
"77218","Grisy-sur-Seine",2477.84114025
"77219","Guerard",14236.83732367
"77220","Guercheville",3788.6175168
"77221","Guermantes",114797.54587916
"77222","Guignes",21374.3256643
"77223","Gurcy-le-Chatel",3890.22493583
"77224","Hautefeuille",7073.79479249
"77225","La Haute-Maison",13251.09479117
"77226","Hericy",15475.50184422
"77227","Herme",4002.68338922
"77228","Hondevilliers",3409.99800104
"77229","La Houssaye-en-Brie",15955.10812272
"77230","Ichy",2714.99647842
"77231","Isles-les-Meldeuses",13072.50112675
"77232","Isles-les-Villenoy",35659.73604419
"77233","Iverny",27061.79060908
"77234","Jablines",37757.16452205
"77235","Jaignes",8830.20456084
"77236","Jaulnes",3100.20003205
"77237","Jossigny",100445.85267607
"77238","Jouarre",9889.92286823
"77239","Jouy-le-Chatel",5107.18728814
"77240","Jouy-sur-Morin",4276.7943352
"77241","Juilly",26713.60086727
"77242","Jutigny",5031.49442136
"77243","Lagny-sur-Marne",117676.58613789
"77244","Larchant",6804.97100929
"77245","Laval-en-Brie",6880.56027437
"77246","Lechelle",3025.12533958
"77247","Lescherolles",2568.78580569
"77248","Lesches",42477.64659068
"77249","Lesigny",124469.58244401
"77250","Leudon-en-Brie",2943.60546515
"77251","Lieusaint",91085.51334028
"77252","Limoges-Fourches",55666.36083334
"77253","Lissy",43615.03335106
"77254","Liverdy-en-Brie",18344.50205047
"77255","Livry-sur-Seine",30431.31940736
"77256","Lizines",4140.54645401
"77257","Lizy-sur-Ourcq",11172.03844215
"77258","Lognes",225298.0570416
"77259","Longperrier",29618.42960989
"77260","Longueville",5016.23111635
"77261","Lorrez-le-Bocage-Preaux",4310.11750113
"77262","Louan-Villegruis-Fontaine",672.5546834
"77263","Luisetaines",3807.35708028
"77264","Lumigny-Nesles-Ormeaux",10216.54985676
"77265","Luzancy",5702.89864867
"77266","Machault",11119.31243453
"77267","La Madeleine-sur-Loing",5437.68779638
"77268","Magny-le-Hongre",49803.21792188
"77269","Maincy",37861.54122105
"77270","Maisoncelles-en-Brie",13743.66694652
"77271","Maisoncelles-en-Gatinais",3485.91862117
"77272","Maison-Rouge",5281.58288083
"77273","Marchemoret",19741.66941745
"77274","Marcilly",16215.2667463
"77275","Les Marets",2189.68467795
"77276","Mareuil-les-Meaux",30654.4920194
"77277","Marles-en-Brie",12790.30879046
"77278","Marolles-en-Brie",6596.77141378
"77279","Marolles-sur-Seine",6853.00234062
"77280","Mary-sur-Marne",10608.56564565
"77281","Mauperthuis",8433.25988128
"77282","Mauregard",59765.15086481
"77283","May-en-Multien",7611.87008298
"77284","Meaux",33952.58661316
"77285","Le Mee-sur-Seine",44667.56914676
"77286","Meigneux",3334.65209271
"77287","Meilleray",1162.99991783
"77288","Melun",47658.02149326
"77289","Melz-sur-Seine",2772.19828984
"77290","Mery-sur-Marne",5008.21774543
"77291","Le Mesnil-Amelot",74430.88574514
"77292","Messy",81028.0673483
"77293","Misy-sur-Yonne",4651.08802032
"77294","Mitry-Mory",131857.35969499
"77295","Moisenay",26752.05277763
"77296","Moissy-Cramayel",71016.10040079
"77297","Mondreville",1940.24768352
"77298","Mons-en-Montois",3206.73755254
"77299","Montarlot",10930.04268396
"77300","Montceaux-les-Meaux",24010.58409209
"77301","Montceaux-les-Provins",1374.20863832
"77302","Montcourt-Fromonville",9913.03842393
"77303","Montdauphin",967.39665145
"77304","Montenils",640.02492522
"77305","Montereau-Fault-Yonne",9973.32084315
"77306","Montereau-sur-le-Jard",50790.42475785
"77307","Montevrain",83062.1363938
"77308","Montge-en-Goele",17806.25055517
"77309","Monthyon",21581.7493741
"77310","Montigny-le-Guesdier",2104.07911588
"77311","Montigny-Lencoup",5854.65469251
"77312","Montigny-sur-Loing",10631.14756768
"77313","Montmachoux",4913.141791
"77314","Montolivet",1140.80720969
"77315","Montry",46424.41764486
"77316","Moret-sur-Loing",12432.11825742
"77317","Mormant",8850.80227795
"77318","Mortcerf",14911.59176716
"77319","Mortery",3673.22099416
"77320","Mouroux",10471.58390184
"77321","Mousseaux-les-Bray",3514.62086832
"77322","Moussy-le-Neuf",26264.49942077
"77323","Moussy-le-Vieux",18953.19252656
"77325","Mouy-sur-Seine",3841.03079193
"77326","Nandy",65687.67667863
"77327","Nangis",5514.61301332
"77328","Nanteau-sur-Essonne",2396.51741008
"77329","Nanteau-sur-Lunain",5861.2935724
"77330","Nanteuil-les-Meaux",28702.78468384
"77331","Nanteuil-sur-Marne",3913.58041268
"77332","Nantouillet",30451.99934795
"77333","Nemours",10106.12167968
"77335","Chauconin-Neufmontiers",31111.92322193
"77336","Neufmoutiers-en-Brie",20273.75850761
"77337","Noisiel",220969.16430368
"77338","Noisy-Rudignon",7837.12429914
"77339","Noisy-sur-Ecole",5468.05712965
"77340","Nonville",7953.88285152
"77341","Noyen-sur-Seine",3104.33600948
"77342","Obsonville",3160.11536842
"77343","Ocquerre",6640.21801285
"77344","Oissery",9964.86241781
"77345","Orly-sur-Morin",3362.91735177
"77347","Les Ormes-sur-Voulzie",4640.12412822
"77348","Ormesson",7040.56474134
"77349","Othis",13560.28771402
"77350","Ozoir-la-Ferriere",84827.15443429
"77352","Ozouer-le-Voulgis",17527.3844614
"77353","Paley",4650.50113606
"77354","Pamfou",11222.7684091
"77355","Paroy",4688.13895813
"77356","Passy-sur-Seine",1824.36341479
"77357","Pecy",4188.49320887
"77358","Penchard",27433.2938828
