"ID","NAMES","population_AsTheCowRolls_ACC_0.05"
"77217","Grisy-Suisnes",16.9330557547172
"77218","Grisy-sur-Seine",46.1566347783837
"77219","Guerard",23.2377010105584
"77220","Guercheville",32.2739018879254
"77221","Guermantes",13.5673702663268
"77222","Guignes",21.6312094705759
"77223","Gurcy-le-Chatel",39.4298652718903
"77224","Hautefeuille",26.2795630570868
"77225","La Haute-Maison",24.6661800217647
"77226","Hericy",28.2233848953609
"77227","Herme",45.3525212190783
"77228","Hondevilliers",35.870728931026
"77229","La Houssaye-en-Brie",21.8195444025336
"77230","Ichy",39.2947829478827
"77231","Isles-les-Meldeuses",27.6345877011766
"77232","Isles-les-Villenoy",20.3237647628652
"77233","Iverny",20.6194221717912
"77234","Jablines",18.6220846714338
"77235","Jaignes",28.2745718352041
"77236","Jaulnes",44.1612915443538
"77237","Jossigny",14.410425326299
"77238","Jouarre",28.8714125868181
"77239","Jouy-le-Chatel",30.3367806399142
"77240","Jouy-sur-Morin",37.8648969410998
"77241","Juilly",19.4786863219284
"77242","Jutigny",43.7713139308996
"77243","Lagny-sur-Marne",13.4233335644874
"77244","Larchant",30.0737487245207
"77245","Laval-en-Brie",33.5972033947886
"77246","Lechelle",46.7843776684644
"77247","Lescherolles",41.2890373720082
"77248","Lesches",18.4175239956163
"77249","Lesigny",13.1110027418611
"77250","Leudon-en-Brie",37.3082001877542
"77251","Lieusaint",15.0569305840152
"77252","Limoges-Fourches",17.1204639683486
"77253","Lissy",18.5846780224585
"77254","Liverdy-en-Brie",21.023810458129
"77255","Livry-sur-Seine",21.9614195202882
"77256","Lizines",41.2603285749514
"77257","Lizy-sur-Ourcq",29.7317583482187
"77258","Lognes",10.6573384826704
"77259","Longperrier",18.5057114662656
"77260","Longueville",43.277072506327
"77261","Lorrez-le-Bocage-Preaux",38.5808693702484
"77262","Louan-Villegruis-Fontaine",48.5460189976644
"77263","Luisetaines",44.6044836896965
"77264","Lumigny-Nesles-Ormeaux",24.1499373697535
"77265","Luzancy",30.7206743757192
"77266","Machault",30.3572291943751
