"ID","NAMES","cadres_AsTheCowRolls_ACC_0.01"
"77259","Longperrier",15.434144500884
"77260","Longueville",36.0536522024473
"77261","Lorrez-le-Bocage-Preaux",30.6551169620051
"77262","Louan-Villegruis-Fontaine",41.162646801287
"77263","Luisetaines",36.4037027401236
"77264","Lumigny-Nesles-Ormeaux",18.5060261705507
"77265","Luzancy",25.0101453295738
"77266","Machault",20.9215228822001
"77267","La Madeleine-sur-Loing",27.1273770310731
"77268","Magny-le-Hongre",11.2035401127708
"77269","Maincy",13.4998799857012
"77270","Maisoncelles-en-Brie",18.493451671376
"77271","Maisoncelles-en-Gatinais",30.8171666640038
"77272","Maison-Rouge",31.0180137267472
"77273","Marchemoret",16.8234286842173
"77274","Marcilly",20.0869353127323
"77275","Les Marets",32.5487201641973
"77276","Mareuil-les-Meaux",15.0599492702319
"77277","Marles-en-Brie",17.1437483114979
"77278","Marolles-en-Brie",26.6071431619449
"77279","Marolles-sur-Seine",27.2156503857123
"77280","Mary-sur-Marne",23.8178104745131
"77281","Mauperthuis",22.1476875106055
"77282","Mauregard",12.9588440382866
"77283","May-en-Multien",25.2900375328599
"77284","Meaux",15.0618933292302
"77285","Le Mee-sur-Seine",12.0535729417164
"77286","Meigneux",32.3522225844322
"77287","Meilleray",39.0099546199922
"77288","Melun",11.5536399773968
"77289","Melz-sur-Seine",40.2107652600242
"77290","Mery-sur-Marne",25.5353655568707
"77291","Le Mesnil-Amelot",12.105550638596
"77292","Messy",11.4844236067485
"77293","Misy-sur-Yonne",30.5471436282618
"77294","Mitry-Mory",10.4804368413691
"77295","Moisenay",15.8382995905562
"77296","Moissy-Cramayel",11.1008757529791
"77297","Mondreville",34.9076134090517
"77298","Mons-en-Montois",35.2834927338245
"77299","Montarlot",25.0309103162644
"77300","Montceaux-les-Meaux",16.0354752197629
"77301","Montceaux-les-Provins",33.9529919860107
"77302","Montcourt-Fromonville",22.838205004505
"77303","Montdauphin",38.9821628209255
"77304","Montenils",41.3055920034955
"77305","Montereau-Fault-Yonne",25.475279131614
"77306","Montereau-sur-le-Jard",12.4669357958808
"77307","Montevrain",9.2813375238921
"77308","Montge-en-Goele",16.9850889761371
"77309","Monthyon",17.280801733308
"77310","Montigny-le-Guesdier",37.1648384809862
"77311","Montigny-Lencoup",28.0969146358614
"77312","Montigny-sur-Loing",21.9440148764111
"77313","Montmachoux",31.508489907897
"77314","Montolivet",39.580476418993
"77315","Montry",11.5134965382082
"77316","Moret-sur-Loing",22.4443985828391
"77317","Mormant",20.8435592100459
"77318","Mortcerf",16.5714755098538
"77319","Mortery",31.8442572448931
"77320","Mouroux",20.6290221941066
"77321","Mousseaux-les-Bray",35.5652946395384
"77322","Moussy-le-Neuf",15.3912085226456
"77323","Moussy-le-Vieux",15.9913855229837
"77325","Mouy-sur-Seine",35.5946447716787
"77326","Nandy",10.8335888476083
"77327","Nangis",25.2251700626398
"77328","Nanteau-sur-Essonne",25.3992375227936
"77329","Nanteau-sur-Lunain",27.2774804760847
"77330","Nanteuil-les-Meaux",15.3166729813674
"77331","Nanteuil-sur-Marne",26.7067282333473
"77332","Nantouillet",15.3844210741648
"77333","Nemours",21.5734802705262
"77335","Chauconin-Neufmontiers",15.3391279168202
"77336","Neufmoutiers-en-Brie",15.4107199299304
"77337","Noisiel",5.68677173727126
"77338","Noisy-Rudignon",28.3958307914034
"77339","Noisy-sur-Ecole",20.376549109721
"77340","Nonville",25.1974192194697
"77341","Noyen-sur-Seine",38.4237864316239
"77342","Obsonville",30.5405245640538
"77343","Ocquerre",25.7977102681274
"77344","Oissery",20.6051777861809
"77345","Orly-sur-Morin",29.3281921025002
"77347","Les Ormes-sur-Voulzie",37.0644175536093
"77348","Ormesson",25.0707003122873
"77349","Othis",17.068219956671
"77350","Ozoir-la-Ferriere",10.1887628147209
"77352","Ozouer-le-Voulgis",16.3761340413291
"77353","Paley",29.2292571776184
"77354","Pamfou",21.3154293950562
"77355","Paroy",35.7878058923147
"77356","Passy-sur-Seine",40.4893745998739
"77357","Pecy",25.2520706803296
"77358","Penchard",15.8812963260074
"77359","Perthes",12.6725467628904
"77360","Pezarches",20.1600835843759
"77361","Pierre-Levee",16.938499554346
"77363","Le Pin",8.38681980390125
"77364","Le Plessis-aux-Bois",16.923939459319
"77365","Le Plessis-Feu-Aussoux",21.9573299294393
"77366","Le Plessis-l'Eveque",16.1813968982369
"77367","Le Plessis-Placy",24.0323049772992
"77368","Poigny",35.4426151384681
"77369","Poincy",17.6096040163258
"77370","Poligny",26.7328596504598
"77371","Pommeuse",20.1068471597862
"77372","Pomponne",7.88321925982792
"77373","Pontault-Combault",7.22753761575287
"77374","Pontcarre",8.63570015040453
"77376","Precy-sur-Marne",14.5971789646614
"77377","Presles-en-Brie",13.8548993504718
"77378","Pringy",13.6374925472492
"77379","Provins",34.2948635395798
"77380","Puisieux",22.2812080013536
"77381","Quiers",24.8331974881773
"77382","Quincy-Voisins",12.8660053881513
"77383","Rampillon",28.7643533142984
"77384","Reau",11.0978065598622
"77385","Rebais",29.2592807973706
"77386","Recloses",20.3857251730363
"77387","Remauville",28.5334223855748
"77388","Reuil-en-Brie",21.7238317864903
"77389","La Rochette",13.6452478722362
"77390","Roissy-en-Brie",9.23714836650957
"77391","Rouilly",36.134545456524
"77392","Rouvres",15.6007074085133
"77393","Rozay-en-Brie",19.2262231914324
"77394","Rubelles",12.7427954687937
"77395","Rumont",25.874436988391
"77396","Rupereux",35.869287602095
"77397","Saacy-sur-Marne",26.0328404857353
"77398","Sablonnieres",30.8839028697642
"77399","Saint-Ange-le-Viel",31.3189612526819
"77400","Saint-Augustin",22.5120744988733
"77401","Sainte-Aulde",23.738635920769
"77402","Saint-Barthelemy",35.5295409920416
"77403","Saint-Brice",35.9439857862775
"77404","Sainte-Colombe",35.4355235609848
"77405","Saint-Cyr-sur-Morin",26.1071637146545
"77406","Saint-Denis-les-Rebais",27.7851854034264
"77407","Saint-Fargeau-Ponthierry",11.7487945828012
"77408","Saint-Fiacre",16.5606882483413
"77409","Saint-Germain-Laval",26.0701927122361
"77410","Saint-Germain-Laxis",13.8532391004006
"77411","Saint-Germain-sous-Doue",27.3538035734357
"77412","Saint-Germain-sur-Ecole",15.4582525104601
"77413","Saint-Germain-sur-Morin",11.8265480718194
"77414","Saint-Hilliers",32.3978238589763
"77415","Saint-Jean-les-Deux-Jumeaux",17.563704595251
"77416","Saint-Just-en-Brie",30.4449736859326
"77417","Saint-Leger",31.8112573439614
"77418","Saint-Loup-de-Naud",35.6871180057723
"77419","Saint-Mammes",21.2156659488322
"77420","Saint-Mard",14.6283289638778
"77421","Saint-Mars-Vieux-Maisons",33.3136932349228
"77423","Saint-Martin-des-Champs",33.5116783323967
"77424","Saint-Martin-du-Boschet",36.7728412850136
"77425","Saint-Martin-en-Biere",15.7844911275085
"77426","Saint-Mery",20.3314896846491
"77427","Saint-Mesmes",13.956171182516
"77428","Saint-Ouen-en-Brie",22.0718959415057
"77429","Saint-Ouen-sur-Morin",26.3201975360827
"77430","Saint-Pathus",20.0127980933477
"77431","Saint-Pierre-les-Nemours",22.3733473414765
"77432","Saint-Remy-la-Vanne",28.6280837197047
"77433","Saints",23.1805627465684
"77434","Saint-Sauveur-les-Bray",37.8254576275689
"77435","Saint-Sauveur-sur-Ecole",15.0189435169482
"77436","Saint-Simeon",27.7340982483979
"77437","Saint-Soupplets",17.6791100924396
"77438","Saint-Thibault-des-Vignes",7.04000035008023
"77439","Salins",27.1965604656602
"77440","Sammeron",17.5815773227185
"77441","Samois-sur-Seine",18.9212187904571
"77442","Samoreau",17.3648202060141
"77443","Sancy",16.8681282778262
"77444","Sancy-les-Provins",32.4176713955469
"77445","Savigny-le-Temple",10.7463787869786
"77446","Savins",35.9719465558768
"77447","Seine-Port",12.3049880468566
"77448","Sept-Sorts",20.2327050884254
"77449","Serris",10.4828408942292
"77450","Servon",8.91862870541943
"77451","Signy-Signets",20.501088027217
"77452","Sigy",35.42207949094
"77453","Sivry-Courtry",15.7068225839319
"77454","Sognolles-en-Montois",35.3500788586476
"77455","Soignolles-en-Brie",13.7460405511957
"77456","Soisy-Bouy",38.4412901266224
"77457","Solers",14.6172149136757
"77458","Souppes-sur-Loing",26.3325524047304
"77459","Sourdun",35.7780313463673
"77460","Tancrou",23.1061993697307
"77461","Thenisy",35.4460063098873
"77462","Thieux",13.6827221176041
"77463","Thomery",20.5081102367493
"77464","Thorigny-sur-Marne",9.67468139128855
"77465","Thoury-Ferottes",31.5979672723999
"77466","Tigeaux",15.5865557833478
"77467","La Tombe",29.3148329943671
"77468","Torcy",6.16477369116358
"77469","Touquin",20.6088664209983
"77470","Tournan-en-Brie",12.5440015006641
"77471","Tousson",21.3304548248203
"77472","La Tretoire",31.1544114400353
"77473","Treuzy-Levelay",26.504703119479
"77474","Trilbardou",13.1709027874282
"77475","Trilport",17.2309061564968
"77476","Trocy-en-Multien",22.3384272191475
"77477","Ury",17.6086703590313
"77478","Ussy-sur-Marne",18.0658412664748
"77479","Vaires-sur-Marne",7.43490853771971
"77480","Valence-en-Brie",22.4701003870023
"77481","Vanville",29.8563497540768
"77482","Varennes-sur-Seine",25.4595626166762
"77483","Varreddes",18.245084027304
"77484","Vaucourtois",16.5190276300063
"77485","Le Vaudoue",21.0289792225859
"77486","Vaudoy-en-Brie",21.9143098179094
"77487","Vaux-le-Penil",14.3394835150636
"77489","Vaux-sur-Lunain",32.9462734244137
"77490","Vendrest",26.9847175322688
"77491","Veneux-les-Sablons",21.3657458489595
"77492","Verdelot",33.5981122517423
"77493","Verneuil-l'Etang",18.585236079902
"77494","Vernou-la-Celle-sur-Seine",24.0894801030607
"77495","Vert-Saint-Denis",10.8395546972467
"77496","Vieux-Champagne",31.872567989939
"77498","Vignely",13.5200812630004
"77500","Villebeon",32.2578346224279
"77501","Villecerf",25.5420955446533
"77504","Villemarechal",30.0317281129827
"77505","Villemareuil",16.48322771168
"77506","Villemer",25.2867407302654
"77507","Villenauxe-la-Petite",37.3304330357982
"77508","Villeneuve-le-Comte",11.1732882019757
"77509","Villeneuve-les-Bordes",29.3754713861746
"77510","Villeneuve-Saint-Denis",10.8582798924202
"77511","Villeneuve-sous-Dammartin",15.2934660530196
"77512","Villeneuve-sur-Bellot",33.5650964205189
"77513","Villenoy",13.8328219295303
"77514","Villeparisis",8.33891735863385
"77515","Villeroy",15.4035064116729
"77516","Ville-Saint-Jacques",26.7056146605681
"77517","Villevaude",9.32044107796893
"77518","Villiers-en-Biere",14.2055991953538
"77519","Villiers-Saint-Georges",36.156458160219
"77520","Villiers-sous-Grez",21.2201836824391
"77521","Villiers-sur-Morin",12.2778542783165
"77522","Villiers-sur-Seine",39.3137005317133
"77523","Villuis",39.4085193025349
"77524","Vimpelles",36.1993908247143
"77525","Vinantes",17.6276768365968
"77526","Vincy-Manoeuvre",26.2032424045299
"77527","Voinsles",21.4429537517304
"77528","Voisenon",12.0513031295831
"77529","Voulangis",14.825717831152
"77530","Voulton",37.0216594501327
"77531","Voulx",32.6257239650093
"77532","Vulaines-les-Provins",32.5015449772293
"77533","Vulaines-sur-Seine",17.97053359466
"77534","Yebles",16.2756635171716
"78003","Ablis",18.3823018853287
"78005","Acheres",7.29046984976288
"78006","Adainville",21.6285220122802
"78007","Aigremont",7.23957804545747
"78009","Allainville",20.1848014064976
"78010","Les Alluets-le-Roi",11.1008447788622
"78013","Andelu",15.4940113265468
"78015","Andresy",7.23915754135037
"78020","Arnouville-les-Mantes",17.7258177084348
"78029","Aubergenville",10.6535067890893
"78030","Auffargis",12.1345229425799
"78031","Auffreville-Brasseuil",15.2090372971218
"78033","Aulnay-sur-Mauldre",12.867195765104
"78034","Auteuil",14.503288352437
"78036","Autouillet",15.6527939261778
"78043","Bailly",5.71915169489893
"78048","Bazainville",15.867356067804
"78049","Bazemont",14.1160707148231
"78050","Bazoches-sur-Guyonne",11.0899572441719
"78053","Behoust",16.4916515726442
"78057","Bennecourt",20.1355500868178
"78062","Beynes",11.937995825786
"78068","Blaru",22.511429796232
"78070","Boinville-en-Mantois",16.4810602712621
"78071","Boinville-le-Gaillard",20.6620244321061
"78072","Boinvilliers",18.7719004012899
"78073","Bois-d'Arcy",5.81939475870764
"78076","Boissets",24.01831767973
"78077","La Boissiere-Ecole",25.2654597423088
"78082","Boissy-Mauvoisin",20.5710947251042
"78084","Boissy-sans-Avoir",13.7418779205135
"78087","Bonnelles",12.9309754339926
"78089","Bonnieres-sur-Seine",20.3621637375493
"78090","Bouafle",10.2846839572954
"78092","Bougival",5.05035512214055
"78096","Bourdonne",18.6203465481986
"78104","Breuil-Bois-Robert",15.7231576019723
"78107","Breval",22.4820373437688
"78108","Les Breviaires",15.487362760557
"78113","Brueil-en-Vexin",14.6204858562253
"78117","Buc",6.05600307569986
"78118","Buchelay",15.0754612518834
"78120","Bullion",14.25974155795
"78123","Carrieres-sous-Poissy",6.16432080774824
"78124","Carrieres-sur-Seine",4.18963962549089
"78125","La Celle-les-Bordes",15.2815427958946
"78126","La Celle-Saint-Cloud",5.07930342094985
"78128","Cernay-la-Ville",12.4133613043021
"78133","Chambourcy",6.74201695448764
"78138","Chanteloup-les-Vignes",7.05495552474351
"78140","Chapet",10.3296277729578
"78143","Chateaufort",7.00664662974625
"78146","Chatou",3.2083187749259
"78147","Chaufour-les-Bonnieres",20.2881790417136
"78152","Chavenay",8.56671602716095
"78158","Le Chesnay",3.34497461053518
"78160","Chevreuse",10.6176641689804
"78162","Choisel",11.6224234934669
"78163","Civry-la-Foret",21.2587487577376
"78164","Clairefontaine-en-Yvelines",15.2318906379388
"78165","Les Clayes-sous-Bois",7.45687884632585
"78168","Coignieres",10.1027434083621
"78171","Conde-sur-Vesgre",20.2017687872557
"78172","Conflans-Sainte-Honorine",6.84061213075471
"78185","Courgent",19.0643124437441
"78188","Cravent",22.3013144365321
"78189","Crespieres",10.6595882184622
"78190","Croissy-sur-Seine",5.07171800085244
"78192","Dammartin-en-Serve",21.1131622412074
"78193","Dampierre-en-Yvelines",10.9129397236676
"78194","Dannemarie",20.0621233120366
"78196","Davron",10.4563620603737
"78202","Drocourt",16.8962660777112
"78206","Ecquevilly",10.3142493907556
"78208","Elancourt",8.21095016482255
"78209","Emance",22.8191903613453
"78217","Epone",11.1458698294939
"78220","Les Essarts-le-Roi",10.7655542550675
"78224","L'Etang-la-Ville",5.85333483685137
"78227","Evecquemont",9.99831710167577
"78230","La Falaise",11.8834665897948
"78231","Favrieux",16.4482763380225
"78233","Feucherolles",8.77494640494014
"78234","Flacourt",19.7177060405151
"78236","Flexanville",18.180903666564
"78237","Flins-Neuve-Eglise",22.3518801623182
"78238","Flins-sur-Seine",10.2620175325231
"78239","Follainville-Dennemont",18.0011521811915
"78242","Fontenay-le-Fleury",5.93791935807957
"78245","Fontenay-Mauvoisin",16.4866607529642
"78246","Fontenay-Saint-Pere",16.9215146837255
"78251","Fourqueux",6.08919696574824
"78255","Freneuse",20.5678266330302
"78261","Gaillon-sur-Montcient",11.3713769392243
"78262","Galluis",11.7754579562131
"78263","Gambais",16.7693843015898
"78264","Gambaiseuil",17.6525785053351
"78265","Garancieres",15.394081678493
"78267","Gargenville",11.8315683490283
"78269","Gazeran",18.1430656467025
"78276","Gommecourt",24.3038357940513
"78278","Goupillieres",17.3044803693334
"78281","Goussonville",16.4020731853952
"78283","Grandchamp",24.2678835918548
"78285","Gressey",21.0419545303526
"78289","Grosrouvre",15.9765978787786
"78290","Guernes",21.0248046930351
"78291","Guerville",16.7636909575014
