"ID","NAMES","population_AsTheCrowFlies_ACC_0.01"
"77247","Lescherolles",25511.6816966003
"77248","Lesches",7644.94275548212
"77249","Lesigny",5304.40581729781
"77250","Leudon-en-Brie",22534.3161692744
"77251","Lieusaint",5306.76359348704
"77252","Limoges-Fourches",8124.59499890711
"77253","Lissy",8928.68750648952
"77254","Liverdy-en-Brie",10918.5123992998
"77255","Livry-sur-Seine",7709.37602763725
"77256","Lizines",21593.2884707661
"77257","Lizy-sur-Ourcq",15580.2786806414
"77258","Lognes",3584.23243614387
"77259","Longperrier",9945.14660865204
"77260","Longueville",24331.6207639703
"77261","Lorrez-le-Bocage-Preaux",21045.8161010513
"77262","Louan-Villegruis-Fontaine",33265.3132446742
"77263","Luisetaines",23004.1321765728
"77264","Lumigny-Nesles-Ormeaux",14963.9138950364
"77265","Luzancy",19099.3330289859
"77266","Machault",12526.9652925684
"77267","La Madeleine-sur-Loing",22201.1856910011
"77268","Magny-le-Hongre",7677.10178653213
"77269","Maincy",7913.12082084247
"77270","Maisoncelles-en-Brie",11906.4981650138
"77271","Maisoncelles-en-Gatinais",24557.9693528358
"77272","Maison-Rouge",21024.8041864633
"77273","Marchemoret",12006.6277840049
"77274","Marcilly",12715.2664574531
"77275","Les Marets",25040.686967427
"77276","Mareuil-les-Meaux",8001.72222883225
"77277","Marles-en-Brie",13145.8634528864
"77278","Marolles-en-Brie",18424.1120735964
"77279","Marolles-sur-Seine",19065.8074899104
"77280","Mary-sur-Marne",14924.4630730608
"77281","Mauperthuis",15478.608973383
"77282","Mauregard",6905.33024322761
"77283","May-en-Multien",17970.942825501
"77284","Meaux",9143.93349482034
"77285","Le Mee-sur-Seine",5434.25970576778
"77286","Meigneux",19643.7335744886
"77287","Meilleray",28425.8530759669
"77288","Melun",5875.81794669629
"77289","Melz-sur-Seine",31111.5576793183
"77290","Mery-sur-Marne",20075.2872621521
"77291","Le Mesnil-Amelot",6797.03201322102
"77292","Messy",7899.31045317884
"77293","Misy-sur-Yonne",21801.2084788413
"77294","Mitry-Mory",5488.6430864989
"77295","Moisenay",9471.46191388029
"77296","Moissy-Cramayel",6136.02798974984
"77297","Mondreville",27133.2892888519
"77298","Mons-en-Montois",20971.6178023221
