"ID","NAMES","artisans_AsTheCrowFlies_ACC_0.05"
"77226","Hericy",26155.509975567
"77227","Herme",44483.9350492477
"77228","Hondevilliers",37867.0126256127
"77229","La Houssaye-en-Brie",18577.8523047699
"77230","Ichy",37785.4737993299
"77231","Isles-les-Meldeuses",26060.8493044187
"77232","Isles-les-Villenoy",16355.6512835891
"77233","Iverny",17335.5026300801
"77234","Jablines",13358.5983820238
"77235","Jaignes",28428.2903868597
"77236","Jaulnes",44144.2803375101
"77237","Jossigny",13216.7592840807
"77238","Jouarre",28470.847427719
"77239","Jouy-le-Chatel",30880.4556377614
"77240","Jouy-sur-Morin",35529.8488155414
"77241","Juilly",15593.1926044514
"77242","Jutigny",39241.1779171487
"77243","Lagny-sur-Marne",10993.3608201334
"77244","Larchant",32621.8113909032
"77245","Laval-en-Brie",31251.95067157
"77246","Lechelle",43953.0375266451
"77247","Lescherolles",39320.233818968
"77248","Lesches",14887.2020076422
"77249","Lesigny",9653.40064365513
"77250","Leudon-en-Brie",35730.8012684181
"77251","Lieusaint",12446.8402151808
"77252","Limoges-Fourches",15479.9413834175
"77253","Lissy",16719.5029567072
"77254","Liverdy-en-Brie",16974.9381802379
"77255","Livry-sur-Seine",20659.8843222131
"77256","Lizines",35641.660423927
"77257","Lizy-sur-Ourcq",27679.1749141099
"77258","Lognes",8100.51086794729
"77259","Longperrier",15655.1814193011
"77260","Longueville",39052.0652660146
"77261","Lorrez-le-Bocage-Preaux",40726.7075617524
"77262","Louan-Villegruis-Fontaine",47626.371395215
"77263","Luisetaines",38752.4591550527
"77264","Lumigny-Nesles-Ormeaux",22716.047402191
"77265","Luzancy",32986.7811229786
"77266","Machault",27508.8789472996
"77267","La Madeleine-sur-Loing",39371.7999691774
"77268","Magny-le-Hongre",15232.8604539882
"77269","Maincy",19161.5861036127
"77270","Maisoncelles-en-Brie",22757.5662708032
"77271","Maisoncelles-en-Gatinais",40092.2213178548
"77272","Maison-Rouge",34253.0913130911
"77273","Marchemoret",18581.3546272658
"77274","Marcilly",22363.9165689512
"77275","Les Marets",38685.8485560885
"77276","Mareuil-les-Meaux",18119.5010558445
"77277","Marles-en-Brie",20157.9573392138
"77278","Marolles-en-Brie",30514.1478962112
"77279","Marolles-sur-Seine",36426.8603669775
"77280","Mary-sur-Marne",27595.3292910523
"77281","Mauperthuis",25225.4412483604
"77282","Mauregard",12148.464887103
"77283","May-en-Multien",29194.9629258204
"77284","Meaux",20227.260163208
"77285","Le Mee-sur-Seine",17833.1039733846
"77286","Meigneux",33413.1923957193
"77287","Meilleray",42390.0057669209
"77288","Melun",18270.9256848185
"77289","Melz-sur-Seine",46089.0152069551
"77290","Mery-sur-Marne",33930.9450766856
"77291","Le Mesnil-Amelot",12067.8875679452
"77292","Messy",12986.9867630905
"77293","Misy-sur-Yonne",39514.9765186346
"77294","Mitry-Mory",10549.4493777939
"77295","Moisenay",19846.6120022381
"77296","Moissy-Cramayel",13343.3667944195
"77297","Mondreville",42186.9334819339
"77298","Mons-en-Montois",35850.7011438794
"77299","Montarlot",32909.2557770332
"77300","Montceaux-les-Meaux",23798.7926913451
