"ID","NAMES","population_AsTheCowRolls_POT_10"
"77192","Fontenay-Tresigny",23965.78725158
"77193","Forfry",17256.02507351
"77194","Forges",24554.08515785
"77195","Fouju",24340.49859365
"77196","Fresnes-sur-Marne",75870.89066873
"77197","Fretoy",6130.85209501
"77198","Fromont",4642.84617587
"77199","Fublaines",57424.46463817
"77200","Garentreville",6514.40891873
"77201","Gastins",11366.79780591
"77202","La Genevraye",31654.23756497
"77203","Germigny-l'Eveque",46848.11709209
"77204","Germigny-sous-Coulombs",2520.95261942
"77205","Gesvres-le-Chapitre",22202.92117096
"77206","Giremoutiers",31657.89704336
"77207","Gironville",4234.22891084
"77208","Gouaix",8167.35781059
"77209","Gouvernes",251901.70039365
"77210","La Grande-Paroisse",27439.49535976
"77211","Grandpuits-Bailly-Carrois",18217.33043532
"77212","Gravon",7552.90062073
"77214","Gressy",113664.40723736
"77215","Gretz-Armainvilliers",97220.99108194
"77216","Grez-sur-Loing",40085.63887849
"77217","Grisy-Suisnes",71554.93607487
"77218","Grisy-sur-Seine",6522.65184832
"77219","Guerard",28217.27221768
"77220","Guercheville",6848.68185157
"77221","Guermantes",220481.15537041
"77222","Guignes",31129.39780449
"77223","Gurcy-le-Chatel",7906.38217661
"77224","Hautefeuille",14571.41346225
"77225","La Haute-Maison",16543.53435139
"77226","Hericy",44218.7406235
"77227","Herme",13017.56711141
"77228","Hondevilliers",6547.5966605
"77229","La Houssaye-en-Brie",21508.69319468
"77230","Ichy",4616.1294011
"77231","Isles-les-Meldeuses",33916.75430512
"77232","Isles-les-Villenoy",81568.80011133
"77233","Iverny",46214.70235931
"77234","Jablines",49941.86043004
"77235","Jaignes",16854.26199949
"77236","Jaulnes",8697.28145376
"77237","Jossigny",172974.76714882
"77238","Jouarre",23741.51553379
"77239","Jouy-le-Chatel",9236.45918291
"77240","Jouy-sur-Morin",12295.54358994
"77241","Juilly",33439.45225097
"77242","Jutigny",17998.68237506
"77243","Lagny-sur-Marne",234656.64333636
"77244","Larchant",20093.23145963
"77245","Laval-en-Brie",22150.03160983
"77246","Lechelle",9506.96082215
"77247","Lescherolles",8495.01767562
"77248","Lesches",73136.59078401
"77249","Lesigny",213748.43277685
"77250","Leudon-en-Brie",8400.25284375
"77251","Lieusaint",206495.82501043
"77252","Limoges-Fourches",81753.01629334
"77253","Lissy",73712.26349356
"77254","Liverdy-en-Brie",25571.5414017
"77255","Livry-sur-Seine",102482.87116238
"77256","Lizines",9244.08888691
"77257","Lizy-sur-Ourcq",23027.81489487
"77258","Lognes",452809.54427512
"77259","Longperrier",32974.48118482
"77260","Longueville",19196.8235683
"77261","Lorrez-le-Bocage-Preaux",10311.42770468
"77262","Louan-Villegruis-Fontaine",1430.91489753
"77263","Luisetaines",9880.8260596
"77264","Lumigny-Nesles-Ormeaux",17284.87323942
"77265","Luzancy",16969.46813488
"77266","Machault",22215.51794577
"77267","La Madeleine-sur-Loing",20251.2010425
"77268","Magny-le-Hongre",94473.6951925
"77269","Maincy",117387.51079012
"77270","Maisoncelles-en-Brie",25215.81370622
"77271","Maisoncelles-en-Gatinais",8172.72400788
"77272","Maison-Rouge",13453.68327604
"77273","Marchemoret",33613.05085355
"77274","Marcilly",37904.75057518
"77275","Les Marets",3300.99068153
"77276","Mareuil-les-Meaux",81741.72975319
"77277","Marles-en-Brie",21301.79385726
"77278","Marolles-en-Brie",19623.47245565
"77279","Marolles-sur-Seine",25345.55891221
"77280","Mary-sur-Marne",21661.96134388
"77281","Mauperthuis",27456.64079021
"77282","Mauregard",48367.95428489
"77283","May-en-Multien",11950.20347064
"77284","Meaux",99837.69380706
"77285","Le Mee-sur-Seine",146583.95963833
"77286","Meigneux",7271.55185306
"77287","Meilleray",3126.84939013
"77288","Melun",156007.94472585
"77289","Melz-sur-Seine",5956.31243199
"77290","Mery-sur-Marne",15030.43489295
"77291","Le Mesnil-Amelot",54958.98001372
"77292","Messy",101063.34687954
"77293","Misy-sur-Yonne",11613.73143453
"77294","Mitry-Mory",185125.36962177
"77295","Moisenay",62333.87515518
"77296","Moissy-Cramayel",131884.82271976
"77297","Mondreville",3746.86420124
"77298","Mons-en-Montois",8010.67444665
"77299","Montarlot",30913.59856977
"77300","Montceaux-les-Meaux",53832.38885284
"77301","Montceaux-les-Provins",3390.93446742
"77302","Montcourt-Fromonville",34521.85854866
"77303","Montdauphin",1816.16265659
"77304","Montenils",1029.49887659
"77305","Montereau-Fault-Yonne",38391.23558556
"77306","Montereau-sur-le-Jard",94208.61755318
"77307","Montevrain",164333.3457966
"77308","Montge-en-Goele",25401.80665431
"77309","Monthyon",55752.33231269
"77310","Montigny-le-Guesdier",5847.57782816
"77311","Montigny-Lencoup",13861.65788467
"77312","Montigny-sur-Loing",32256.76888176
"77313","Montmachoux",12266.36338555
"77314","Montolivet",2503.01561595
"77315","Montry",100557.13244165
"77316","Moret-sur-Loing",47476.81633975
"77317","Mormant",19983.51951935
"77318","Mortcerf",21387.5293644
"77319","Mortery",11647.60800193
"77320","Mouroux",34823.59994308
"77321","Mousseaux-les-Bray",9429.27598586
"77322","Moussy-le-Neuf",28183.87351357
"77323","Moussy-le-Vieux",25041.22032721
"77325","Mouy-sur-Seine",10633.54295574
"77326","Nandy",166714.5264635
"77327","Nangis",17161.87935162
"77328","Nanteau-sur-Essonne",4926.88702498
"77329","Nanteau-sur-Lunain",12470.12166589
"77330","Nanteuil-les-Meaux",77700.11836285
"77331","Nanteuil-sur-Marne",10831.56867039
"77332","Nantouillet",33929.88651809
"77333","Nemours",37666.20886229
"77335","Chauconin-Neufmontiers",76461.09518543
"77336","Neufmoutiers-en-Brie",18163.80416817
"77337","Noisiel",493348.49970683
"77338","Noisy-Rudignon",20431.07542905
"77339","Noisy-sur-Ecole",13031.8990115
"77340","Nonville",20766.44166058
"77341","Noyen-sur-Seine",8027.13152155
"77342","Obsonville",6268.96315487
"77343","Ocquerre",12195.18522551
"77344","Oissery",16686.3029943
"77345","Orly-sur-Morin",6894.79511752
"77347","Les Ormes-sur-Voulzie",14890.76923184
"77348","Ormesson",25444.31477723
"77349","Othis",21462.12642337
"77350","Ozoir-la-Ferriere",154987.46944291
"77352","Ozouer-le-Voulgis",25554.70050677
"77353","Paley",10246.45340355
"77354","Pamfou",18206.32570614
"77355","Paroy",14217.22933974
"77356","Passy-sur-Seine",4216.41445577
"77357","Pecy",7030.26310637
"77358","Penchard",75885.57589233
"77359","Perthes",73580.81351549
"77360","Pezarches",18850.92216371
"77361","Pierre-Levee",25348.11857324
"77363","Le Pin",296303.57910803
"77364","Le Plessis-aux-Bois",31622.51532957
"77365","Le Plessis-Feu-Aussoux",9747.93781493
"77366","Le Plessis-l'Eveque",39420.36675104
"77367","Le Plessis-Placy",17702.82201334
"77368","Poigny",19595.03304284
"77369","Poincy",74087.10556763
"77370","Poligny",21672.77767635
"77371","Pommeuse",34796.94361094
"77372","Pomponne",241871.89697443
"77373","Pontault-Combault",300950.78398897
"77374","Pontcarre",210731.87293262
"77376","Precy-sur-Marne",37483.12730542
"77377","Presles-en-Brie",42597.33449611
"77378","Pringy",63662.9531788
"77379","Provins",21832.41184868
"77380","Puisieux",11331.84799698
"77381","Quiers",15153.11274516
"77382","Quincy-Voisins",91448.56246388
"77383","Rampillon",10831.23657034
"77384","Reau",138503.98298293
"77385","Rebais",17805.77495783
"77386","Recloses",21237.61338227
"77387","Remauville",14716.22621413
"77388","Reuil-en-Brie",23005.28840658
"77389","La Rochette",113842.09551805
"77390","Roissy-en-Brie",189357.51415578
"77391","Rouilly",15050.10657897
"77392","Rouvres",28081.94288809
"77393","Rozay-en-Brie",18450.7201656
"77394","Rubelles",127548.49585713
"77395","Rumont",3930.64034641
"77396","Rupereux",4721.60218808
"77397","Saacy-sur-Marne",13682.75329307
"77398","Sablonnieres",7617.8768812
"77399","Saint-Ange-le-Viel",7893.40876903
"77400","Saint-Augustin",24304.16652467
"77401","Sainte-Aulde",12668.87304866
"77402","Saint-Barthelemy",7334.99895215
"77403","Saint-Brice",18520.61019341
"77404","Sainte-Colombe",21248.66536179
"77405","Saint-Cyr-sur-Morin",12209.50355572
"77406","Saint-Denis-les-Rebais",18420.96969396
"77407","Saint-Fargeau-Ponthierry",95778.95086054
"77408","Saint-Fiacre",41147.95107301
"77409","Saint-Germain-Laval",31738.41351791
"77410","Saint-Germain-Laxis",87826.81525954
"77411","Saint-Germain-sous-Doue",14146.27940782
"77412","Saint-Germain-sur-Ecole",29112.31767862
"77413","Saint-Germain-sur-Morin",93772.56769383
"77414","Saint-Hilliers",6942.03856823
"77415","Saint-Jean-les-Deux-Jumeaux",53710.53545649
"77416","Saint-Just-en-Brie",3475.74266265
"77417","Saint-Leger",8237.06833367
"77418","Saint-Loup-de-Naud",16547.51430976
"77419","Saint-Mammes",49632.70602717
"77420","Saint-Mard",42379.2539968
"77421","Saint-Mars-Vieux-Maisons",8549.18443962
"77423","Saint-Martin-des-Champs",9850.75054367
"77424","Saint-Martin-du-Boschet",2732.49807033
"77425","Saint-Martin-en-Biere",23128.35961092
"77426","Saint-Mery",14996.43262964
"77427","Saint-Mesmes",42059.3642777
"77428","Saint-Ouen-en-Brie",16749.551125
"77429","Saint-Ouen-sur-Morin",11770.98603727
"77430","Saint-Pathus",18724.88410551
"77431","Saint-Pierre-les-Nemours",34426.8183853
"77432","Saint-Remy-la-Vanne",18564.55888826
"77433","Saints",22610.6130227
"77434","Saint-Sauveur-les-Bray",8823.82060664
"77435","Saint-Sauveur-sur-Ecole",52515.59557466
"77436","Saint-Simeon",21097.25765853
"77437","Saint-Soupplets",45219.73301765
"77438","Saint-Thibault-des-Vignes",287059.85477145
"77439","Salins",24000.73456082
"77440","Sammeron",38556.81747554
"77441","Samois-sur-Seine",39250.57675652
"77442","Samoreau",56854.50241664
"77443","Sancy",27488.59454778
"77444","Sancy-les-Provins",3793.0306335
"77445","Savigny-le-Temple",170933.66703759
"77446","Savins",13746.64750061
"77447","Seine-Port",110038.48960525
"77448","Sept-Sorts",25777.98869735
"77449","Serris",112334.14843227
"77450","Servon",214493.39768036
"77451","Signy-Signets",18620.09403756
"77452","Sigy",11856.80403136
"77453","Sivry-Courtry",72830.13581279
"77454","Sognolles-en-Montois",9037.74160566
"77455","Soignolles-en-Brie",48707.38120831
"77456","Soisy-Bouy",11895.96076215
"77457","Solers",40876.33997949
