"ID","NAMES","agriculteurs_AsTheCrowFlies_ACC_0.005"
"77207","Gironville",4872.36411199566
"77208","Gouaix",5179.88297379249
"77209","Gouvernes",5052.65923632389
"77210","La Grande-Paroisse",5300.05014371964
"77211","Grandpuits-Bailly-Carrois",5445.42864899627
"77212","Gravon",5852.56152160811
"77214","Gressy",5480.08849419009
"77215","Gretz-Armainvilliers",5743.35327231331
"77216","Grez-sur-Loing",5667.76713145448
"77217","Grisy-Suisnes",3851.0462408692
"77218","Grisy-sur-Seine",5827.48471307741
"77219","Guerard",4589.35748911859
"77220","Guercheville",3833.10626625711
"77221","Guermantes",4701.0418893772
"77222","Guignes",5173.26326399133
"77223","Gurcy-le-Chatel",4658.27106980329
"77224","Hautefeuille",4326.64129652948
"77225","La Haute-Maison",4088.04404372499
"77226","Hericy",7452.60110864794
"77227","Herme",4503.94495958337
"77228","Hondevilliers",4687.11485732892
"77229","La Houssaye-en-Brie",3536.45271597738
"77230","Ichy",3794.37038536301
"77231","Isles-les-Meldeuses",4685.14031725146
"77232","Isles-les-Villenoy",5132.26161855421
"77233","Iverny",4084.21478275538
"77234","Jablines",5393.60268921472
"77235","Jaignes",4111.75945036989
"77236","Jaulnes",5930.22783762438
"77237","Jossigny",5110.68669023046
"77238","Jouarre",3007.78719530222
"77239","Jouy-le-Chatel",4627.51334470097
"77240","Jouy-sur-Morin",3820.67053045425
"77241","Juilly",4854.96085613875
"77242","Jutigny",3888.62584030115
"77243","Lagny-sur-Marne",5127.92302862823
"77244","Larchant",4488.13487833172
"77245","Laval-en-Brie",5670.59786940805
"77246","Lechelle",4893.27126385392
"77247","Lescherolles",4235.76325506682
"77248","Lesches",5321.31670015893
"77249","Lesigny",4710.11491056552
"77250","Leudon-en-Brie",3596.70654953037
"77251","Lieusaint",5316.01061444162
"77252","Limoges-Fourches",4608.84319168125
"77253","Lissy",4738.99877841656
"77254","Liverdy-en-Brie",4690.72545196862
"77255","Livry-sur-Seine",5362.89869758812
"77256","Lizines",3810.18114229027
"77257","Lizy-sur-Ourcq",4373.34913141591
"77258","Lognes",5407.46312694998
"77259","Longperrier",5595.33988010994
"77260","Longueville",3980.65496757102
"77261","Lorrez-le-Bocage-Preaux",3733.13651774931
"77262","Louan-Villegruis-Fontaine",7141.17083538619
"77263","Luisetaines",3601.66673674312
"77264","Lumigny-Nesles-Ormeaux",3178.46689417964
"77265","Luzancy",5141.59106717271
"77266","Machault",7080.11276654515
"77267","La Madeleine-sur-Loing",5176.21336990594
"77268","Magny-le-Hongre",5304.32957024832
"77269","Maincy",5258.67159030348
"77270","Maisoncelles-en-Brie",3674.60781765147
"77271","Maisoncelles-en-Gatinais",3366.91393989999
"77272","Maison-Rouge",3940.50338844372
"77273","Marchemoret",6053.39271103079
"77274","Marcilly",6366.84620073964
"77275","Les Marets",3822.97269020941
"77276","Mareuil-les-Meaux",4486.30161182443
"77277","Marles-en-Brie",3619.29084259691
"77278","Marolles-en-Brie",5198.85540636213
"77279","Marolles-sur-Seine",5734.31591633842
"77280","Mary-sur-Marne",4093.98141596388
"77281","Mauperthuis",3372.86668897063
"77282","Mauregard",5755.12229137364
"77283","May-en-Multien",5773.21151780818
"77284","Meaux",4959.13752091633
"77285","Le Mee-sur-Seine",5205.15817975868
"77286","Meigneux",4130.83029126778
"77287","Meilleray",5019.39847888383
"77288","Melun",5107.58320690674
"77289","Melz-sur-Seine",3745.22013922318
"77290","Mery-sur-Marne",5307.57455586913
"77291","Le Mesnil-Amelot",6023.6736013853
"77292","Messy",5004.9220975149
"77293","Misy-sur-Yonne",6917.50232696057
"77294","Mitry-Mory",6133.97588462106
"77295","Moisenay",5848.19124438183
"77296","Moissy-Cramayel",5281.98495671258
"77297","Mondreville",3923.54763127151
"77298","Mons-en-Montois",3581.14859336054
"77299","Montarlot",4247.5956067802
"77300","Montceaux-les-Meaux",5372.68217882159
"77301","Montceaux-les-Provins",6867.08538721617
"77302","Montcourt-Fromonville",5718.80639435683
"77303","Montdauphin",5135.86107808749
"77304","Montenils",7818.59030440262
"77305","Montereau-Fault-Yonne",5181.45665160676
"77306","Montereau-sur-le-Jard",5084.33711014339
"77307","Montevrain",4871.4474474182
