"ID","NAMES","ouvrier_AsTheCrowFlies_POT_7500"
"77211","Grandpuits-Bailly-Carrois",2358.16882964
"77212","Gravon",1182.3389455
"77214","Gressy",15942.43963111
"77215","Gretz-Armainvilliers",9035.26618298
"77216","Grez-sur-Loing",3142.8268203
"77217","Grisy-Suisnes",7361.06428928
"77218","Grisy-sur-Seine",1292.50030684
"77219","Guerard",3062.24426866
"77220","Guercheville",1060.63767141
"77221","Guermantes",20089.45963204
"77222","Guignes",3077.52016494
"77223","Gurcy-le-Chatel",1554.37969366
"77224","Hautefeuille",2405.70406476
"77225","La Haute-Maison",3484.03693829
"77226","Hericy",4189.53155274
"77227","Herme",1589.24589014
"77228","Hondevilliers",1058.66841301
"77229","La Houssaye-en-Brie",2628.93330728
"77230","Ichy",483.66370396
"77231","Isles-les-Meldeuses",4614.7739767
"77232","Isles-les-Villenoy",10398.18827218
"77233","Iverny",5629.70295511
"77234","Jablines",10505.69792841
"77235","Jaignes",3129.96345072
"77236","Jaulnes",1268.15165772
"77237","Jossigny",11645.87465467
"77238","Jouarre",2983.31367312
"77239","Jouy-le-Chatel",964.15927685
"77240","Jouy-sur-Morin",2194.29604628
"77241","Juilly",5478.61766359
"77242","Jutigny",2414.93215704
"77243","Lagny-sur-Marne",19781.56194143
"77244","Larchant",1969.19570659
"77245","Laval-en-Brie",2705.86350401
"77246","Lechelle",1421.24371275
"77247","Lescherolles",1410.04729106
"77248","Lesches",9807.3257921
"77249","Lesigny",23595.89029354
"77250","Leudon-en-Brie",1375.52540055
"77251","Lieusaint",22561.77708479
"77252","Limoges-Fourches",9062.37051544
"77253","Lissy",6752.06092629
"77254","Liverdy-en-Brie",4232.2073807
"77255","Livry-sur-Seine",11529.80958924
"77256","Lizines",1945.50070864
"77257","Lizy-sur-Ourcq",2653.92665853
"77258","Lognes",42307.83965216
"77259","Longperrier",5482.01127676
"77260","Longueville",2798.97476335
"77261","Lorrez-le-Bocage-Preaux",917.39556231
"77262","Louan-Villegruis-Fontaine",239.48176977
"77263","Luisetaines",1820.4024259
"77264","Lumigny-Nesles-Ormeaux",2010.00625482
"77265","Luzancy",2269.10512539
"77266","Machault",3597.56989654
"77267","La Madeleine-sur-Loing",3209.96518525
"77268","Magny-le-Hongre",8622.68312342
"77269","Maincy",11369.61596298
"77270","Maisoncelles-en-Brie",3372.11452998
"77271","Maisoncelles-en-Gatinais",1307.17963329
"77272","Maison-Rouge",1698.63875793
"77273","Marchemoret",3732.67786745
"77274","Marcilly",4580.42889421
"77275","Les Marets",700.36432071
"77276","Mareuil-les-Meaux",10987.8213796
"77277","Marles-en-Brie",2521.85985645
"77278","Marolles-en-Brie",2949.41209422
"77279","Marolles-sur-Seine",3483.0499596
"77280","Mary-sur-Marne",3136.39476205
"77281","Mauperthuis",3394.65249117
"77282","Mauregard",16723.86885398
"77283","May-en-Multien",1699.05754294
"77284","Meaux",10729.0807322
"77285","Le Mee-sur-Seine",16451.97169876
"77286","Meigneux",1678.04613642
"77287","Meilleray",834.15020164
"77288","Melun",15239.84562269
"77289","Melz-sur-Seine",984.81061729
"77290","Mery-sur-Marne",1989.16607436
"77291","Le Mesnil-Amelot",16970.68465675
"77292","Messy",9408.49912863
"77293","Misy-sur-Yonne",1352.87179193
"77294","Mitry-Mory",26714.29450303
"77295","Moisenay",7281.53995495
"77296","Moissy-Cramayel",15973.88194111
"77297","Mondreville",595.45397055
"77298","Mons-en-Montois",1606.76072197
"77299","Montarlot",3778.82740537
"77300","Montceaux-les-Meaux",6640.55123443
"77301","Montceaux-les-Provins",330.86268067
"77302","Montcourt-Fromonville",3462.14503712
"77303","Montdauphin",613.10886318
"77304","Montenils",249.45067857
"77305","Montereau-Fault-Yonne",4558.61649343
"77306","Montereau-sur-le-Jard",11935.72605455
"77307","Montevrain",13705.09265703
"77308","Montge-en-Goele",4273.73232191
"77309","Monthyon",6408.62879455
"77310","Montigny-le-Guesdier",915.05815936
"77311","Montigny-Lencoup",1946.17186912
"77312","Montigny-sur-Loing",3430.92929991
"77313","Montmachoux",2346.01856736
"77314","Montolivet",613.27086759
"77315","Montry",9173.66767879
"77316","Moret-sur-Loing",4025.75687687
"77317","Mormant",2583.29007644
"77318","Mortcerf",2453.8614226
"77319","Mortery",2443.02302359
"77320","Mouroux",4138.84073171
"77321","Mousseaux-les-Bray",1117.12702372
"77322","Moussy-le-Neuf",5690.74092102
"77323","Moussy-le-Vieux",7283.05486436
"77325","Mouy-sur-Seine",1578.73476715
"77326","Nandy",20623.93240561
"77327","Nangis",2041.19475565
"77328","Nanteau-sur-Essonne",726.74393156
"77329","Nanteau-sur-Lunain",2188.22181381
"77330","Nanteuil-les-Meaux",10831.1822366
"77331","Nanteuil-sur-Marne",1600.02216988
"77332","Nantouillet",6747.41576278
"77333","Nemours",3763.23081201
"77335","Chauconin-Neufmontiers",9210.84983097
"77336","Neufmoutiers-en-Brie",3900.75016192
"77337","Noisiel",49204.8423841
"77338","Noisy-Rudignon",3552.20233391
"77339","Noisy-sur-Ecole",1124.2567413
"77340","Nonville",3007.70212683
"77341","Noyen-sur-Seine",1149.7203286
"77342","Obsonville",837.86889876
"77343","Ocquerre",2311.27543209
"77344","Oissery",2319.65515435
"77345","Orly-sur-Morin",2075.27478797
"77347","Les Ormes-sur-Voulzie",1955.07971429
"77348","Ormesson",3194.98433129
"77349","Othis",3692.97001911
"77350","Ozoir-la-Ferriere",15809.78277256
"77352","Ozouer-le-Voulgis",3544.10937566
"77353","Paley",1313.29981764
"77354","Pamfou",2510.52646873
"77355","Paroy",2076.87005921
"77356","Passy-sur-Seine",920.97404096
"77357","Pecy",1142.8389138
"77358","Penchard",8996.38147299
"77359","Perthes",6063.04210866
"77360","Pezarches",2179.39841319
"77361","Pierre-Levee",3093.78965476
"77363","Le Pin",41945.00936554
"77364","Le Plessis-aux-Bois",4714.69035232
"77365","Le Plessis-Feu-Aussoux",1549.0913311
"77366","Le Plessis-l'Eveque",5192.71191275
"77367","Le Plessis-Placy",2317.46707655
"77368","Poigny",3052.58495211
"77369","Poincy",10111.30050649
"77370","Poligny",3448.49307328
"77371","Pommeuse",3719.24188892
"77372","Pomponne",27645.21347833
"77373","Pontault-Combault",35924.88131795
"77374","Pontcarre",17233.11139669
"77376","Precy-sur-Marne",8845.21160144
"77377","Presles-en-Brie",5944.50006039
"77378","Pringy",11932.23609701
"77379","Provins",2855.71270095
"77380","Puisieux",2098.99401534
"77381","Quiers",2355.34919743
"77382","Quincy-Voisins",9527.39914089
"77383","Rampillon",1842.71761535
"77384","Reau",15095.8940982
"77385","Rebais",2252.78538464
"77386","Recloses",2084.08476989
"77387","Remauville",1806.97122853
"77388","Reuil-en-Brie",2724.65154906
"77389","La Rochette",12893.3831737
"77390","Roissy-en-Brie",24800.48099456
"77391","Rouilly",2441.68860397
"77392","Rouvres",3902.36563188
"77393","Rozay-en-Brie",1914.1830664
"77394","Rubelles",13496.20873081
"77395","Rumont",580.83093864
"77396","Rupereux",1003.9330734
"77397","Saacy-sur-Marne",2094.07622035
"77398","Sablonnieres",1530.56836119
"77399","Saint-Ange-le-Viel",1060.09432554
"77400","Saint-Augustin",3787.24865154
"77401","Sainte-Aulde",1839.5697115
"77402","Saint-Barthelemy",1507.87917699
"77403","Saint-Brice",2401.26122659
"77404","Sainte-Colombe",3065.48211656
"77405","Saint-Cyr-sur-Morin",2760.82790563
"77406","Saint-Denis-les-Rebais",2854.64660279
"77407","Saint-Fargeau-Ponthierry",14119.0921364
"77408","Saint-Fiacre",8613.86901713
"77409","Saint-Germain-Laval",4070.70350732
"77410","Saint-Germain-Laxis",9293.4777045
"77411","Saint-Germain-sous-Doue",3707.20759674
"77412","Saint-Germain-sur-Ecole",3864.86653642
"77413","Saint-Germain-sur-Morin",8112.7147375
"77414","Saint-Hilliers",1523.90404639
"77415","Saint-Jean-les-Deux-Jumeaux",4426.68813882
"77416","Saint-Just-en-Brie",1161.59252571
"77417","Saint-Leger",2149.84739963
"77418","Saint-Loup-de-Naud",2753.57178264
"77419","Saint-Mammes",4516.95912097
"77420","Saint-Mard",5016.74582087
"77421","Saint-Mars-Vieux-Maisons",1354.19270321
"77423","Saint-Martin-des-Champs",1748.08218668
"77424","Saint-Martin-du-Boschet",466.41459368
"77425","Saint-Martin-en-Biere",2392.60921819
"77426","Saint-Mery",2383.9132189
"77427","Saint-Mesmes",6728.92692802
"77428","Saint-Ouen-en-Brie",2361.49291999
"77429","Saint-Ouen-sur-Morin",2435.44994171
"77430","Saint-Pathus",2586.96376855
"77431","Saint-Pierre-les-Nemours",3478.10967157
"77432","Saint-Remy-la-Vanne",2522.91100394
"77433","Saints",3330.89357777
"77434","Saint-Sauveur-les-Bray",1675.55323989
"77435","Saint-Sauveur-sur-Ecole",7863.40928749
"77436","Saint-Simeon",3089.00449362
"77437","Saint-Soupplets",3752.54179289
"77438","Saint-Thibault-des-Vignes",28981.38903139
"77439","Salins",3122.41913403
"77440","Sammeron",3103.56702475
"77441","Samois-sur-Seine",4546.41118333
"77442","Samoreau",4510.32796794
"77443","Sancy",4665.62569163
"77444","Sancy-les-Provins",562.69577815
"77445","Savigny-le-Temple",19573.80030972
"77446","Savins",2414.34834459
"77447","Seine-Port",17480.37845363
"77448","Sept-Sorts",2959.2430521
"77449","Serris",9622.52738899
"77450","Servon",20130.29043271
"77451","Signy-Signets",2958.50754106
"77452","Sigy",1721.6010623
"77453","Sivry-Courtry",6427.49345005
"77454","Sognolles-en-Montois",1790.20571658
"77455","Soignolles-en-Brie",4911.54104333
"77456","Soisy-Bouy",2714.40982057
"77457","Solers",4123.99697544
"77458","Souppes-sur-Loing",2441.73761885
"77459","Sourdun",2047.45524377
"77460","Tancrou",2802.39733893
"77461","Thenisy",1935.11532834
"77462","Thieux",9260.97738565
"77463","Thomery",4590.04789128
"77464","Thorigny-sur-Marne",17771.5800235
"77465","Thoury-Ferottes",1628.28520653
"77466","Tigeaux",3545.85438903
"77467","La Tombe",1679.18378615
"77468","Torcy",37355.99623303
"77469","Touquin",2018.05016135
"77470","Tournan-en-Brie",5205.44217206
"77471","Tousson",1004.65254915
"77472","La Tretoire",1907.16960606
"77473","Treuzy-Levelay",2614.93547128
"77474","Trilbardou",8969.37753836
"77475","Trilport",8762.73704789
"77476","Trocy-en-Multien",3239.62770432
"77477","Ury",1400.57323831
"77478","Ussy-sur-Marne",3172.97605353
"77479","Vaires-sur-Marne",43456.80821533
"77480","Valence-en-Brie",3356.32355493
"77481","Vanville",1599.35646257
"77482","Varennes-sur-Seine",4680.92193212
"77483","Varreddes",7907.87994732
"77484","Vaucourtois",6465.98956628
"77485","Le Vaudoue",1014.99056176
"77486","Vaudoy-en-Brie",1197.32111722
"77487","Vaux-le-Penil",12012.59317356
"77489","Vaux-sur-Lunain",570.65905839
"77490","Vendrest",1751.99325377
"77491","Veneux-les-Sablons",4421.21963912
"77492","Verdelot",828.91915785
"77493","Verneuil-l'Etang",3133.0138558
"77494","Vernou-la-Celle-sur-Seine",4730.18946983
"77495","Vert-Saint-Denis",17380.29894916
"77496","Vieux-Champagne",1341.36451284
"77498","Vignely",10009.57067163
"77500","Villebeon",659.28120911
"77501","Villecerf",2633.48017533
"77504","Villemarechal",1211.50100782
"77505","Villemareuil",6287.51027539
"77506","Villemer",2080.5053684
"77507","Villenauxe-la-Petite",922.2698403
"77508","Villeneuve-le-Comte",4639.26078263
"77509","Villeneuve-les-Bordes",1781.22075765
"77510","Villeneuve-Saint-Denis",7522.44457831
"77511","Villeneuve-sous-Dammartin",8986.23352185
"77512","Villeneuve-sur-Bellot",1196.08616743
"77513","Villenoy",10925.87833783
"77514","Villeparisis",39177.83380858
"77515","Villeroy",6054.20943628
"77516","Ville-Saint-Jacques",3816.22137578
"77517","Villevaude",28318.44361293
"77518","Villiers-en-Biere",11262.47219635
"77519","Villiers-Saint-Georges",463.50591065
"77520","Villiers-sous-Grez",2415.50840869
"77521","Villiers-sur-Morin",5408.1290652
"77522","Villiers-sur-Seine",730.58834882
"77523","Villuis",614.51790502
"77524","Vimpelles",1609.01599066
"77525","Vinantes",4916.65254476
"77526","Vincy-Manoeuvre",1527.99178498
"77527","Voinsles",1421.48141964
"77528","Voisenon",14774.02565554
"77529","Voulangis",4336.71676398
"77530","Voulton",1618.09273052
"77531","Voulx",1133.25528257
"77532","Vulaines-les-Provins",2667.22255302
"77533","Vulaines-sur-Seine",4429.14568343
"77534","Yebles",3143.29144938
"78003","Ablis",1172.12317794
"78005","Acheres",32323.06295682
"78006","Adainville",595.63564464
"78007","Aigremont",12395.48477922
"78009","Allainville",936.19836222
"78010","Les Alluets-le-Roi",8325.21693457
"78013","Andelu",3688.00082358
"78015","Andresy",27445.63148395
"78020","Arnouville-les-Mantes",5870.74796272
"78029","Aubergenville",12060.19913483
"78030","Auffargis",3784.59473607
"78031","Auffreville-Brasseuil",12362.06569825
"78033","Aulnay-sur-Mauldre",8185.3553441
"78034","Auteuil",2877.1631418
"78036","Autouillet",2286.20175878
"78043","Bailly",19515.15578666
"78048","Bazainville",1351.41000313
"78049","Bazemont",9167.22427594
"78050","Bazoches-sur-Guyonne",6113.11463024
"78053","Behoust",1512.86580881
"78057","Bennecourt",3480.88913467
"78062","Beynes",4608.92429953
"78068","Blaru",1200.45057767
"78070","Boinville-en-Mantois",9014.1092623
"78071","Boinville-le-Gaillard",1100.701493
"78072","Boinvilliers",5783.65969604
"78073","Bois-d'Arcy",19044.53539889
"78076","Boissets",1043.04885257
"78077","La Boissiere-Ecole",508.75013
"78082","Boissy-Mauvoisin",4988.12310803
"78084","Boissy-sans-Avoir",2326.7165377
"78087","Bonnelles",2421.97514923
"78089","Bonnieres-sur-Seine",4625.90744593
"78090","Bouafle",12881.45000669
"78092","Bougival",36036.86533532
"78096","Bourdonne",913.75944343
"78104","Breuil-Bois-Robert",11231.64582588
"78107","Breval",2175.69091942
"78108","Les Breviaires",3005.82760139
"78113","Brueil-en-Vexin",10024.87408434
