"ID","NAMES","agriculteurs_AsTheCowRolls_POT_20"
"77279","Marolles-sur-Seine",257.58305103
"77280","Mary-sur-Marne",250.91045931
"77281","Mauperthuis",438.013102
"77282","Mauregard",496.15492193
"77283","May-en-Multien",177.96216212
"77284","Meaux",431.97905639
"77285","Le Mee-sur-Seine",373.5840342
"77286","Meigneux",268.36411111
"77287","Meilleray",163.90342593
"77288","Melun",425.57630165
"77289","Melz-sur-Seine",221.43365006
"77290","Mery-sur-Marne",237.38029641
"77291","Le Mesnil-Amelot",559.67902592
"77292","Messy",454.29633577
"77293","Misy-sur-Yonne",218.73464913
"77294","Mitry-Mory",625.64644164
"77295","Moisenay",313.84450509
"77296","Moissy-Cramayel",434.75403075
"77297","Mondreville",181.76289943
"77298","Mons-en-Montois",268.63274315
"77299","Montarlot",281.67368987
"77300","Montceaux-les-Meaux",422.19153514
"77301","Montceaux-les-Provins",279.27652939
"77302","Montcourt-Fromonville",334.68661644
"77303","Montdauphin",144.07504811
"77304","Montenils",115.26557363
"77305","Montereau-Fault-Yonne",298.68619808
"77306","Montereau-sur-le-Jard",405.76424405
"77307","Montevrain",503.34139352
"77308","Montge-en-Goele",225.04211926
"77309","Monthyon",272.30280614
"77310","Montigny-le-Guesdier",182.10779246
"77311","Montigny-Lencoup",297.97216171
"77312","Montigny-sur-Loing",272.36968984
"77313","Montmachoux",210.14712847
"77314","Montolivet",158.20546955
"77315","Montry",437.63400965
"77316","Moret-sur-Loing",274.4153409
"77317","Mormant",332.63523665
"77318","Mortcerf",438.16561052
"77319","Mortery",338.27256801
"77320","Mouroux",409.17619599
"77321","Mousseaux-les-Bray",249.10226507
"77322","Moussy-le-Neuf",314.02752772
"77323","Moussy-le-Vieux",250.97079677
"77325","Mouy-sur-Seine",264.03308903
"77326","Nandy",375.29089912
"77327","Nangis",331.93408456
"77328","Nanteau-sur-Essonne",266.68352533
"77329","Nanteau-sur-Lunain",297.05045666
"77330","Nanteuil-les-Meaux",394.21581773
"77331","Nanteuil-sur-Marne",200.02414883
"77332","Nantouillet",265.36180598
"77333","Nemours",429.06678306
"77335","Chauconin-Neufmontiers",350.27636591
"77336","Neufmoutiers-en-Brie",391.04888502
"77337","Noisiel",939.22445589
"77338","Noisy-Rudignon",251.29948564
"77339","Noisy-sur-Ecole",315.90872357
"77340","Nonville",337.83631
"77341","Noyen-sur-Seine",241.05496738
"77342","Obsonville",255.55085472
"77343","Ocquerre",213.10413932
"77344","Oissery",153.79070616
"77345","Orly-sur-Morin",212.82406029
"77347","Les Ormes-sur-Voulzie",308.14760032
"77348","Ormesson",341.02011543
"77349","Othis",169.56479847
"77350","Ozoir-la-Ferriere",602.28926633
"77352","Ozouer-le-Voulgis",394.60245423
"77353","Paley",272.29239065
"77354","Pamfou",247.45199961
"77355","Paroy",314.00271144
"77356","Passy-sur-Seine",177.51516228
"77357","Pecy",420.09662718
