"ID","NAMES","artisans_AsTheCrowFlies_POT_10000"
"77215","Gretz-Armainvilliers",5452.23651354
"77216","Grez-sur-Loing",1372.53406617
"77217","Grisy-Suisnes",4832.67531318
"77218","Grisy-sur-Seine",431.89183648
"77219","Guerard",2123.01055904
"77220","Guercheville",703.37175874
"77221","Guermantes",10332.15151011
"77222","Guignes",1659.89118152
"77223","Gurcy-le-Chatel",594.56881262
"77224","Hautefeuille",1538.81336738
"77225","La Haute-Maison",2162.45105982
"77226","Hericy",2074.37593433
"77227","Herme",526.55962537
"77228","Hondevilliers",511.71928561
"77229","La Houssaye-en-Brie",2031.59352087
"77230","Ichy",429.84577715
"77231","Isles-les-Meldeuses",1539.12140069
"77232","Isles-les-Villenoy",4388.67612262
"77233","Iverny",2616.21793682
"77234","Jablines",6185.206226
"77235","Jaignes",1142.97812193
"77236","Jaulnes",385.9669937
"77237","Jossigny",6555.0434699
"77238","Jouarre",1303.0832079
"77239","Jouy-le-Chatel",510.03166844
"77240","Jouy-sur-Morin",808.75779136
"77241","Juilly",2660.60352601
"77242","Jutigny",674.69196185
"77243","Lagny-sur-Marne",10400.54112116
"77244","Larchant",970.51320707
"77245","Laval-en-Brie",847.52167186
"77246","Lechelle",447.90324751
"77247","Lescherolles",477.67974927
"77248","Lesches",5102.27849914
"77249","Lesigny",14549.66700301
"77250","Leudon-en-Brie",586.44023276
"77251","Lieusaint",8163.31115757
"77252","Limoges-Fourches",4073.64076554
"77253","Lissy",3289.15830342
"77254","Liverdy-en-Brie",2376.84270991
"77255","Livry-sur-Seine",3461.89344544
"77256","Lizines",654.51713246
"77257","Lizy-sur-Ourcq",957.02740521
"77258","Lognes",20902.18752585
"77259","Longperrier",2491.04698693
"77260","Longueville",702.47994852
"77261","Lorrez-le-Bocage-Preaux",605.89657476
"77262","Louan-Villegruis-Fontaine",148.52772126
"77263","Luisetaines",572.9222435
"77264","Lumigny-Nesles-Ormeaux",1227.25029542
"77265","Luzancy",717.80251485
"77266","Machault",1660.36882388
"77267","La Madeleine-sur-Loing",857.34207867
"77268","Magny-le-Hongre",4962.23305348
"77269","Maincy",3313.24894836
"77270","Maisoncelles-en-Brie",2136.37904456
"77271","Maisoncelles-en-Gatinais",577.91767871
"77272","Maison-Rouge",629.95204114
"77273","Marchemoret",1373.27029713
"77274","Marcilly",1538.47902394
"77275","Les Marets",390.71334686
"77276","Mareuil-les-Meaux",3763.68276874
"77277","Marles-en-Brie",1532.13009008
"77278","Marolles-en-Brie",1132.13199113
"77279","Marolles-sur-Seine",738.86487855
"77280","Mary-sur-Marne",1145.5309081
"77281","Mauperthuis",1370.15092956
"77282","Mauregard",7125.62279031
"77283","May-en-Multien",495.89835924
"77284","Meaux",2940.67702191
"77285","Le Mee-sur-Seine",4454.17187662
"77286","Meigneux",585.07898404
"77287","Meilleray",307.17748314
"77288","Melun",4072.54403253
"77289","Melz-sur-Seine",409.09305889
"77290","Mery-sur-Marne",658.84335258
"77291","Le Mesnil-Amelot",7378.33943555
"77292","Messy",5840.94235151
"77293","Misy-sur-Yonne",486.30044297
"77294","Mitry-Mory",11348.31119113
"77295","Moisenay",2674.78399212
"77296","Moissy-Cramayel",6461.83314657
"77297","Mondreville",341.58924712
"77298","Mons-en-Montois",597.01245017
"77299","Montarlot",1500.18051246
"77300","Montceaux-les-Meaux",2242.55370202
"77301","Montceaux-les-Provins",192.3745074
"77302","Montcourt-Fromonville",1386.23627773
"77303","Montdauphin",251.25141921
"77304","Montenils",124.07579866
"77305","Montereau-Fault-Yonne",1038.06696326
"77306","Montereau-sur-le-Jard",4014.13184867
"77307","Montevrain",7456.49072543
"77308","Montge-en-Goele",1933.06132856
"77309","Monthyon",2159.77099928
"77310","Montigny-le-Guesdier",281.53325931
"77311","Montigny-Lencoup",665.91412596
"77312","Montigny-sur-Loing",1751.4310424
"77313","Montmachoux",737.46430572
"77314","Montolivet",247.86174637
"77315","Montry",4788.97246168
"77316","Moret-sur-Loing",1768.09366766
"77317","Mormant",1029.04217105
"77318","Mortcerf",2050.96651084
"77319","Mortery",597.56950047
"77320","Mouroux",1585.31074803
"77321","Mousseaux-les-Bray",344.06392811
"77322","Moussy-le-Neuf",2546.12075645
"77323","Moussy-le-Vieux",3390.47319896
"77325","Mouy-sur-Seine",472.58229977
"77326","Nandy",6605.57267832
"77327","Nangis",609.17128783
"77328","Nanteau-sur-Essonne",616.04842453
"77329","Nanteau-sur-Lunain",985.60520616
"77330","Nanteuil-les-Meaux",3363.1113064
"77331","Nanteuil-sur-Marne",575.05412498
"77332","Nantouillet",3700.66718027
"77333","Nemours",1142.00719099
"77335","Chauconin-Neufmontiers",3113.90156692
"77336","Neufmoutiers-en-Brie",3052.84752101
"77337","Noisiel",24096.2716165
"77338","Noisy-Rudignon",1060.23668327
"77339","Noisy-sur-Ecole",1191.16904499
"77340","Nonville",1298.30882815
"77341","Noyen-sur-Seine",429.63296051
"77342","Obsonville",575.89808417
"77343","Ocquerre",771.19829495
"77344","Oissery",945.84228166
"77345","Orly-sur-Morin",901.17928372
"77347","Les Ormes-sur-Voulzie",578.87102408
"77348","Ormesson",991.50811991
"77349","Othis",1506.31175659
"77350","Ozoir-la-Ferriere",9336.05045515
"77352","Ozouer-le-Voulgis",2072.21731595
"77353","Paley",761.53541696
"77354","Pamfou",1350.22703205
"77355","Paroy",631.73201026
"77356","Passy-sur-Seine",344.29955659
"77357","Pecy",583.20811839
"77358","Penchard",2547.72893775
"77359","Perthes",3356.53226902
"77360","Pezarches",1291.32582528
"77361","Pierre-Levee",1852.25783511
"77363","Le Pin",18609.42013375
"77364","Le Plessis-aux-Bois",2507.36984609
"77365","Le Plessis-Feu-Aussoux",949.634414
"77366","Le Plessis-l'Eveque",2287.9404553
"77367","Le Plessis-Placy",859.12231622
"77368","Poigny",664.48121105
"77369","Poincy",2533.20482706
"77370","Poligny",1005.74491765
"77371","Pommeuse",1740.52997027
"77372","Pomponne",13919.17032477
"77373","Pontault-Combault",19911.23237927
"77374","Pontcarre",9156.92097385
"77376","Precy-sur-Marne",5197.54749445
"77377","Presles-en-Brie",3686.20234381
"77378","Pringy",4566.71369946
"77379","Provins",625.21695915
"77380","Puisieux",916.76534593
"77381","Quiers",823.21690167
"77382","Quincy-Voisins",3862.15103981
"77383","Rampillon",579.76125378
"77384","Reau",5274.73360662
"77385","Rebais",988.3948045
"77386","Recloses",1451.034648
"77387","Remauville",758.47916653
"77388","Reuil-en-Brie",863.99948064
"77389","La Rochette",3740.97625098
"77390","Roissy-en-Brie",13441.88664107
"77391","Rouilly",574.24543657
"77392","Rouvres",1360.16063172
"77393","Rozay-en-Brie",1023.79863678
"77394","Rubelles",3803.44075292
"77395","Rumont",504.30145139
"77396","Rupereux",419.57175879
"77397","Saacy-sur-Marne",729.97191237
"77398","Sablonnieres",675.89488252
"77399","Saint-Ange-le-Viel",741.74315763
"77400","Saint-Augustin",1498.02984366
"77401","Sainte-Aulde",606.9740636
"77402","Saint-Barthelemy",480.75573321
"77403","Saint-Brice",559.93823753
"77404","Sainte-Colombe",690.96829214
"77405","Saint-Cyr-sur-Morin",1046.78520922
