"ID","NAMES","intermediaires_AsTheCrowFlies_ACC_0.01"
"77321","Mousseaux-les-Bray",27323.6148908193
"77322","Moussy-le-Neuf",9259.95972873111
"77323","Moussy-le-Vieux",8501.87108587796
"77325","Mouy-sur-Seine",27137.5229704825
"77326","Nandy",5256.25359237545
"77327","Nangis",17701.1755148467
"77328","Nanteau-sur-Essonne",18583.3808348902
"77329","Nanteau-sur-Lunain",19319.7431977975
"77330","Nanteuil-les-Meaux",8084.4669792014
"77331","Nanteuil-sur-Marne",21192.8840560742
"77332","Nantouillet",8489.14731116
"77333","Nemours",18730.2021379214
"77335","Chauconin-Neufmontiers",8711.13655710833
"77336","Neufmoutiers-en-Brie",9502.78536272711
"77337","Noisiel",3052.35809346538
"77338","Noisy-Rudignon",17541.6409402996
"77339","Noisy-sur-Ecole",14759.7207190368
"77340","Nonville",16599.5168591258
"77341","Noyen-sur-Seine",30907.5245735117
"77342","Obsonville",23154.0013328698
"77343","Ocquerre",16679.3540090087
"77344","Oissery",13313.1379595081
"77345","Orly-sur-Morin",19835.2543890233
"77347","Les Ormes-sur-Voulzie",25638.6129830165
"77348","Ormesson",20391.6783480293
"77349","Othis",10862.7506610568
"77350","Ozoir-la-Ferriere",5794.44063008772
"77352","Ozouer-le-Voulgis",10897.834055367
"77353","Paley",20934.5434429887
"77354","Pamfou",12881.8745265984
"77355","Paroy",24302.8430745808
"77356","Passy-sur-Seine",31627.0578403635
"77357","Pecy",18726.7632303146
"77358","Penchard",9645.493421502
"77359","Perthes",9088.90896882612
"77360","Pezarches",14567.4758219599
"77361","Pierre-Levee",12079.9649947744
"77363","Le Pin",4205.68259080877
"77364","Le Plessis-aux-Bois",9682.8347854325
"77365","Le Plessis-Feu-Aussoux",16562.550095487
"77366","Le Plessis-l'Eveque",10047.1099373812
"77367","Le Plessis-Placy",15498.4795154751
"77368","Poigny",26372.0566286511
"77369","Poincy",9883.42312533518
"77370","Poligny",20590.3667997386
"77371","Pommeuse",12894.4431402213
"77372","Pomponne",4521.4594113728
"77373","Pontault-Combault",3748.62078866463
"77374","Pontcarre",5539.28864448483
"77376","Precy-sur-Marne",7495.02476290103
"77377","Presles-en-Brie",8912.54106267224
"77378","Pringy",7172.52476253289
"77379","Provins",26491.095946238
"77380","Puisieux",14658.1209182741
"77381","Quiers",16395.1134821158
"77382","Quincy-Voisins",7743.61417657142
"77383","Rampillon",19376.8312253159
