"ID","NAMES","total_AsTheCrowFlies_ACC_0.05"
"77211","Grandpuits-Bailly-Carrois",27175.2155540327
"77212","Gravon",40105.3735236898
"77214","Gressy",11704.350967381
"77215","Gretz-Armainvilliers",13646.6200311514
"77216","Grez-sur-Loing",32219.0980235462
"77217","Grisy-Suisnes",13768.1947109252
"77218","Grisy-sur-Seine",45509.3026079029
"77219","Guerard",21439.5244500342
"77220","Guercheville",34211.2810721204
"77221","Guermantes",11113.3827597333
"77222","Guignes",19416.9921392809
"77223","Gurcy-le-Chatel",34367.6004796014
"77224","Hautefeuille",22688.5367726383
"77225","La Haute-Maison",23800.4934439648
"77226","Hericy",26312.8598966779
"77227","Herme",45142.9168952236
"77228","Hondevilliers",38362.2884254831
"77229","La Houssaye-en-Brie",18951.5622240264
"77230","Ichy",38053.5065522512
"77231","Isles-les-Meldeuses",26276.4282186506
"77232","Isles-les-Villenoy",16484.8195417611
"77233","Iverny",17315.162182054
"77234","Jablines",13416.3413012273
"77235","Jaignes",28728.5569413766
"77236","Jaulnes",44801.1195216012
"77237","Jossigny",13387.1978160174
"77238","Jouarre",28967.1465589513
"77239","Jouy-le-Chatel",31454.1401214952
"77240","Jouy-sur-Morin",36127.2376610844
"77241","Juilly",15550.3295479816
"77242","Jutigny",39896.3399737239
"77243","Lagny-sur-Marne",11051.9719488592
"77244","Larchant",32893.160534017
"77245","Laval-en-Brie",31654.9931359002
"77246","Lechelle",44629.1156213768
"77247","Lescherolles",40017.9948776012
"77248","Lesches",14990.0975187633
"77249","Lesigny",9892.66232504542
"77250","Leudon-en-Brie",36363.7289802408
"77251","Lieusaint",11702.2143259222
"77252","Limoges-Fourches",15228.3901289961
"77253","Lissy",16478.1796661123
"77254","Liverdy-en-Brie",17142.2493287639
"77255","Livry-sur-Seine",20467.6832052744
"77256","Lizines",36187.2480948125
"77257","Lizy-sur-Ourcq",27821.753624698
"77258","Lognes",8144.14774995658
"77259","Longperrier",15607.0569035759
"77260","Longueville",39700.4885538644
"77261","Lorrez-le-Bocage-Preaux",41193.132295218
"77262","Louan-Villegruis-Fontaine",48214.9794310063
"77263","Luisetaines",39354.5869418106
"77264","Lumigny-Nesles-Ormeaux",23092.0135062152
"77265","Luzancy",33358.9834974467
"77266","Machault",27699.7978658976
"77267","La Madeleine-sur-Loing",39793.7754626741
"77268","Magny-le-Hongre",15395.96529081
"77269","Maincy",18892.3039820923
"77270","Maisoncelles-en-Brie",23175.865560735
"77271","Maisoncelles-en-Gatinais",40399.2628028118
"77272","Maison-Rouge",34861.5421103015
"77273","Marchemoret",18519.1189518861
"77274","Marcilly",22373.2054263759
"77275","Les Marets",39354.7564852802
"77276","Mareuil-les-Meaux",18268.8431499507
"77277","Marles-en-Brie",20465.4495222526
"77278","Marolles-en-Brie",31108.3634513877
"77279","Marolles-sur-Seine",36968.1272264415
"77280","Mary-sur-Marne",27777.3531352476
"77281","Mauperthuis",25730.0829471557
"77282","Mauregard",12103.8958672496
"77283","May-en-Multien",29329.804674977
"77284","Meaux",20350.561815322
"77285","Le Mee-sur-Seine",17443.1487095684
"77286","Meigneux",33911.7288314128
"77287","Meilleray",42959.6898792903
"77288","Melun",17935.4870979869
"77289","Melz-sur-Seine",46732.0612083578
"77290","Mery-sur-Marne",34366.9841019172
"77291","Le Mesnil-Amelot",12043.9304045557
"77292","Messy",12997.637879113
"77293","Misy-sur-Yonne",40106.5059422507
"77294","Mitry-Mory",10595.0460192568
"77295","Moisenay",19638.4887132909
"77296","Moissy-Cramayel",12888.5942628987
"77297","Mondreville",42538.3203996803
"77298","Mons-en-Montois",36392.3061836903
"77299","Montarlot",33295.2890911061
"77300","Montceaux-les-Meaux",24112.3028960564
"77301","Montceaux-les-Provins",44977.0363416678
"77302","Montcourt-Fromonville",33317.4308360681
"77303","Montdauphin",43107.2402251472
"77304","Montenils",45840.9561510059
"77305","Montereau-Fault-Yonne",34290.5599060043
"77306","Montereau-sur-le-Jard",16254.1287002419
"77307","Montevrain",12729.3509232872
"77308","Montge-en-Goele",17161.7132811964
"77309","Monthyon",19394.5503102546
"77310","Montigny-le-Guesdier",45110.2039806087
"77311","Montigny-Lencoup",34511.5064905341
"77312","Montigny-sur-Loing",31252.0775813023
"77313","Montmachoux",39017.1087022634
"77314","Montolivet",43594.2257263248
"77315","Montry",15801.3449862597
"77316","Moret-sur-Loing",31224.4287369148
"77317","Mormant",23326.0115813809
"77318","Mortcerf",20056.2167412986
"77319","Mortery",37948.3473883508
"77320","Mouroux",25811.3160093304
"77321","Mousseaux-les-Bray",43653.8907745339
"77322","Moussy-le-Neuf",15454.6741846686
"77323","Moussy-le-Vieux",14586.2537489648
"77325","Mouy-sur-Seine",42885.1492355679
"77326","Nandy",13327.7327316637
"77327","Nangis",29186.8885956697
"77328","Nanteau-sur-Essonne",29473.0271265071
"77329","Nanteau-sur-Lunain",38342.8307409815
"77330","Nanteuil-les-Meaux",19675.2493877248
"77331","Nanteuil-sur-Marne",35367.0765642003
"77332","Nantouillet",14446.299735153
"77333","Nemours",36036.1011585166
"77335","Chauconin-Neufmontiers",17948.8977514917
"77336","Neufmoutiers-en-Brie",16950.3814088167
"77337","Noisiel",7658.01647646539
"77338","Noisy-Rudignon",36316.8771301533
"77339","Noisy-sur-Ecole",25435.3720971241
"77340","Nonville",35271.0384717589
"77341","Noyen-sur-Seine",46061.7773957023
"77342","Obsonville",37524.7166987902
"77343","Ocquerre",29499.5110714698
"77344","Oissery",21572.0337519375
"77345","Orly-sur-Morin",34329.0770048104
"77347","Les Ormes-sur-Voulzie",40974.4038186515
"77348","Ormesson",36300.8067848302
"77349","Othis",17484.5857552189
"77350","Ozoir-la-Ferriere",11519.3265836045
"77352","Ozouer-le-Voulgis",17821.3838288947
"77353","Paley",40174.7017601989
"77354","Pamfou",27384.0332583683
"77355","Paroy",39255.9110501278
"77356","Passy-sur-Seine",47060.80840827
"77357","Pecy",29353.8386620206
"77358","Penchard",19656.3237604501
"77359","Perthes",19021.7312982586
"77360","Pezarches",24073.8898177391
"77361","Pierre-Levee",25398.9663198992
"77363","Le Pin",8660.27640177067
"77364","Le Plessis-aux-Bois",16726.7898413113
"77365","Le Plessis-Feu-Aussoux",26587.7794037436
"77366","Le Plessis-l'Eveque",17903.9226441962
"77367","Le Plessis-Placy",27101.712453865
"77368","Poigny",40418.0466917441
"77369","Poincy",21769.2470429843
"77370","Poligny",38617.8275969398
"77371","Pommeuse",23837.0087630933
"77372","Pomponne",9904.03150461056
"77373","Pontault-Combault",8505.95802024891
"77374","Pontcarre",11682.0517345725
"77376","Precy-sur-Marne",14268.2276409595
"77377","Presles-en-Brie",15156.4763510441
"77378","Pringy",16775.160323486
"77379","Provins",40371.9639288322
"77380","Puisieux",24915.0273614449
"77381","Quiers",25749.55780945
"77382","Quincy-Voisins",18242.1547142808
"77383","Rampillon",32107.5211040449
"77384","Reau",14392.3982185996
"77385","Rebais",34317.4497651614
"77386","Recloses",29379.5536992335
"77387","Remauville",40851.5830002222
"77388","Reuil-en-Brie",32192.5643843045
"77389","La Rochette",19731.6206867106
"77390","Roissy-en-Brie",10147.7023567341
"77391","Rouilly",39736.4640863924
"77392","Rouvres",18108.0040971762
"77393","Rozay-en-Brie",24216.5832900129
"77394","Rubelles",17759.5464775789
"77395","Rumont",33124.2467956375
"77396","Rupereux",40345.8740314863
"77397","Saacy-sur-Marne",34572.9009923562
"77398","Sablonnieres",37318.4435517314
"77399","Saint-Ange-le-Viel",39362.5839587056
"77400","Saint-Augustin",25164.4761823938
"77401","Sainte-Aulde",33649.0881557272
"77402","Saint-Barthelemy",40454.4876362759
"77403","Saint-Brice",42198.4934931921
"77404","Sainte-Colombe",40000.2484707335
"77405","Saint-Cyr-sur-Morin",32024.3008680245
"77406","Saint-Denis-les-Rebais",32739.6188595489
"77407","Saint-Fargeau-Ponthierry",15173.1891589416
"77408","Saint-Fiacre",21973.2582724338
"77409","Saint-Germain-Laval",34468.9371101906
"77410","Saint-Germain-Laxis",17762.2251205149
"77411","Saint-Germain-sous-Doue",29960.9615757406
"77412","Saint-Germain-sur-Ecole",18934.6281155141
"77413","Saint-Germain-sur-Morin",16462.0242917301
"77414","Saint-Hilliers",37579.9488297061
"77415","Saint-Jean-les-Deux-Jumeaux",25523.3378498038
"77416","Saint-Just-en-Brie",32082.5834120831
"77417","Saint-Leger",36055.5866535112
"77418","Saint-Loup-de-Naud",38115.33471389
"77419","Saint-Mammes",30208.1277966893
"77420","Saint-Mard",16117.3462637599
"77421","Saint-Mars-Vieux-Maisons",38673.7038659343
"77423","Saint-Martin-des-Champs",39050.6225328852
"77424","Saint-Martin-du-Boschet",43812.69636173
"77425","Saint-Martin-en-Biere",22205.0873277679
"77426","Saint-Mery",22673.4738137067
"77427","Saint-Mesmes",14161.5220981711
"77428","Saint-Ouen-en-Brie",25612.4091979919
"77429","Saint-Ouen-sur-Morin",33219.8485196842
"77430","Saint-Pathus",20762.2423100275
"77431","Saint-Pierre-les-Nemours",35068.8175328436
"77432","Saint-Remy-la-Vanne",34722.1079230131
"77433","Saints",26685.876291135
"77434","Saint-Sauveur-les-Bray",40976.6140634838
"77435","Saint-Sauveur-sur-Ecole",17641.2530679045
"77436","Saint-Simeon",32548.9855911769
"77437","Saint-Soupplets",19459.6962738896
"77438","Saint-Thibault-des-Vignes",9697.62225763141
"77439","Salins",34257.6964862304
"77440","Sammeron",27896.4779592465
"77441","Samois-sur-Seine",24681.4195995349
"77442","Samoreau",26975.8454643076
"77443","Sancy",21761.7002637488
