"ID","NAMES","total_AsTheCowRolls_ACC_0.005"
"77463","Thomery",11.4490291911857
"77464","Thorigny-sur-Marne",5.88732294492823
"77465","Thoury-Ferottes",19.3280235207742
"77466","Tigeaux",11.470922112614
"77467","La Tombe",18.5486056212581
"77468","Torcy",2.78139272447924
"77469","Touquin",15.2585950088036
"77470","Tournan-en-Brie",9.73174483042109
"77471","Tousson",16.7516118708682
"77472","La Tretoire",21.1349169924352
"77473","Treuzy-Levelay",17.0603304164848
"77474","Trilbardou",8.50366435702952
"77475","Trilport",7.98526168951789
"77476","Trocy-en-Multien",13.6614983168254
"77477","Ury",12.1569471844508
"77478","Ussy-sur-Marne",12.1478822595787
"77479","Vaires-sur-Marne",5.20021698219035
"77480","Valence-en-Brie",14.1995069668307
"77481","Vanville",20.4168626403017
"77482","Varennes-sur-Seine",13.2247335760011
"77483","Varreddes",8.87009519572505
"77484","Vaucourtois",11.5570020167726
"77485","Le Vaudoue",16.1241036649714
"77486","Vaudoy-en-Brie",16.1514160058153
"77487","Vaux-le-Penil",6.14202572466425
"77489","Vaux-sur-Lunain",23.0403866005713
"77490","Vendrest",20.3041470952209
"77491","Veneux-les-Sablons",11.9283348396044
"77492","Verdelot",25.4143168258192
"77493","Verneuil-l'Etang",13.2797037042003
"77494","Vernou-la-Celle-sur-Seine",13.7600081433913
"77495","Vert-Saint-Denis",5.25860253330302
"77496","Vieux-Champagne",22.6505821593428
"77498","Vignely",9.02560665308603
"77500","Villebeon",23.1097914403992
"77501","Villecerf",13.5092556787317
"77504","Villemarechal",18.6481604398719
"77505","Villemareuil",11.0732976787374
"77506","Villemer",14.4901384844534
"77507","Villenauxe-la-Petite",25.5064462770446
"77508","Villeneuve-le-Comte",8.38942531348645
"77509","Villeneuve-les-Bordes",19.2889988029331
"77510","Villeneuve-Saint-Denis",7.80984645363615
"77511","Villeneuve-sous-Dammartin",10.8383179077588
"77512","Villeneuve-sur-Bellot",25.5367067076789
"77513","Villenoy",7.74770562099779
"77514","Villeparisis",5.32391529536836
"77515","Villeroy",10.2059243925741
"77516","Ville-Saint-Jacques",14.2192659755714
"77517","Villevaude",6.20211090432877
"77518","Villiers-en-Biere",8.82765820445435
"77519","Villiers-Saint-Georges",27.569681443303
"77520","Villiers-sous-Grez",14.766088355663
"77521","Villiers-sur-Morin",8.74648101151389
"77522","Villiers-sur-Seine",26.7434208166806
"77523","Villuis",27.1890812278607
"77524","Vimpelles",23.2534479435172
"77525","Vinantes",12.5604190784373
"77526","Vincy-Manoeuvre",18.8540869461463
"77527","Voinsles",16.319187667795
"77528","Voisenon",6.75153272568964
"77529","Voulangis",10.6033542965172
"77530","Voulton",27.5776443550938
"77531","Voulx",20.6016639546964
"77532","Vulaines-les-Provins",21.9492834046867
"77533","Vulaines-sur-Seine",10.7459696069795
"77534","Yebles",11.5378188455678
"78003","Ablis",15.1573626117637
"78005","Acheres",5.6713005206088
"78006","Adainville",19.8577120972341
"78007","Aigremont",5.98440230647336
"78009","Allainville",15.8494886901243
"78010","Les Alluets-le-Roi",10.1007119909271
"78013","Andelu",11.9936445366897
"78015","Andresy",5.34365525560818
"78020","Arnouville-les-Mantes",11.9672984059532
"78029","Aubergenville",6.50433793684396
"78030","Auffargis",9.80871013664436
"78031","Auffreville-Brasseuil",7.11084407568565
"78033","Aulnay-sur-Mauldre",9.0212177399427
"78034","Auteuil",11.7556496002498
"78036","Autouillet",13.1298031326752
"78043","Bailly",5.40748765045289
"78048","Bazainville",13.6899041297132
"78049","Bazemont",10.3661452679688
"78050","Bazoches-sur-Guyonne",9.65806189085777
"78053","Behoust",15.0168962429902
"78057","Bennecourt",12.3390347655169
"78062","Beynes",10.0687199650165
"78068","Blaru",16.5272820745139
"78070","Boinville-en-Mantois",10.9078997472531
"78071","Boinville-le-Gaillard",16.2789033814977
"78072","Boinvilliers",11.8349602068876
"78073","Bois-d'Arcy",5.11780613566487
"78076","Boissets",18.842832399568
"78077","La Boissiere-Ecole",21.4587892228605
"78082","Boissy-Mauvoisin",13.3899983251985
"78084","Boissy-sans-Avoir",11.4807497064453
"78087","Bonnelles",10.7378260398053
"78089","Bonnieres-sur-Seine",12.9739573005176
"78090","Bouafle",6.54603985299725
"78092","Bougival",3.86309812771487
"78096","Bourdonne",16.1163969138554
"78104","Breuil-Bois-Robert",8.33326746196948
"78107","Breval",16.0193606213484
"78108","Les Breviaires",12.2318361847922
"78113","Brueil-en-Vexin",9.33548330702752
"78117","Buc",5.54481354500663
"78118","Buchelay",6.87770607476406
"78120","Bullion",11.5257365049296
"78123","Carrieres-sous-Poissy",3.98648656507028
"78124","Carrieres-sur-Seine",2.01489114450674
"78125","La Celle-les-Bordes",12.4474602250145
"78126","La Celle-Saint-Cloud",4.13246651452025
"78128","Cernay-la-Ville",10.7716529812347
"78133","Chambourcy",5.84729470465858
"78138","Chanteloup-les-Vignes",5.19321502211505
"78140","Chapet",7.39872396734914
"78143","Chateaufort",6.25328676559246
"78146","Chatou",1.75767398387872
"78147","Chaufour-les-Bonnieres",13.1237486933659
"78152","Chavenay",6.94937784696953
"78158","Le Chesnay",2.18849047757583
"78160","Chevreuse",9.92676727892856
"78162","Choisel",10.5409622388314
"78163","Civry-la-Foret",16.362305395628
"78164","Clairefontaine-en-Yvelines",11.5879955697889
"78165","Les Clayes-sous-Bois",5.78602107745541
"78168","Coignieres",6.76569430215709
"78171","Conde-sur-Vesgre",17.0923096079076
"78172","Conflans-Sainte-Honorine",4.63951967082076
"78185","Courgent",12.3363581600886
"78188","Cravent",16.1700099933066
"78189","Crespieres",9.61708820059477
"78190","Croissy-sur-Seine",4.04517960416467
"78192","Dammartin-en-Serve",14.8249890886683
"78193","Dampierre-en-Yvelines",9.96373061626764
"78194","Dannemarie",17.0027146237526
"78196","Davron",9.21580710131929
"78202","Drocourt",9.97720637813138
"78206","Ecquevilly",7.18949028896073
"78208","Elancourt",5.2760371283171
"78209","Emance",19.9908563395425
"78217","Epone",6.55064797634254
"78220","Les Essarts-le-Roi",7.96636256560201
"78224","L'Etang-la-Ville",5.36505048401907
"78227","Evecquemont",6.21493217454854
"78230","La Falaise",7.4298111820785
"78231","Favrieux",9.22733010338016
"78233","Feucherolles",7.15078010772123
"78234","Flacourt",12.3396231395448
"78236","Flexanville",15.2893864927609
"78237","Flins-Neuve-Eglise",16.2851219082299
"78238","Flins-sur-Seine",6.16480468187067
"78239","Follainville-Dennemont",9.79109724557619
"78242","Fontenay-le-Fleury",5.07650256056899
"78245","Fontenay-Mauvoisin",9.26045417365834
"78246","Fontenay-Saint-Pere",9.19750876924355
"78251","Fourqueux",5.51010735109412
"78255","Freneuse",13.0704088106223
"78261","Gaillon-sur-Montcient",7.04514636403425
"78262","Galluis",10.4378158151864
"78263","Gambais",15.197373863425
"78264","Gambaiseuil",15.5682549118854
"78265","Garancieres",12.9005208985769
"78267","Gargenville",6.8682893816609
"78269","Gazeran",15.0268576223854
"78276","Gommecourt",17.6184367712137
"78278","Goupillieres",13.9504636842629
"78281","Goussonville",11.8232613240034
"78283","Grandchamp",21.4276768037625
"78285","Gressey",17.5974783874618
"78289","Grosrouvre",14.2632776950306
"78290","Guernes",13.916292189998
"78291","Guerville",10.0233915720303
"78296","Guitrancourt",8.37653110903085
"78297","Guyancourt",5.13994005187881
"78299","Hardricourt",5.90219518619963
"78300","Hargeville",13.1017684755012
"78302","La Hauteville",21.8315163903127
"78305","Herbeville",10.9612644269885
"78307","Hermeray",20.4920481267758
"78310","Houdan",15.5119965514665
"78311","Houilles",1.18269923064387
"78314","Issou",6.4352090126568
"78317","Jambville",11.3091576858147
"78320","Jeufosse",11.2911993846052
"78321","Jouars-Pontchartrain",6.90796907683782
"78322","Jouy-en-Josas",5.40491976543773
"78324","Jouy-Mauvoisin",8.39222659755245
"78325","Jumeauville",12.2861338336266
"78327","Juziers",7.15120179788474
"78329","Lainville-en-Vexin",11.6025550979735
"78334","Levis-Saint-Nom",10.2106486111077
"78335","Limay",4.55250467350844
"78337","Limetz-Villez",15.9509195011073
"78343","Les Loges-en-Josas",5.89037489173059
"78344","Lommoye",17.5098529131812
"78346","Longnes",12.8267074000627
"78349","Longvilliers",10.7958239948287
"78350","Louveciennes",5.06910099482166
"78354","Magnanville",5.66864427708274
