"ID","NAMES","total_AsTheCrowFlies_POT_7500"
"77242","Jutigny",8632.76313352
"77243","Lagny-sur-Marne",121609.57392169
"77244","Larchant",8971.03538484
"77245","Laval-en-Brie",9860.55951914
"77246","Lechelle",5342.1517919
"77247","Lescherolles",4456.62079005
"77248","Lesches",59826.39402808
"77249","Lesigny",139619.37036768
"77250","Leudon-en-Brie",4748.68150514
"77251","Lieusaint",118519.49419831
"77252","Limoges-Fourches",46796.84461352
"77253","Lissy",34039.0398914
"77254","Liverdy-en-Brie",21020.25388225
"77255","Livry-sur-Seine",55637.1704284
"77256","Lizines",7170.15585437
"77257","Lizy-sur-Ourcq",10435.43535129
"77258","Lognes",246454.11826801
"77259","Longperrier",26769.1569413
"77260","Longueville",10005.9415073
"77261","Lorrez-le-Bocage-Preaux",4560.97416661
"77262","Louan-Villegruis-Fontaine",1009.71408234
"77263","Luisetaines",6578.02865221
"77264","Lumigny-Nesles-Ormeaux",9737.60880496
"77265","Luzancy",10020.30149093
"77266","Machault",19738.41082267
"77267","La Madeleine-sur-Loing",11398.8378837
"77268","Magny-le-Hongre",61237.0018718
"77269","Maincy",53828.00031376
"77270","Maisoncelles-en-Brie",16945.07378902
"77271","Maisoncelles-en-Gatinais",4907.44313238
"77272","Maison-Rouge",6231.3196877
"77273","Marchemoret",18520.71574567
"77274","Marcilly",19921.44589949
"77275","Les Marets",2544.62503898
"77276","Mareuil-les-Meaux",55329.22544968
"77277","Marles-en-Brie",12463.69452579
"77278","Marolles-en-Brie",11651.78267292
"77279","Marolles-sur-Seine",12052.86345519
"77280","Mary-sur-Marne",12928.44788352
"77281","Mauperthuis",15042.77426988
"77282","Mauregard",70316.52910488
"77283","May-en-Multien",5972.91722688
"77284","Meaux",48434.12108964
"77285","Le Mee-sur-Seine",78550.4108288
"77286","Meigneux",6509.91046762
"77287","Meilleray",2574.79568759
"77288","Melun",72242.36427728
"77289","Melz-sur-Seine",3658.65965721
"77290","Mery-sur-Marne",8753.5368928
