"ID","NAMES","agriculteurs_AsTheCrowFlies_POT_0"
"77482","Varennes-sur-Seine",0
"77483","Varreddes",4
"77484","Vaucourtois",0
"77485","Le Vaudoue",4
"77486","Vaudoy-en-Brie",8
"77487","Vaux-le-Penil",9
"77489","Vaux-sur-Lunain",4
"77490","Vendrest",4
"77491","Veneux-les-Sablons",4
"77492","Verdelot",23
"77493","Verneuil-l'Etang",0
"77494","Vernou-la-Celle-sur-Seine",8
"77495","Vert-Saint-Denis",0
"77496","Vieux-Champagne",12
"77498","Vignely",0
"77500","Villebeon",12
"77501","Villecerf",4
"77504","Villemarechal",8
"77505","Villemareuil",4
"77506","Villemer",12
"77507","Villenauxe-la-Petite",4
"77508","Villeneuve-le-Comte",0
"77509","Villeneuve-les-Bordes",12
"77510","Villeneuve-Saint-Denis",4
"77511","Villeneuve-sous-Dammartin",0
"77512","Villeneuve-sur-Bellot",0
"77513","Villenoy",8
"77514","Villeparisis",4
"77515","Villeroy",8
"77516","Ville-Saint-Jacques",24
"77517","Villevaude",0
"77518","Villiers-en-Biere",4
"77519","Villiers-Saint-Georges",16
"77520","Villiers-sous-Grez",4
"77521","Villiers-sur-Morin",0
"77522","Villiers-sur-Seine",0
"77523","Villuis",0
"77524","Vimpelles",4
"77525","Vinantes",4
"77526","Vincy-Manoeuvre",4
"77527","Voinsles",20
"77528","Voisenon",8
"77529","Voulangis",4
"77530","Voulton",8
"77531","Voulx",8
"77532","Vulaines-les-Provins",0
"77533","Vulaines-sur-Seine",0
"77534","Yebles",8
"78003","Ablis",8
"78005","Acheres",1
"78006","Adainville",4
"78007","Aigremont",0
"78009","Allainville",8
"78010","Les Alluets-le-Roi",0
"78013","Andelu",8
"78015","Andresy",0
"78020","Arnouville-les-Mantes",4
"78029","Aubergenville",0
"78030","Auffargis",12
"78031","Auffreville-Brasseuil",0
"78033","Aulnay-sur-Mauldre",0
"78034","Auteuil",4
"78036","Autouillet",0
"78043","Bailly",4
"78048","Bazainville",12
"78049","Bazemont",12
"78050","Bazoches-sur-Guyonne",0
"78053","Behoust",4
"78057","Bennecourt",4
"78062","Beynes",4
"78068","Blaru",8
"78070","Boinville-en-Mantois",4
"78071","Boinville-le-Gaillard",0
"78072","Boinvilliers",0
"78073","Bois-d'Arcy",3
"78076","Boissets",8
"78077","La Boissiere-Ecole",0
"78082","Boissy-Mauvoisin",4
"78084","Boissy-sans-Avoir",0
"78087","Bonnelles",0
"78089","Bonnieres-sur-Seine",0
"78090","Bouafle",4
"78092","Bougival",8
"78096","Bourdonne",0
"78104","Breuil-Bois-Robert",0
"78107","Breval",4
"78108","Les Breviaires",20
"78113","Brueil-en-Vexin",4
"78117","Buc",0
"78118","Buchelay",8
"78120","Bullion",0
"78123","Carrieres-sous-Poissy",0
"78124","Carrieres-sur-Seine",16
"78125","La Celle-les-Bordes",4
"78126","La Celle-Saint-Cloud",21
"78128","Cernay-la-Ville",0
"78133","Chambourcy",4
"78138","Chanteloup-les-Vignes",0
"78140","Chapet",0
"78143","Chateaufort",4
"78146","Chatou",20
"78147","Chaufour-les-Bonnieres",0
"78152","Chavenay",8
"78158","Le Chesnay",8
"78160","Chevreuse",4
"78162","Choisel",0
"78163","Civry-la-Foret",4
"78164","Clairefontaine-en-Yvelines",0
"78165","Les Clayes-sous-Bois",14
"78168","Coignieres",0
"78171","Conde-sur-Vesgre",0
"78172","Conflans-Sainte-Honorine",4
"78185","Courgent",0
"78188","Cravent",8
"78189","Crespieres",16
"78190","Croissy-sur-Seine",8
"78192","Dammartin-en-Serve",4
"78193","Dampierre-en-Yvelines",4
"78194","Dannemarie",0
"78196","Davron",4
"78202","Drocourt",0
"78206","Ecquevilly",0
"78208","Elancourt",0
"78209","Emance",0
"78217","Epone",12
"78220","Les Essarts-le-Roi",8
"78224","L'Etang-la-Ville",0
"78227","Evecquemont",8
"78230","La Falaise",0
"78231","Favrieux",0
"78233","Feucherolles",16
"78234","Flacourt",4
"78236","Flexanville",0
"78237","Flins-Neuve-Eglise",0
"78238","Flins-sur-Seine",12
"78239","Follainville-Dennemont",0
"78242","Fontenay-le-Fleury",0
"78245","Fontenay-Mauvoisin",4
"78246","Fontenay-Saint-Pere",0
"78251","Fourqueux",12
"78255","Freneuse",12
"78261","Gaillon-sur-Montcient",0
"78262","Galluis",4
"78263","Gambais",8
"78264","Gambaiseuil",0
"78265","Garancieres",4
"78267","Gargenville",0
"78269","Gazeran",4
"78276","Gommecourt",4
"78278","Goupillieres",4
"78281","Goussonville",0
"78283","Grandchamp",8
"78285","Gressey",4
"78289","Grosrouvre",12
"78290","Guernes",0
"78291","Guerville",0
"78296","Guitrancourt",0
"78297","Guyancourt",0
"78299","Hardricourt",0
"78300","Hargeville",0
"78302","La Hauteville",0
"78305","Herbeville",0
"78307","Hermeray",20
"78310","Houdan",0
"78311","Houilles",19
"78314","Issou",0
"78317","Jambville",4
"78320","Jeufosse",4
"78321","Jouars-Pontchartrain",4
"78322","Jouy-en-Josas",8
"78324","Jouy-Mauvoisin",12
"78325","Jumeauville",4
"78327","Juziers",4
"78329","Lainville-en-Vexin",0
"78334","Levis-Saint-Nom",0
"78335","Limay",9
"78337","Limetz-Villez",0
"78343","Les Loges-en-Josas",0
"78344","Lommoye",8
"78346","Longnes",8
"78349","Longvilliers",0
"78350","Louveciennes",16
"78354","Magnanville",0
"78356","Magny-les-Hameaux",4
"78358","Maisons-Laffitte",18
"78361","Mantes-la-Jolie",0
"78362","Mantes-la-Ville",3
"78364","Marcq",0
"78366","Mareil-le-Guyon",8
"78367","Mareil-Marly",0
"78368","Mareil-sur-Mauldre",4
"78372","Marly-le-Roi",18
"78380","Maule",24
"78381","Maulette",0
"78382","Maurecourt",0
"78383","Maurepas",0
"78384","Medan",0
"78385","Menerville",12
"78389","Mere",0
"78391","Mericourt",4
"78396","Le Mesnil-le-Roi",8
"78397","Le Mesnil-Saint-Denis",4
"78398","Les Mesnuls",4
"78401","Meulan-en-Yvelines",0
"78402","Mezieres-sur-Seine",4
"78403","Mezy-sur-Seine",8
"78404","Millemont",0
"78406","Milon-la-Chapelle",4
"78407","Mittainville",4
"78410","Moisson",0
"78413","Mondreville",8
"78415","Montainville",4
