"ID","NAMES","cadres_AsTheCrowFlies_ACC_0.005"
"77215","Gretz-Armainvilliers",7004.18893169424
"77216","Grez-sur-Loing",13769.985985308
"77217","Grisy-Suisnes",7693.57620648434
"77218","Grisy-sur-Seine",31327.1192795407
"77219","Guerard",10975.1441892807
"77220","Guercheville",18861.3713625375
"77221","Guermantes",3510.31731331806
"77222","Guignes",11653.8854920979
"77223","Gurcy-le-Chatel",20623.3977790949
"77224","Hautefeuille",12914.3519804195
"77225","La Haute-Maison",11422.3271769862
"77226","Hericy",9225.13866364427
"77227","Herme",31629.4709971349
"77228","Hondevilliers",25187.4180826348
"77229","La Houssaye-en-Brie",10573.9566620792
"77230","Ichy",22785.8973334927
"77231","Isles-les-Meldeuses",13975.0707743088
"77232","Isles-les-Villenoy",6681.95742308078
"77233","Iverny",9789.03958392229
"77234","Jablines",5969.81086756136
"77235","Jaignes",15811.4604293609
"77236","Jaulnes",30113.2500263004
"77237","Jossigny",4731.11501746308
"77238","Jouarre",15481.2661395055
"77239","Jouy-le-Chatel",20705.2016802339
"77240","Jouy-sur-Morin",23371.8931644315
"77241","Juilly",9945.04959252266
"77242","Jutigny",26444.0523366758
"77243","Lagny-sur-Marne",3798.13671849907
"77244","Larchant",16614.3980351622
"77245","Laval-en-Brie",16495.639034631
"77246","Lechelle",31888.6990913221
"77247","Lescherolles",27291.7825747602
"77248","Lesches",6340.12621611489
"77249","Lesigny",4592.43436970042
"77250","Leudon-en-Brie",24100.8716540295
"77251","Lieusaint",4945.61534337744
"77252","Limoges-Fourches",7764.86628496156
"77253","Lissy",8537.04727365207
"77254","Liverdy-en-Brie",10297.995548107
"77255","Livry-sur-Seine",6592.37053218466
"77256","Lizines",23565.7611099971
"77257","Lizy-sur-Ourcq",16173.3776718059
"77258","Lognes",3078.93394328952
"77259","Longperrier",10153.0933991039
"77260","Longueville",26650.2788197906
"77261","Lorrez-le-Bocage-Preaux",21091.6693381822
"77262","Louan-Villegruis-Fontaine",35403.5742740507
"77263","Luisetaines",25224.756402889
"77264","Lumigny-Nesles-Ormeaux",14115.0301702205
"77265","Luzancy",20179.1507117683
"77266","Machault",11028.0456850353
"77267","La Madeleine-sur-Loing",21286.248682814
"77268","Magny-le-Hongre",5470.94910430023
"77269","Maincy",7257.86762393846
"77270","Maisoncelles-en-Brie",11377.6770981025
"77271","Maisoncelles-en-Gatinais",23564.3880411015
"77272","Maison-Rouge",22845.8134884912
"77273","Marchemoret",12016.4409947441
"77274","Marcilly",12902.6862525577
"77275","Les Marets",27139.1905167464
"77276","Mareuil-les-Meaux",7304.3807632285
"77277","Marles-en-Brie",12280.1754029593
"77278","Marolles-en-Brie",19176.9383044712
"77279","Marolles-sur-Seine",19868.2190046318
"77280","Mary-sur-Marne",15589.278392458
"77281","Mauperthuis",15165.2947942256
"77282","Mauregard",7596.41954533188
"77283","May-en-Multien",18421.525964746
"77284","Meaux",9030.38630627306
"77285","Le Mee-sur-Seine",5138.90241358427
"77286","Meigneux",21090.0207338033
"77287","Meilleray",30109.9437861728
"77288","Melun",5418.72965113294
"77289","Melz-sur-Seine",33433.4839628277
"77290","Mery-sur-Marne",21124.011993661
"77291","Le Mesnil-Amelot",7468.29809424987
"77292","Messy",7724.26588578546
"77293","Misy-sur-Yonne",23111.3616443981
"77294","Mitry-Mory",5867.00536801594
"77295","Moisenay",8819.33375938754
"77296","Moissy-Cramayel",5686.76304259763
"77297","Mondreville",26204.4698107584
"77298","Mons-en-Montois",22927.3681796733
"77299","Montarlot",13254.4238930453
"77300","Montceaux-les-Meaux",11384.3393216702
"77301","Montceaux-les-Provins",32285.3729864728
"77302","Montcourt-Fromonville",13968.1340424369
